"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","value","responses","num_errors","quiz"
"pavlovia","0","16","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","","",""
"pit-instructions","1","3298","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1345.800000011921},{""page_index"":1,""viewing_time"":181.19999998807907},{""page_index"":2,""viewing_time"":178.5},{""page_index"":3,""viewing_time"":168.5},{""page_index"":4,""viewing_time"":180.19999998807907},{""page_index"":5,""viewing_time"":168.7000000178814},{""page_index"":6,""viewing_time"":180.09999999403954},{""page_index"":7,""viewing_time"":179.80000001192093},{""page_index"":8,""viewing_time"":169},{""page_index"":9,""viewing_time"":168.19999998807907},{""page_index"":10,""viewing_time"":180.40000000596046},{""page_index"":11,""viewing_time"":179.90000000596046}]","3280.9000000059605","","","","","","","","","","","","","","",""
"pit-trial","2","7957","0.0-1.0-1.0-0.0","battery-v0.2","","1151.199999988079","&#9776;","elianto","#3366ff99","32","32","1","+10","2652.800000011921","1","0","1","","","",""
"pit-trial","3","12633","0.0-1.0-1.0-1.0","battery-v0.2","","1172.7999999821186","&#9776;","elianto","#3366ff99","32","32","1","+10","2672.800000011921","1","0","1","","","",""
"pit-trial","4","16333","0.0-1.0-1.0-2.0","battery-v0.2","","196.7000000178814","&#9776;","elianto","#3366ff99","32","32","1","+10","1698.6000000238419","1","0","1","","","",""
"pit-trial","5","20050","0.0-1.0-1.0-3.0","battery-v0.2","","209.80000001192093","&#9776;","elianto","#3366ff99","32","32","1","0","1710.2000000178814","1","0","1","","","",""
"pit-trial","6","23893","0.0-1.0-1.0-4.0","battery-v0.2","","339.09999999403954","&#9776;","elianto","#3366ff99","32","32","1","+10","1434.4000000059605,1840.7000000178814","2","0","1","","","",""
"call-function","7","23895","0.0-1.0-2.0","battery-v0.2","","","","","","","","","","","","","","","","",""
"pit-instructions","8","26247","0.0-1.0-3.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1473.800000011921},{""page_index"":1,""viewing_time"":191.30000001192093},{""page_index"":2,""viewing_time"":180},{""page_index"":3,""viewing_time"":168.7999999821186},{""page_index"":4,""viewing_time"":168.59999999403954},{""page_index"":5,""viewing_time"":168.80000001192093}]","2351.7000000178814","","","","","","","","","","","","","","",""
"pit-trial","9","30282","0.0-1.0-4.0-0.0","battery-v0.2","","532.1999999880791","&#9761;","elianto","#3366ff99","-1","32","0","0","2032.5999999940395","1","0","2","","","",""
"pit-trial","10","35784","0.0-1.0-4.0-1.0","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","","","",""
"pit-trial","11","41293","0.0-1.0-4.0-2.0","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","","","",""
"pit-trial","12","46800","0.0-1.0-4.0-3.0","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","","","",""
"pit-trial","13","52304","0.0-1.0-4.0-4.0","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","0","","0","0","2","","","",""
"call-function","14","52305","0.0-1.0-5.0","battery-v0.2","","","","","","","","","","","","","","","","",""
"pit-instructions","15","55248","0.0-1.0-6.0","battery-v0.2","[{""page_index"":0,""viewing_time"":2233.5},{""page_index"":1,""viewing_time"":213.90000000596046},{""page_index"":2,""viewing_time"":168.80000001192093},{""page_index"":3,""viewing_time"":157.5},{""page_index"":4,""viewing_time"":168.59999999403954}]","2942.7000000178814","","","","","","","","","","","","","","",""
"pit-trial","16","60758","0.0-1.0-7.0-0.0","battery-v0.2","","-1","&#9826;","elianto","#f73b6a7A","-1","-1","1","0","","0","0","3","","","",""
"pit-trial","17","66262","0.0-1.0-7.0-1.0","battery-v0.2","","-1","&#9826;","elianto","#f73b6a7A","-1","-1","1","0","","0","0","3","","","",""
"pit-trial","18","71769","0.0-1.0-7.0-2.0","battery-v0.2","","-1","&#9826;","elianto","#f73b6a7A","-1","-1","1","-10","","0","0","3","","","",""
"pit-trial","19","77271","0.0-1.0-7.0-3.0","battery-v0.2","","-1","&#9826;","elianto","#f73b6a7A","-1","-1","1","0","","0","0","3","","","",""
"pit-trial","20","82780","0.0-1.0-7.0-4.0","battery-v0.2","","-1","&#9826;","elianto","#f73b6a7A","-1","-1","1","0","","0","0","3","","","",""
"call-function","21","82781","0.0-1.0-8.0","battery-v0.2","","","","","","","","","","","","","","","","",""
"pit-instructions","22","84035","0.0-1.0-9.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1062.199999988079},{""page_index"":1,""viewing_time"":190.90000000596046}]","1253.5","","","","","","","","","","","","","","",""
"pit-trial","23","88727","0.0-1.0-10.0-0.0","battery-v0.2","","1184.4000000059605","&#9789;","elianto","#f73b6a7A","32","32","1","0","2686.5","1","0","4","","","",""
"pit-trial","24","93750","0.0-1.0-10.0-1.0","battery-v0.2","","1521","&#9789;","elianto","#f73b6a7A","32","32","1","0","3021.0999999940395","1","0","4","","","",""
"pit-trial","25","97682","0.0-1.0-10.0-2.0","battery-v0.2","","426","&#9789;","elianto","#f73b6a7A","32","32","1","0","1926.0999999940395","1","0","4","","","",""
"pit-trial","26","101426","0.0-1.0-10.0-3.0","battery-v0.2","","240.09999999403954","&#9789;","elianto","#f73b6a7A","32","32","1","0","1740.4000000059605","1","0","4","","","",""
"pit-trial","27","105230","0.0-1.0-10.0-4.0","battery-v0.2","","295.40000000596046","&#9789;","elianto","#f73b6a7A","32","32","1","-10","1797.5999999940395","1","0","4","","","",""
"call-function","28","105231","0.0-1.0-11.0","battery-v0.2","","","","","","","","","","","","","","","","",""
"pit-instructions","29","109470","0.0-1.0-12.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1887.4000000059605},{""page_index"":1,""viewing_time"":383.5},{""page_index"":2,""viewing_time"":381.40000000596046},{""page_index"":3,""viewing_time"":393.7999999821186},{""page_index"":4,""viewing_time"":416.30000001192093},{""page_index"":5,""viewing_time"":404.90000000596046},{""page_index"":6,""viewing_time"":371}]","4238.699999988079","","","","","","","","","","","","","","",""
"pit-comprehension","30","118403","0.0-1.0-13.0","battery-v0.2","","8931.09999999404","","","","","","","","","","","","","Press SPACE,+10,-10,True,False, sometimes you will not get all the points even if you took the right action,True","0","1"
"instructions","31","123307","0.0-1.0-14.0-0.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":4901.5999999940395}]","4902.199999988079","","","","","","","","","","","","","","",""
"pit-instructions","32","217602","0.0-1.0-14.0-1.0","battery-v0.2","[{""page_index"":0,""viewing_time"":92292.5},{""page_index"":1,""viewing_time"":110.7000000178814},{""page_index"":2,""viewing_time"":191.7999999821186},{""page_index"":3,""viewing_time"":168.80000001192093},{""page_index"":4,""viewing_time"":179.7999999821186},{""page_index"":5,""viewing_time"":180.10000002384186},{""page_index"":6,""viewing_time"":168.59999999403954},{""page_index"":7,""viewing_time"":169},{""page_index"":8,""viewing_time"":179.90000000596046},{""page_index"":9,""viewing_time"":191.2999999821186},{""page_index"":10,""viewing_time"":157.40000000596046},{""page_index"":11,""viewing_time"":180.19999998807907}]","94170.70000001788","","","","","","","","","","","","","","",""
"pit-instructions","33","218670","0.0-1.0-14.0-2.0","battery-v0.2","[{""page_index"":0,""viewing_time"":155.69999998807907},{""page_index"":1,""viewing_time"":202.59999999403954},{""page_index"":2,""viewing_time"":168.59999999403954},{""page_index"":3,""viewing_time"":168.80000001192093},{""page_index"":4,""viewing_time"":180.09999999403954},{""page_index"":5,""viewing_time"":191.09999999403954}]","1067.5999999940395","","","","","","","","","","","","","","",""
"pit-instructions","34","219649","0.0-1.0-14.0-3.0","battery-v0.2","[{""page_index"":0,""viewing_time"":200.7999999821186},{""page_index"":1,""viewing_time"":146.2000000178814},{""page_index"":2,""viewing_time"":236.39999997615814},{""page_index"":3,""viewing_time"":168.90000000596046},{""page_index"":4,""viewing_time"":224.90000000596046}]","977.8999999761581","","","","","","","","","","","","","","",""
"pit-instructions","35","220358","0.0-1.0-14.0-4.0","battery-v0.2","[{""page_index"":0,""viewing_time"":201},{""page_index"":1,""viewing_time"":506.2000000178814}]","707.8000000119209","","","","","","","","","","","","","","",""
"pit-instructions","36","223462","0.0-1.0-14.0-5.0","battery-v0.2","[{""page_index"":0,""viewing_time"":437.09999999403954},{""page_index"":1,""viewing_time"":461.30000001192093},{""page_index"":2,""viewing_time"":427.39999997615814},{""page_index"":3,""viewing_time"":416.2000000178814},{""page_index"":4,""viewing_time"":461.5},{""page_index"":5,""viewing_time"":427.19999998807907},{""page_index"":6,""viewing_time"":472.59999999403954}]","3104","","","","","","","","","","","","","","",""
"pit-comprehension","37","241294","0.0-1.0-14.0-6.0","battery-v0.2","","17828.69999998808","","","","","","","","","","","","","Press SPACE,+10,-10,True,False, sometimes you will not get all the points even if you took the right action,True","0","1"
