"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","value","responses","num_errors","quiz"
"pavlovia","0","25","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","","",""
"pit-instructions","1","4062","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":2145.39999999851},{""page_index"":1,""viewing_time"":180},{""page_index"":2,""viewing_time"":163.60000000149012},{""page_index"":3,""viewing_time"":170.39999999850988},{""page_index"":4,""viewing_time"":180.20000000298023},{""page_index"":5,""viewing_time"":163.89999999850988},{""page_index"":6,""viewing_time"":154.79999999701977},{""page_index"":7,""viewing_time"":180.60000000149012},{""page_index"":8,""viewing_time"":171.29999999701977},{""page_index"":9,""viewing_time"":179.90000000596046},{""page_index"":10,""viewing_time"":171.79999999701977},{""page_index"":11,""viewing_time"":171.89999999850988}]","4035.60000000149","","","","","","","","","","","","","","",""
"pit-trial","2","7772","0.0-1.0-1.0-0.0","battery-v0.2","","202.5","&#9776;","elianto","#3366ff99","32","32","1","+10","1702.7999999970198","1","0","1","","","",""
"pit-trial","3","11503","0.0-1.0-1.0-1.0","battery-v0.2","","224.29999999701977","&#9776;","elianto","#3366ff99","32","32","1","+10","1338.6000000014901,1724.6999999955297","2","0","1","","","",""
"pit-trial","4","15256","0.0-1.0-1.0-2.0","battery-v0.2","","244.60000000149012","&#9776;","elianto","#3366ff99","32","32","1","+10","1745.2999999970198","1","0","1","","","",""
"pit-trial","5","19046","0.0-1.0-1.0-3.0","battery-v0.2","","279.1000000014901","&#9776;","elianto","#3366ff99","32","32","1","0","1781.1000000014901","1","0","1","","","",""
"pit-trial","6","22674","0.0-1.0-1.0-4.0","battery-v0.2","","119.39999999850988","&#9776;","elianto","#3366ff99","32","32","1","+10","1619.7999999970198","1","0","1","","","",""
"call-function","7","22678","0.0-1.0-2.0","battery-v0.2","","","","","","","","","","","","","","","","",""
"pit-instructions","8","25014","0.0-1.0-3.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1178.5},{""page_index"":1,""viewing_time"":191.19999999552965},{""page_index"":2,""viewing_time"":163.20000000298023},{""page_index"":3,""viewing_time"":180.10000000149012},{""page_index"":4,""viewing_time"":155.29999999701977},{""page_index"":5,""viewing_time"":465.79999999701977}]","2335.0999999940395","","","","","","","","","","","","","","",""
"pit-trial","9","30525","0.0-1.0-4.0-0.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","","","",""
