"trial_type","trial_index","time_elapsed","internal_node_id","task_version","success","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","subject","participantId"
"pavlovia","0","15","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","",""
"fullscreen","1","2164","0.0-1.0","battery-v0.2","true","","","","","","","","","","","","","","",""
"pit-instructions","2","27860","0.0-2.0-0.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":829.4000000003725},{""page_index"":1,""viewing_time"":305.40000000037253},{""page_index"":2,""viewing_time"":198.40000000037253},{""page_index"":3,""viewing_time"":214.2999999988824},{""page_index"":4,""viewing_time"":624.4000000003725},{""page_index"":5,""viewing_time"":529.5},{""page_index"":6,""viewing_time"":301.69999999925494},{""page_index"":7,""viewing_time"":201.40000000037253},{""page_index"":8,""viewing_time"":438.40000000037253},{""page_index"":9,""viewing_time"":408.80000000074506},{""page_index"":10,""viewing_time"":19815.89999999851},{""page_index"":11,""viewing_time"":1821.5}]","25689.900000000373","","","","","","","","","","","","",""
"pit-trial","3","32718","0.0-2.0-1.0-0.0","battery-v0.2","","","-1","&#9784;","elianto","#FFFFF080","32","-1","0","&#10060","","0","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","4","37583","0.0-2.0-1.1-0.1","battery-v0.2","","","-1","&#9784;","elianto","#FFFFF080","32","-1","0","&#10060","","0","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","5","42913","0.0-2.0-1.2-0.2","battery-v0.2","","","-1","&#9784;","elianto","#FFFFF080","32","-1","0","&#10060","","0","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","6","50274","0.0-2.0-1.3-0.3","battery-v0.2","","","-1","&#9784;","elianto","#FFFFF080","32","-1","0","&#10060","","0","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","7","55132","0.0-2.0-1.4-0.4","battery-v0.2","","","-1","&#9784;","elianto","#FFFFF080","32","-1","0","&#10060","","0","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","8","59992","0.0-2.0-1.5-0.5","battery-v0.2","","","-1","&#9784;","elianto","#FFFFF080","32","-1","0","&#10060","","0","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-instructions","9","82607","0.0-2.0-1.5-1.5-0.5","battery-v0.2","","[{""page_index"":0,""viewing_time"":20583.099999999627},{""page_index"":1,""viewing_time"":2031.2000000011176}]","22614.699999999255","","","","","","","","","","","","",""
"pit-trial","10","87469","0.0-2.0-1.6-0.6","battery-v0.2","","","-1","&#9784;","elianto","#FFFFF080","32","-1","0","&#10060","","0","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","11","92329","0.0-2.0-1.7-0.7","battery-v0.2","","","-1","&#9784;","elianto","#FFFFF080","32","-1","0","&#10060","","0","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
