"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","subject","participantId"
"pavlovia","0","12","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","",""
"pit-instructions","1","14016","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":6782.9000000059605},{""page_index"":1,""viewing_time"":3101.0999999940395},{""page_index"":2,""viewing_time"":668},{""page_index"":3,""viewing_time"":734.0999999940395},{""page_index"":4,""viewing_time"":197.30000001192093},{""page_index"":5,""viewing_time"":387.7999999821186},{""page_index"":6,""viewing_time"":203.30000001192093},{""page_index"":7,""viewing_time"":181.40000000596046},{""page_index"":8,""viewing_time"":181.39999997615814},{""page_index"":9,""viewing_time"":386.80000001192093},{""page_index"":10,""viewing_time"":182.19999998807907},{""page_index"":11,""viewing_time"":179.30000001192093},{""page_index"":12,""viewing_time"":213.80000001192093},{""page_index"":13,""viewing_time"":371.2999999821186},{""page_index"":14,""viewing_time"":229.5}]","14001.799999982119","","","","","","","","","","","","",""
"pit-trial","2","18876","0.0-1.0-1.0-0.0","battery-v0.2","","-1","&#9784;","elianto","#FFFFF080","32","-1","0","&#10060","","0","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","3","22716","0.0-1.0-1.1-0.1","battery-v0.2","","981.5999999940395","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","1832.7999999821186","1","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","4","25777","0.0-1.0-1.2-0.2","battery-v0.2","","199.69999998807907","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","1049.7999999821186","1","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","5","28815","0.0-1.0-1.3-0.3","battery-v0.2","","181.2999999821186","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","619.4000000059605,1031.5","2","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","6","32053","0.0-1.0-1.4-0.4","battery-v0.2","","380.09999999403954","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","1231.0999999940395","1","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-instructions","7","53560","0.0-1.0-2.0","battery-v0.2","[{""page_index"":0,""viewing_time"":20959.59999999404},{""page_index"":1,""viewing_time"":166.5},{""page_index"":2,""viewing_time"":195},{""page_index"":3,""viewing_time"":178.40000000596046}]","21500.19999998808","","","","","","","","","","","","",""
"pit-trial","8","58419","0.0-1.0-3.0-0.0","battery-v0.2","","-1","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","9","63280","0.0-1.0-3.1-0.1","battery-v0.2","","-1","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","10","68138","0.0-1.0-3.2-0.2","battery-v0.2","","-1","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","11","72993","0.0-1.0-3.3-0.3","battery-v0.2","","-1","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","12","77851","0.0-1.0-3.4-0.4","battery-v0.2","","-1","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
