"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","age","subject","participantId","value"
"pavlovia","0","15","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","","",""
"pit-instructions","1","2922","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":988.3999999761581},{""page_index"":1,""viewing_time"":184.70000004768372},{""page_index"":2,""viewing_time"":164.89999997615814},{""page_index"":3,""viewing_time"":166.80000001192093},{""page_index"":4,""viewing_time"":166.5999999642372},{""page_index"":5,""viewing_time"":166.70000004768372},{""page_index"":6,""viewing_time"":166.5999999642372},{""page_index"":7,""viewing_time"":169.30000001192093},{""page_index"":8,""viewing_time"":197.5},{""page_index"":9,""viewing_time"":183.5},{""page_index"":10,""viewing_time"":166.5},{""page_index"":11,""viewing_time"":183.39999997615814}]","2905.399999976158","","","","","","","","","","","","","","",""
"pit-trial","2","6348","0.0-1.0-1.0-0.0","battery-v0.2","","1318.199999988079","&#9776;","elianto","#3366ff99","32","32","1","+10","1418.699999988079","1","0","1","997","3&age=997&participant_ID=5&order=1","5",""
"pit-trial","3","9392","0.0-1.0-1.0-1.0","battery-v0.2","","941.9000000357628","&#9776;","elianto","#3366ff99","32","32","1","+10","1042.1000000238419","1","0","1","997","3&age=997&participant_ID=5&order=1","5",""
"pit-trial","4","12546","0.0-1.0-1.0-2.0","battery-v0.2","","1046.2999999523163","&#9776;","elianto","#3366ff99","32","32","1","+10","1147.2999999523163","1","0","1","997","3&age=997&participant_ID=5&order=1","5",""
"pit-trial","5","15838","0.0-1.0-1.0-3.0","battery-v0.2","","1187.4000000357628","&#9776;","elianto","#3366ff99","32","32","1","0","1288.5","1","0","1","997","3&age=997&participant_ID=5&order=1","5",""
"pit-trial","6","18866","0.0-1.0-1.0-4.0","battery-v0.2","","923.5","&#9776;","elianto","#3366ff99","32","32","1","+10","1023.5999999642372","1","0","1","997","3&age=997&participant_ID=5&order=1","5",""
"call-function","7","18868","0.0-1.0-2.0","battery-v0.2","","","","","","","","","","","","","","","","",""
"pit-instructions","8","21778","0.0-1.0-3.0","battery-v0.2","[{""page_index"":0,""viewing_time"":2091.599999964237},{""page_index"":1,""viewing_time"":183.30000001192093},{""page_index"":2,""viewing_time"":150},{""page_index"":3,""viewing_time"":166.80000001192093},{""page_index"":4,""viewing_time"":149.80000001192093},{""page_index"":5,""viewing_time"":166.89999997615814}]","2908.7999999523163","","","","","","","","","","","","","","",""
"pit-trial","9","24838","0.0-1.0-4.0-0.0","battery-v0.2","","957.5999999642372","&#9761;","elianto","#3366ff99","-1","32","0","0","1058","1","0","2","997","3&age=997&participant_ID=5&order=1","5",""
"pit-trial","10","27291","0.0-1.0-4.0-1.0","battery-v0.2","","347.5999999642372","&#9761;","elianto","#3366ff99","-1","32","0","0","448.10000002384186,595.4000000357628,752.5","3","0","2","997","3&age=997&participant_ID=5&order=1","5",""
"pit-trial","11","30003","0.0-1.0-4.0-2.0","battery-v0.2","","605.5999999642372","&#9761;","elianto","#3366ff99","-1","32","0","0","707.5999999642372","1","0","2","997","3&age=997&participant_ID=5&order=1","5",""
"pit-trial","12","33177","0.0-1.0-4.0-3.0","battery-v0.2","","1067.6000000238419","&#9761;","elianto","#3366ff99","-1","32","0","0","1168.5999999642372","1","0","2","997","3&age=997&participant_ID=5&order=1","5",""
"pit-trial","13","36448","0.0-1.0-4.0-4.0","battery-v0.2","","1164.300000011921","&#9761;","elianto","#3366ff99","-1","32","0","+10","1265.5999999642372","1","0","2","997","3&age=997&participant_ID=5&order=1","5",""
"pit-trial","14","39438","0.0-1.0-4.1-0.1","battery-v0.2","","887.2999999523163","&#9761;","elianto","#3366ff99","-1","32","0","0","987.2999999523163","1","0","2","997","3&age=997&participant_ID=5&order=1","5",""
"pit-trial","15","43548","0.0-1.0-4.1-1.1","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","997","3&age=997&participant_ID=5&order=1","5",""
"pit-trial","16","47542","0.0-1.0-4.1-2.1","battery-v0.2","","1887.5","&#9761;","elianto","#3366ff99","-1","32","0","0","1988","1","0","2","997","3&age=997&participant_ID=5&order=1","5",""
"pit-trial","17","50580","0.0-1.0-4.1-3.1","battery-v0.2","","930.4000000357628","&#9761;","elianto","#3366ff99","-1","32","0","0","1032.1000000238419","1","0","2","997","3&age=997&participant_ID=5&order=1","5",""
"pit-trial","18","53820","0.0-1.0-4.1-4.1","battery-v0.2","","1131.9000000357628","&#9761;","elianto","#3366ff99","-1","32","0","+10","1234.4000000357628","1","0","2","997","3&age=997&participant_ID=5&order=1","5",""
"pit-trial","19","57001","0.0-1.0-4.2-0.2","battery-v0.2","","1077.6000000238419","&#9761;","elianto","#3366ff99","-1","32","0","0","1177.9000000357628","1","0","2","997","3&age=997&participant_ID=5&order=1","5",""
"pit-trial","20","60132","0.0-1.0-4.2-1.2","battery-v0.2","","1023.9000000357628","&#9761;","elianto","#3366ff99","-1","32","0","0","1123.8999999761581","1","0","2","997","3&age=997&participant_ID=5&order=1","5",""
"pit-trial","21","63220","0.0-1.0-4.2-2.2","battery-v0.2","","985.5","&#9761;","elianto","#3366ff99","-1","32","0","0","1086.199999988079","1","0","2","997","3&age=997&participant_ID=5&order=1","5",""
"pit-trial","22","67323","0.0-1.0-4.2-3.2","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","997","3&age=997&participant_ID=5&order=1","5",""
"pit-trial","23","71434","0.0-1.0-4.2-4.2","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","0","","0","0","2","997","3&age=997&participant_ID=5&order=1","5",""
"pit-trial","24","75537","0.0-1.0-4.3-0.3","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","997","3&age=997&participant_ID=5&order=1","5",""
"pit-trial","25","79647","0.0-1.0-4.3-1.3","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","997","3&age=997&participant_ID=5&order=1","5",""
"pit-trial","26","85306","0.0-1.0-4.3-2.3","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","997","3&age=997&participant_ID=5&order=1","5",""
