"trial_type","trial_index","time_elapsed","internal_node_id","task_version","rune","rune_set","hex","correct","choice","rt","accuracy","outcome","keys","total_keys","sub","block","trial","stimulus","robot","valence","action","sham"
"pavlovia","0","59","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","","","",""
"pit-trial","1","4920","0.0-1.0","battery-v0.2","f","elianto","#d1e6df","32","-1","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","2","21","2","1","win","go","0"
"pit-trial","2","9802","0.0-2.0","battery-v0.2","n","elianto","#d1e6df","-1","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","2","22","1","2","win","no-go","0"
"pit-trial","3","14658","0.0-3.0","battery-v0.2","q","elianto","#d1e6df","-1","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","2","23","0","2","win","no-go","0"
"pit-trial","4","19514","0.0-4.0","battery-v0.2","x","elianto","#d1e6df","32","-1","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","2","24","3","3","lose","go","1"
"pit-trial","5","24370","0.0-5.0","battery-v0.2","q","elianto","#d1e6df","-1","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","2","25","0","2","win","no-go","0"
"pit-trial","6","29228","0.0-6.0","battery-v0.2","n","elianto","#d1e6df","-1","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","2","26","1","2","win","no-go","0"
"pit-trial","7","34081","0.0-7.0","battery-v0.2","f","elianto","#d1e6df","32","-1","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","2","27","2","1","win","go","0"
"pit-trial","8","38955","0.0-8.0","battery-v0.2","x","elianto","#d1e6df","32","-1","-1","0","-10","[]","0","3&age=8&participant_ID=5&order=1","2","28","3","3","lose","go","0"
"pit-trial","9","43810","0.0-9.0","battery-v0.2","q","elianto","#d1e6df","-1","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","2","29","0","2","win","no-go","0"
"pit-trial","10","48664","0.0-10.0","battery-v0.2","n","elianto","#d1e6df","-1","-1","-1","1","0","[]","0","3&age=8&participant_ID=5&order=1","2","30","1","2","win","no-go","1"
"pit-trial","11","53517","0.0-11.0","battery-v0.2","f","elianto","#d1e6df","32","-1","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","2","31","2","1","win","go","0"
"pit-trial","12","58370","0.0-12.0","battery-v0.2","x","elianto","#d1e6df","32","-1","-1","0","-10","[]","0","3&age=8&participant_ID=5&order=1","2","32","3","3","lose","go","0"
"pit-trial","13","63225","0.0-13.0","battery-v0.2","q","elianto","#d1e6df","-1","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","2","33","0","2","win","no-go","0"
"pit-trial","14","68079","0.0-14.0","battery-v0.2","f","elianto","#d1e6df","32","-1","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","2","34","2","1","win","go","0"
"pit-trial","15","72939","0.0-15.0","battery-v0.2","x","elianto","#d1e6df","32","-1","-1","0","-10","[]","0","3&age=8&participant_ID=5&order=1","2","35","3","3","lose","go","0"
"pit-trial","16","77801","0.0-16.0","battery-v0.2","n","elianto","#d1e6df","-1","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","2","36","1","2","win","no-go","0"
"pit-trial","17","82659","0.0-17.0","battery-v0.2","n","elianto","#d1e6df","-1","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","2","37","1","2","win","no-go","0"
"pit-trial","18","87517","0.0-18.0","battery-v0.2","q","elianto","#d1e6df","-1","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","2","38","0","2","win","no-go","0"
"pit-trial","19","92376","0.0-19.0","battery-v0.2","x","elianto","#d1e6df","32","-1","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","2","39","3","3","lose","go","1"
"pit-trial","20","97233","0.0-20.0","battery-v0.2","f","elianto","#d1e6df","32","-1","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","2","40","2","1","win","go","0"
"pit-trial","21","102096","0.0-21.0","battery-v0.2","f","elianto","#d1e6df","32","-1","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","2","41","2","1","win","go","0"
"pit-trial","22","106953","0.0-22.0","battery-v0.2","x","elianto","#d1e6df","32","-1","-1","0","-10","[]","0","3&age=8&participant_ID=5&order=1","2","42","3","3","lose","go","0"
"pit-trial","23","111812","0.0-23.0","battery-v0.2","n","elianto","#d1e6df","-1","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","2","43","1","2","win","no-go","0"
"pit-trial","24","116669","0.0-24.0","battery-v0.2","q","elianto","#d1e6df","-1","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","2","44","0","2","win","no-go","0"
"pit-trial","25","121526","0.0-25.0","battery-v0.2","q","elianto","#d1e6df","-1","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","2","45","0","2","win","no-go","0"
