"trial_type","trial_index","time_elapsed","internal_node_id","task_version","success","view_history","rt","responses","num_errors","age","subject","participantId","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","value","sub","trial","stimulus","robot","valence","action","sham","browser_interactions"
"pavlovia","0","64","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","4532","0.0-1.0","battery-v0.2","true","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","2","11402","0.0-2.0-0.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":6859.600000000035}]","6861.600000000035","","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-comprehension","3","15658","0.0-2.0-1.0-0.0","battery-v0.2","","","4236.700000000012","[""shark""]","0","18","853","562","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","4","19196","0.0-2.0-1.0-1.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":3505.7000000000116}]","3506.9000000000233","","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-comprehension","5","21944","0.0-2.0-2.0-0.0","battery-v0.2","","","2728.899999999965","[""tiger""]","0","18","853","562","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","6","27379","0.0-2.0-2.0-1.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":5424.900000000023}]","5426.100000000035","","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","7","127072","0.0-2.0-3.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":8386.400000000023},{""page_index"":1,""viewing_time"":6173.099999999977},{""page_index"":2,""viewing_time"":7021.100000000035},{""page_index"":3,""viewing_time"":6264.29999999993},{""page_index"":4,""viewing_time"":5478.600000000093},{""page_index"":5,""viewing_time"":5499.599999999977},{""page_index"":6,""viewing_time"":7040.900000000023},{""page_index"":7,""viewing_time"":6482.79999999993},{""page_index"":8,""viewing_time"":6721.300000000047},{""page_index"":9,""viewing_time"":11127.400000000023},{""page_index"":10,""viewing_time"":7319.199999999953},{""page_index"":11,""viewing_time"":8112.699999999953},{""page_index"":12,""viewing_time"":7199.20000000007},{""page_index"":13,""viewing_time"":6851.099999999977}]","99678.39999999997","","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","8","130640","0.0-2.0-4.0-0.0","battery-v0.2","","","713","","","18","853","562","&#9784;","elianto","#FFFFF080"," "," ","1","&#10004","[1563.0999999999767]","1","0","0","","","","","","","","",""
"pit-trial","9","134420","0.0-2.0-4.1-0.1","battery-v0.2","","","923.6999999999534","","","18","853","562","&#9784;","elianto","#FFFFF080"," "," ","1","&#10004","[1774]","1","0","0","","","","","","","","",""
"pit-trial","10","138140","0.0-2.0-4.2-0.2","battery-v0.2","","","865.5999999999767","","","18","853","562","&#9784;","elianto","#FFFFF080"," "," ","1","&#10004","[1715.7000000000698]","1","0","0","","","","","","","","",""
"pit-trial","11","141745","0.0-2.0-4.3-0.3","battery-v0.2","","","747.9000000000233","","","18","853","562","&#9784;","elianto","#FFFFF080"," "," ","1","&#10004","[1599.5]","1","0","0","","","","","","","","",""
"pit-trial","12","145387","0.0-2.0-4.4-0.4","battery-v0.2","","","786.6999999999534","","","18","853","562","&#9784;","elianto","#FFFFF080"," "," ","1","&#10004","[1637.3000000000466]","1","0","0","","","","","","","","",""
"pit-instructions","13","168481","0.0-2.0-5.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":5908.100000000093},{""page_index"":1,""viewing_time"":5466.5},{""page_index"":2,""viewing_time"":5002.79999999993},{""page_index"":3,""viewing_time"":6702.300000000047}]","23080.5","","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","14","173335","0.0-2.0-6.0-0.0","battery-v0.2","","","-1","","","18","853","562","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","[]","0","0","1","","","","","","","","",""
