"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","value","responses","num_errors"
"pavlovia","0","51","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","",""
"pit-instructions","1","22748","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1521.2400000309572},{""page_index"":1,""viewing_time"":1065.1899999938905},{""page_index"":2,""viewing_time"":1745.5400000326335},{""page_index"":3,""viewing_time"":2761.4749999484047},{""page_index"":4,""viewing_time"":2141.139999963343},{""page_index"":5,""viewing_time"":1662.150000105612},{""page_index"":6,""viewing_time"":1243.4399999910966},{""page_index"":7,""viewing_time"":6258.524999953806},{""page_index"":8,""viewing_time"":3447.7849999675527},{""page_index"":9,""viewing_time"":839.2600000370294}]","22686.690000002272","","","","","","","","","","","","","",""
"pit-trial","2","25843","0.0-1.0-1.0-0.0","battery-v0.2","","388.0549999885261","1","elianto","#3366ff99","32","32","1","+10","1889.0300000784919","1","0","1","","",""
"pit-trial","3","28728","0.0-1.0-1.1-0.1","battery-v0.2","","177.7350000338629","1","elianto","#3366ff99","32","32","1","+10","1677.9399999650195","1","0","1","","",""
"pit-trial","4","31480","0.0-1.0-1.2-0.2","battery-v0.2","","43.865000014193356","1","elianto","#3366ff99","32","32","1","+10","1544.0449999878183","1","0","1","","",""
"pit-trial","5","34493","0.0-1.0-1.3-0.3","battery-v0.2","","309.1599999461323","1","elianto","#3366ff99","32","32","1","+10","1393.3699999470264,1810.315000009723","2","0","1","","",""
"call-function","6","34496","0.0-1.0-2.0","battery-v0.2","","","","","","","","","","","","","","","",""
"pit-instructions","7","40045","0.0-1.0-3.0","battery-v0.2","[{""page_index"":0,""viewing_time"":4425.270000007004},{""page_index"":1,""viewing_time"":1122.3549999995157}]","5547.984999953769","","","","","","","","","","","","","",""
"pit-trial","8","43038","0.0-1.0-4.0-0.0","battery-v0.2","","290.83499999251217","2","elianto","#3366ff99","-1","32","0","0","1791.510000010021","1","0","2","","",""
"pit-trial","9","47044","0.0-1.0-4.1-0.1","battery-v0.2","","-1","2","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","","",""
"pit-trial","10","51050","0.0-1.0-4.2-0.2","battery-v0.2","","-1","2","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","","",""
"pit-trial","11","55055","0.0-1.0-4.3-0.3","battery-v0.2","","-1","2","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","","",""
"call-function","12","55056","0.0-1.0-5.0","battery-v0.2","","","","","","","","","","","","","","","",""
"pit-instructions","13","68120","0.0-1.0-6.0","battery-v0.2","[{""page_index"":0,""viewing_time"":8233.630000031553},{""page_index"":1,""viewing_time"":4829.154999926686}]","13063.139999983832","","","","","","","","","","","","","",""
"pit-trial","14","72128","0.0-1.0-7.0-0.0","battery-v0.2","","-1","3","elianto","#f73b6a7A","-1","-1","1","0","","0","0","3","","",""
"pit-trial","15","75042","0.0-1.0-7.1-0.1","battery-v0.2","","210.54000000003725","3","elianto","#f73b6a7A","-1","32","0","-10","1712.0750000467524","1","0","3","","",""
"pit-trial","16","79048","0.0-1.0-7.2-0.2","battery-v0.2","","-1","3","elianto","#f73b6a7A","-1","-1","1","0","","0","0","3","","",""
"pit-trial","17","83053","0.0-1.0-7.3-0.3","battery-v0.2","","-1","3","elianto","#f73b6a7A","-1","-1","1","0","","0","0","3","","",""
"pit-trial","18","87059","0.0-1.0-7.4-0.4","battery-v0.2","","-1","3","elianto","#f73b6a7A","-1","-1","1","0","","0","0","3","","",""
"call-function","19","87060","0.0-1.0-8.0","battery-v0.2","","","","","","","","","","","","","","","",""
"pit-instructions","20","98113","0.0-1.0-9.0","battery-v0.2","[{""page_index"":0,""viewing_time"":3404.80000001844},{""page_index"":1,""viewing_time"":7647.92999997735}]","11053.100000019185","","","","","","","","","","","","","",""
"pit-trial","21","101606","0.0-1.0-10.0-0.0","battery-v0.2","","790.4499999713153","4","elianto","#f73b6a7A","32","32","1","0","2290.5599999940023","1","0","4","","",""
"pit-trial","22","104509","0.0-1.0-10.1-0.1","battery-v0.2","","199.67499992344528","4","elianto","#f73b6a7A","32","32","1","0","1699.9950000317767","1","0","4","","",""
"pit-trial","23","107481","0.0-1.0-10.2-0.2","battery-v0.2","","267.32999994419515","4","elianto","#f73b6a7A","32","32","1","0","1769.1499999491498","1","0","4","","",""
"pit-trial","24","110627","0.0-1.0-10.3-0.3","battery-v0.2","","441.5450000669807","4","elianto","#f73b6a7A","32","32","1","0","1943.47000005655","1","0","4","","",""
"call-function","25","110628","0.0-1.0-11.0","battery-v0.2","","","","","","","","","","","","","","","",""
"pit-instructions","26","119699","0.0-1.0-12.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1568.3849999913946},{""page_index"":1,""viewing_time"":2180.464999983087},{""page_index"":2,""viewing_time"":1541.674999985844},{""page_index"":3,""viewing_time"":1203.5950000863522},{""page_index"":4,""viewing_time"":1308.2749999593943},{""page_index"":5,""viewing_time"":1267.2749999910593}]","9070.029999944381","","","","","","","","","","","","","",""
"pit-comprehension","27","141570","0.0-1.0-13.0","battery-v0.2","","21867.505000089295","","","","","","","","","","","","","Press SPACE,+10,0,True,True","0"
