"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","value"
"pavlovia","0","13","0.0-0.0","battery-v0.2","","","","","","","","","","","","","",""
"pit-instructions","1","8574","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":4477},{""page_index"":1,""viewing_time"":499},{""page_index"":2,""viewing_time"":367.8999999985099},{""page_index"":3,""viewing_time"":386},{""page_index"":4,""viewing_time"":411.29999999701977},{""page_index"":5,""viewing_time"":359.3999999985099},{""page_index"":6,""viewing_time"":351.80000000447035},{""page_index"":7,""viewing_time"":360.8999999985099},{""page_index"":8,""viewing_time"":343.20000000298023},{""page_index"":9,""viewing_time"":362.5},{""page_index"":10,""viewing_time"":309.09999999403954},{""page_index"":11,""viewing_time"":328.20000000298023}]","8558.09999999404","","","","","","","","","","","",""
"pit-trial","2","13189","0.0-1.0-1.0-0.0","battery-v0.2","","1106.2999999970198","&#9776;","elianto","#3366ff99","32","32","1","+10","2607.89999999851","1","0","1",""
"pit-trial","3","16848","0.0-1.0-1.0-1.0","battery-v0.2","","153.19999999552965","&#9776;","elianto","#3366ff99","32","32","1","+10","1654.6000000014901","1","0","1",""
"pit-trial","4","20711","0.0-1.0-1.0-2.0","battery-v0.2","","353.6000000014901","&#9776;","elianto","#3366ff99","32","32","1","+10","1853.8999999985099","1","0","1",""
"pit-trial","5","26224","0.0-1.0-1.0-3.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","4597.89999999851,5081.70000000298","2","0","1",""
"pit-trial","6","30153","0.0-1.0-1.0-4.0","battery-v0.2","","423.70000000298023","&#9776;","elianto","#3366ff99","32","32","1","+10","1924.3000000044703","1","0","1",""
"pit-trial","7","33894","0.0-1.0-1.1-0.1","battery-v0.2","","233.89999999850988","&#9776;","elianto","#3366ff99","32","32","1","+10","1733.7000000029802","1","0","1",""
"pit-trial","8","39314","0.0-1.0-1.1-1.1","battery-v0.2","","1914","&#9776;","elianto","#3366ff99","32","32","1","+10","3414.7000000029802","1","0","1",""
"pit-trial","9","43001","0.0-1.0-1.1-2.1","battery-v0.2","","179.20000000298023","&#9776;","elianto","#3366ff99","32","32","1","+10","1334.3999999985099,1679.6000000014901","2","0","1",""
"pit-trial","10","46576","0.0-1.0-1.1-3.1","battery-v0.2","","70.5","&#9776;","elianto","#3366ff99","32","32","1","0","1570.6999999955297","1","0","1",""
"pit-trial","11","50440","0.0-1.0-1.1-4.1","battery-v0.2","","356.3999999985099","&#9776;","elianto","#3366ff99","32","32","1","+10","1339.6000000014901,1856.6000000014901","2","0","1",""
"call-function","12","50443","0.0-1.0-2.0","battery-v0.2","","","","","","","","","","","","","",""
