"trial_type","trial_index","time_elapsed","internal_node_id","task_version","success","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","subject","participantId","value","responses","num_errors","sub","trial","stimulus","robot","valence","action","sham"
"pavlovia","0","24","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","3692","0.0-1.0","battery-v0.2","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","2","8100","0.0-2.0-0.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":1629.199999988079},{""page_index"":1,""viewing_time"":159.59999999403954},{""page_index"":2,""viewing_time"":160.59999999403954},{""page_index"":3,""viewing_time"":163.10000002384186},{""page_index"":4,""viewing_time"":147.2999999821186},{""page_index"":5,""viewing_time"":175.40000000596046},{""page_index"":6,""viewing_time"":163.59999999403954},{""page_index"":7,""viewing_time"":162.40000000596046},{""page_index"":8,""viewing_time"":157.59999999403954},{""page_index"":9,""viewing_time"":149.80000001192093},{""page_index"":10,""viewing_time"":174.19999998807907},{""page_index"":11,""viewing_time"":181.59999999403954},{""page_index"":12,""viewing_time"":155.40000000596046},{""page_index"":13,""viewing_time"":156.80000001192093},{""page_index"":14,""viewing_time"":190.19999998807907},{""page_index"":15,""viewing_time"":175},{""page_index"":16,""viewing_time"":126.5},{""page_index"":17,""viewing_time"":171.7000000178814}]","4401.5999999940395","","","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","3","11336","0.0-2.0-1.0-0.0","battery-v0.2","","","374.2000000178814","&#9776;","elianto","#3366ff99","32","32","1","+10","1227.7000000178814","1","0","1","5ee95e0e8737a0304baac70a&order=3&STUDY_ID=61caf6d05e4609be7bf98488","999","","","","","","","","","",""
"pit-trial","4","14710","0.0-2.0-1.0-1.0","battery-v0.2","","","517.1999999880791","&#9776;","elianto","#3366ff99","32","32","1","+10","1367.4000000059605","1","0","1","5ee95e0e8737a0304baac70a&order=3&STUDY_ID=61caf6d05e4609be7bf98488","999","","","","","","","","","",""
"pit-trial","5","18193","0.0-2.0-1.0-2.0","battery-v0.2","","","624.3000000119209","&#9776;","elianto","#3366ff99","32","32","1","+10","1475.4000000059605","1","0","1","5ee95e0e8737a0304baac70a&order=3&STUDY_ID=61caf6d05e4609be7bf98488","999","","","","","","","","","",""
"pit-trial","6","21392","0.0-2.0-1.0-3.0","battery-v0.2","","","343.40000000596046","&#9776;","elianto","#3366ff99","32","32","1","0","1193.800000011921","1","0","1","5ee95e0e8737a0304baac70a&order=3&STUDY_ID=61caf6d05e4609be7bf98488","999","","","","","","","","","",""
"pit-trial","7","24310","0.0-2.0-1.0-4.0","battery-v0.2","","","63","&#9776;","elianto","#3366ff99","32","32","1","+10","913.8999999761581","1","0","1","5ee95e0e8737a0304baac70a&order=3&STUDY_ID=61caf6d05e4609be7bf98488","999","","","","","","","","","",""
"call-function","8","24314","0.0-2.0-2.0","battery-v0.2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","9","25749","0.0-2.0-3.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":914.7999999821186},{""page_index"":1,""viewing_time"":188.40000000596046},{""page_index"":2,""viewing_time"":187.5},{""page_index"":3,""viewing_time"":142.69999998807907}]","1433.699999988079","","","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","10","30604","0.0-2.0-4.0-0.0","battery-v0.2","","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","5ee95e0e8737a0304baac70a&order=3&STUDY_ID=61caf6d05e4609be7bf98488","999","","","","","","","","","",""
"pit-trial","11","35458","0.0-2.0-4.0-1.0","battery-v0.2","","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","5ee95e0e8737a0304baac70a&order=3&STUDY_ID=61caf6d05e4609be7bf98488","999","","","","","","","","","",""
"pit-trial","12","40314","0.0-2.0-4.0-2.0","battery-v0.2","","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","5ee95e0e8737a0304baac70a&order=3&STUDY_ID=61caf6d05e4609be7bf98488","999","","","","","","","","","",""
"pit-trial","13","45170","0.0-2.0-4.0-3.0","battery-v0.2","","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","5ee95e0e8737a0304baac70a&order=3&STUDY_ID=61caf6d05e4609be7bf98488","999","","","","","","","","","",""
"pit-trial","14","50026","0.0-2.0-4.0-4.0","battery-v0.2","","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","0","","0","0","2","5ee95e0e8737a0304baac70a&order=3&STUDY_ID=61caf6d05e4609be7bf98488","999","","","","","","","","","",""
"call-function","15","50029","0.0-2.0-5.0","battery-v0.2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","16","56131","0.0-2.0-6.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":5920.9000000059605},{""page_index"":1,""viewing_time"":180.40000000596046}]","6102","","","","","","","","","","","","","","","","","","","","","","",""
