"trial_type","trial_index","time_elapsed","internal_node_id","task_version","success","view_history","rt"
"pavlovia","0","27","0.0-0.0","battery-v0.2","","",""
"fullscreen","1","7834","0.0-1.0","battery-v0.2","true","",""
"pit-instructions","2","9442","0.0-2.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":1246.9000000003725},{""page_index"":1,""viewing_time"":178.89999999850988},{""page_index"":2,""viewing_time"":178.30000000074506}]","1604.9000000003725"
