"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","subject","participantId","value"
"pavlovia","0","21","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","",""
"pit-instructions","1","11821","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":3183.699999988079},{""page_index"":1,""viewing_time"":1972.0999999642372},{""page_index"":2,""viewing_time"":672.8000000119209},{""page_index"":3,""viewing_time"":526.6000000238419},{""page_index"":4,""viewing_time"":1889.3999999761581},{""page_index"":5,""viewing_time"":780.1000000238419},{""page_index"":6,""viewing_time"":517.8000000119209},{""page_index"":7,""viewing_time"":460.69999998807907},{""page_index"":8,""viewing_time"":496},{""page_index"":9,""viewing_time"":413},{""page_index"":10,""viewing_time"":445.5},{""page_index"":11,""viewing_time"":438.19999998807907}]","11796.899999976158","","","","","","","","","","","","","",""
"pit-trial","2","16323","0.0-1.0-1.0-0.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"pit-trial","3","20831","0.0-1.0-1.0-1.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"pit-trial","4","25341","0.0-1.0-1.0-2.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"pit-trial","5","29850","0.0-1.0-1.0-3.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"pit-trial","6","34360","0.0-1.0-1.0-4.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"pit-trial","7","38866","0.0-1.0-1.1-0.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"pit-trial","8","43369","0.0-1.0-1.1-1.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"pit-trial","9","47876","0.0-1.0-1.1-2.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","2910.599999964237","1","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"pit-trial","10","50938","0.0-1.0-1.1-3.1","battery-v0.2","","556.0999999642372","&#9776;","elianto","#3366ff99","32","32","1","0","1057.3999999761581","1","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
