"trial_type","trial_index","time_elapsed","internal_node_id","task_version","success","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","subject","participantId","value","responses","num_errors","sub","trial","stimulus","robot","valence","action","sham"
"pavlovia","0","23","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","4846","0.0-1.0","battery-v0.2","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","2","57529","0.0-2.0-0.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":3252.5},{""page_index"":1,""viewing_time"":4177.800000011921},{""page_index"":2,""viewing_time"":2697.699999988079},{""page_index"":3,""viewing_time"":1986.300000011921},{""page_index"":4,""viewing_time"":1995.5999999940395},{""page_index"":5,""viewing_time"":2166.4000000059605},{""page_index"":6,""viewing_time"":2492.199999988079},{""page_index"":7,""viewing_time"":4042.9000000059605},{""page_index"":8,""viewing_time"":3209.4000000059605},{""page_index"":9,""viewing_time"":3202.5999999940395},{""page_index"":10,""viewing_time"":7649.5},{""page_index"":11,""viewing_time"":3365.0999999940395},{""page_index"":12,""viewing_time"":5249.5},{""page_index"":13,""viewing_time"":4928.9000000059605},{""page_index"":14,""viewing_time"":2260.2000000178814}]","52677.90000000596","","","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","3","60985","0.0-2.0-1.0-0.0","battery-v0.2","","","596.4000000059605","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","1449.0999999940395","1","0","0","615a0ad49f4aaece709552c5&order=&STUDY_ID=61f02a8661f82b834564f044","999","","","","","","","","","",""
"pit-trial","4","64465","0.0-2.0-1.1-0.1","battery-v0.2","","","617.1000000238419","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","1467.6000000238419","1","0","0","615a0ad49f4aaece709552c5&order=&STUDY_ID=61f02a8661f82b834564f044","999","","","","","","","","","",""
"pit-trial","5","68025","0.0-2.0-1.2-0.2","battery-v0.2","","","703.0999999940395","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","1553.800000011921","1","0","0","615a0ad49f4aaece709552c5&order=&STUDY_ID=61f02a8661f82b834564f044","999","","","","","","","","","",""
"pit-trial","6","71409","0.0-2.0-1.3-0.3","battery-v0.2","","","524.6999999880791","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","1376.7000000178814","1","0","0","615a0ad49f4aaece709552c5&order=&STUDY_ID=61f02a8661f82b834564f044","999","","","","","","","","","",""
"pit-trial","7","74912","0.0-2.0-1.4-0.4","battery-v0.2","","","642.3000000119209","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","1494.2000000178814","1","0","0","615a0ad49f4aaece709552c5&order=&STUDY_ID=61f02a8661f82b834564f044","999","","","","","","","","","",""
"pit-instructions","8","84110","0.0-2.0-2.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":2723.699999988079},{""page_index"":1,""viewing_time"":2241.7000000178814},{""page_index"":2,""viewing_time"":2346},{""page_index"":3,""viewing_time"":1880.5}]","9192.5","","","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","9","88972","0.0-2.0-3.0-0.0","battery-v0.2","","","-1","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","","0","0","1","615a0ad49f4aaece709552c5&order=&STUDY_ID=61f02a8661f82b834564f044","999","","","","","","","","","",""
