"trial_type","trial_index","time_elapsed","internal_node_id","task_version","rune","rune_set","hex","correct","choice","rt","accuracy","outcome","keys","total_keys","sub","block","trial","stimulus","robot","valence","action","sham"
"pavlovia","0","29","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","","","",""
"pit-trial","1","2907","0.0-1.0","battery-v0.2","G","elianto","#f73b6a7A","32","32","23.799999952316284","1","0","459.09999990463257,671.7999999523163,874.6999998092651,1078.1999998092651,1246.0999999046326","5","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","2","21","3","3","lose","go","0"
"pit-trial","2","5776","0.0-2.0","battery-v0.2","A","elianto","#3366ff99","32","32","11.200000047683716","1","+10","861.8000001907349,1043.2000000476837,1222.6000001430511","3","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","2","22","2","1","win","go","0"
"pit-trial","3","8725","0.0-3.0","battery-v0.2","L","elianto","#3366ff99","-1","32","91.5","0","0","615.0999999046326,783.0999999046326,941.5999999046326,1110.4000000953674","4","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","2","23","1","2","win","no-go","0"
"pit-trial","4","11601","0.0-4.0","battery-v0.2","U","elianto","#3366ff99","-1","32","22.299999952316284","0","0","726.8000001907349,872.5,1065.2000000476837","3","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","2","24","0","2","win","no-go","0"
"pit-trial","5","14508","0.0-5.0","battery-v0.2","U","elianto","#3366ff99","-1","32","48.69999980926514","0","0","899.3999998569489","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","2","25","0","2","win","no-go","0"
"pit-trial","6","17373","0.0-6.0","battery-v0.2","G","elianto","#f73b6a7A","32","32","10","1","0","860.0999999046326","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","2","26","3","3","lose","go","0"
"pit-trial","7","20286","0.0-7.0","battery-v0.2","A","elianto","#3366ff99","32","32","59","1","0","909.7000000476837","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","2","27","2","1","win","go","1"
"pit-trial","8","23215","0.0-8.0","battery-v0.2","L","elianto","#3366ff99","-1","32","72.09999990463257","0","+10","201.89999985694885,405.09999990463257,618,922.5999999046326,1011.2999999523163,1237.3999998569489,1451,1665,2576.7999999523163,2835.2000000476837","10","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","2","28","1","2","win","no-go","1"
"pit-trial","9","26549","0.0-9.0","battery-v0.2","U","elianto","#3366ff99","-1","32","43.69999980926514","0","+10","128.40000009536743,398.7000000476837,658.2999999523163,894.0999999046326,1164.7000000476837","5","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","2","29","0","2","win","no-go","1"
"pit-trial","10","33674","0.0-10.0","battery-v0.2","A","elianto","#3366ff99","32","-1","-1","0","0","","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","2","30","2","1","win","go","0"
"pit-trial","11","40283","0.0-11.0","battery-v0.2","L","elianto","#3366ff99","-1","-1","-1","1","+10","","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","2","31","1","2","win","no-go","0"
"pit-trial","12","46611","0.0-12.0","battery-v0.2","G","elianto","#f73b6a7A","32","-1","-1","0","-10","","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","2","32","3","3","lose","go","0"
