"trial_type","trial_index","time_elapsed","internal_node_id","task_version","success","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","subject","participantId"
"pavlovia","0","48","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","",""
"fullscreen","1","7251","0.0-1.0","battery-v0.2","true","","","","","","","","","","","","","","",""
"pit-instructions","2","71236","0.0-2.0-0.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":2580.2000000029802},{""page_index"":1,""viewing_time"":5146.29999999702},{""page_index"":2,""viewing_time"":2095.2000000029802},{""page_index"":3,""viewing_time"":1769.7999999970198},{""page_index"":2,""viewing_time"":3479.7000000029802},{""page_index"":1,""viewing_time"":4198.20000000298},{""page_index"":0,""viewing_time"":667.5999999940395},{""page_index"":1,""viewing_time"":3140.7000000029802},{""page_index"":2,""viewing_time"":2461.0999999940395},{""page_index"":1,""viewing_time"":1273.2999999970198},{""page_index"":2,""viewing_time"":6037.800000011921},{""page_index"":3,""viewing_time"":2020.5},{""page_index"":4,""viewing_time"":1424.0999999940395},{""page_index"":5,""viewing_time"":4715.0999999940395},{""page_index"":6,""viewing_time"":2466.800000011921},{""page_index"":7,""viewing_time"":5724},{""page_index"":8,""viewing_time"":1677.199999988079},{""page_index"":9,""viewing_time"":7643.600000008941},{""page_index"":10,""viewing_time"":3330.5},{""page_index"":11,""viewing_time"":2125.2000000029802}]","63980.59999999404","","","","","","","","","","","","",""
"pit-trial","3","74354","0.0-2.0-1.0-0.0","battery-v0.2","","","256.29999999701977","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","1106.0999999940395","1","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","4","77506","0.0-2.0-1.1-0.1","battery-v0.2","","","295.70000000298023","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","1145.7000000029802","1","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","5","80766","0.0-2.0-1.2-0.2","battery-v0.2","","","403.8999999910593","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","1254.2999999970198","1","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","6","83965","0.0-2.0-1.3-0.3","battery-v0.2","","","341.79999999701977","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","1192.199999988079","1","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","7","87294","0.0-2.0-1.4-0.4","battery-v0.2","","","466.30000001192093","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","1316.8999999910593","1","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-instructions","8","97250","0.0-2.0-2.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":3760},{""page_index"":1,""viewing_time"":2349.8999999910593},{""page_index"":2,""viewing_time"":2114.6000000089407},{""page_index"":3,""viewing_time"":1724.699999988079}]","9949.89999999106","","","","","","","","","","","","",""
"pit-trial","9","102119","0.0-2.0-3.0-0.0","battery-v0.2","","","-1","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","10","106984","0.0-2.0-3.1-0.1","battery-v0.2","","","-1","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","11","110243","0.0-2.0-3.2-0.2","battery-v0.2","","","395.1000000089407","&#9854;","elianto","#FFFFF080","-1","32","0","&#10060","1248.8999999910593","1","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","12","115107","0.0-2.0-3.3-0.3","battery-v0.2","","","-1","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","13","119976","0.0-2.0-3.4-0.4","battery-v0.2","","","-1","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","14","124838","0.0-2.0-3.5-0.5","battery-v0.2","","","-1","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-instructions","15","131852","0.0-2.0-3.5-1.5-0.5","battery-v0.2","","[{""page_index"":0,""viewing_time"":4291.79999999702},{""page_index"":1,""viewing_time"":2719.4000000059605}]","7011.9000000059605","","","","","","","","","","","","",""
