"trial_type","trial_index","time_elapsed","internal_node_id","task_version","success","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","subject","participantId","value","responses","num_errors","sub","trial","stimulus","robot","valence","action","sham"
"pavlovia","0","47","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","3751","0.0-1.0","battery-v0.2","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","2","29158","0.0-2.0-0.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":3421.300000011921},{""page_index"":1,""viewing_time"":1328.5},{""page_index"":2,""viewing_time"":546.6999999880791},{""page_index"":3,""viewing_time"":654.6000000238419},{""page_index"":4,""viewing_time"":985.0999999940395},{""page_index"":5,""viewing_time"":3240.2999999821186},{""page_index"":4,""viewing_time"":2414.9000000059605},{""page_index"":5,""viewing_time"":915.3000000119209},{""page_index"":6,""viewing_time"":705},{""page_index"":7,""viewing_time"":1856.7999999821186},{""page_index"":8,""viewing_time"":996.8000000119209},{""page_index"":9,""viewing_time"":2786.5},{""page_index"":10,""viewing_time"":4179.699999988079},{""page_index"":11,""viewing_time"":1369.4000000059605}]","25402.40000000596","","","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","3","32107","0.0-2.0-1.0-0.0","battery-v0.2","","","89.80000001192093","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","941.5","1","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","","","","","","","","",""
"pit-trial","4","35082","0.0-2.0-1.1-0.1","battery-v0.2","","","115.5","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","966.5999999940395","1","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","","","","","","","","",""
"pit-trial","5","38066","0.0-2.0-1.2-0.2","battery-v0.2","","","127.59999999403954","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","977.5999999940395","1","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","","","","","","","","",""
"pit-trial","6","41024","0.0-2.0-1.3-0.3","battery-v0.2","","","99.2000000178814","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","949.4000000059605","1","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","","","","","","","","",""
"pit-trial","7","45254","0.0-2.0-1.4-0.4","battery-v0.2","","","1373.2999999821186","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","2223.699999988079","1","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","","","","","","","","",""
"pit-instructions","8","51506","0.0-2.0-2.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":2752.5},{""page_index"":1,""viewing_time"":988},{""page_index"":2,""viewing_time"":1127.0999999940395},{""page_index"":3,""viewing_time"":1378}]","6246.0999999940395","","","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","9","56370","0.0-2.0-3.0-0.0","battery-v0.2","","","-1","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","","","","","","","","",""
