"trial_type","trial_index","time_elapsed","internal_node_id","task_version","success","view_history","rt"
"pavlovia","0","21","0.0-0.0","battery-v0.2","","",""
"fullscreen","1","6025","0.0-1.0","battery-v0.2","true","",""
"pit-instructions","2","19347","0.0-2.0-0.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":9034.699999999255},{""page_index"":1,""viewing_time"":159.90000000037253},{""page_index"":2,""viewing_time"":169.40000000037253},{""page_index"":3,""viewing_time"":183.40000000037253},{""page_index"":4,""viewing_time"":161.69999999925494},{""page_index"":5,""viewing_time"":828.0999999996275},{""page_index"":6,""viewing_time"":554.7000000011176},{""page_index"":7,""viewing_time"":532.2999999988824},{""page_index"":8,""viewing_time"":606.7000000011176},{""page_index"":9,""viewing_time"":586.4000000003725},{""page_index"":10,""viewing_time"":143.2999999988824},{""page_index"":11,""viewing_time"":353.2000000011176}]","13314.300000000745"
