"trial_type","trial_index","time_elapsed","internal_node_id","task_version","success","view_history","rt","responses","num_errors","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","subject","participantId","value","sub","trial","stimulus","robot","valence","action","sham"
"pavlovia","0","16","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","2222","0.0-1.0","battery-v0.2","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","2","27875","0.0-2.0-0.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":25649.800000071526}]","25650.100000023842","","","","","","","","","","","","","","","","","","","","","","",""
"pit-comprehension","3","39981","0.0-2.0-1.0-0.0","battery-v0.2","","","12101.100000023842","[""shark""]","0","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","4","41027","0.0-2.0-1.0-1.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":1039.5999999046326}]","1039.7999999523163","","","","","","","","","","","","","","","","","","","","","","",""
"pit-comprehension","5","45629","0.0-2.0-2.0-0.0","battery-v0.2","","","4598.799999952316","[""tiger""]","0","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","6","47248","0.0-2.0-2.0-1.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":1616.8999999761581}]","1617.2000000476837","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","7","597521","0.0-2.0-3.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":67002.80000007153},{""page_index"":1,""viewing_time"":6232.899999976158},{""page_index"":2,""viewing_time"":6176.399999976158},{""page_index"":3,""viewing_time"":341760.10000002384},{""page_index"":4,""viewing_time"":8798.100000023842},{""page_index"":5,""viewing_time"":19175.899999976158},{""page_index"":6,""viewing_time"":11306.700000047684},{""page_index"":5,""viewing_time"":2294.899999976158},{""page_index"":4,""viewing_time"":4398.899999976158},{""page_index"":5,""viewing_time"":4635},{""page_index"":6,""viewing_time"":6491.600000023842},{""page_index"":7,""viewing_time"":6648.799999952316},{""page_index"":8,""viewing_time"":8336.399999976158},{""page_index"":9,""viewing_time"":8358.900000095367},{""page_index"":10,""viewing_time"":8134.099999904633},{""page_index"":11,""viewing_time"":13455},{""page_index"":12,""viewing_time"":12521.700000047684},{""page_index"":13,""viewing_time"":14524}]","550252.8000000715","","","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","8","600773","0.0-2.0-4.0-0.0","battery-v0.2","","","394.89999997615814","","","&#9784;","elianto","#FFFFF080"," "," ","1","&#10004","[1245.8000000715256]","1","0","0","999&age=19&gender=f&participant_ID=888","888","","","","","","","",""
"pit-trial","9","603965","0.0-2.0-4.1-0.1","battery-v0.2","","","338.7999999523163","","","&#9784;","elianto","#FFFFF080"," "," ","1","&#10004","[525,1188.8999999761581]","2","0","0","999&age=19&gender=f&participant_ID=888","888","","","","","","","",""
"pit-trial","10","607624","0.0-2.0-4.2-0.2","battery-v0.2","","","802.2000000476837","","","&#9784;","elianto","#FFFFF080"," "," ","1","&#10004","[1653.3000000715256]","1","0","0","999&age=19&gender=f&participant_ID=888","888","","","","","","","",""
"pit-trial","11","610828","0.0-2.0-4.3-0.3","battery-v0.2","","","350.10000002384186","","","&#9784;","elianto","#FFFFF080"," "," ","1","&#10004","[1200.8999999761581]","1","0","0","999&age=19&gender=f&participant_ID=888","888","","","","","","","",""
"pit-trial","12","613979","0.0-2.0-4.4-0.4","battery-v0.2","","","294.60000002384186","","","&#9784;","elianto","#FFFFF080"," "," ","1","&#10004","[1146.5]","1","0","0","999&age=19&gender=f&participant_ID=888","888","","","","","","","",""
"pit-instructions","13","689009","0.0-2.0-5.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":47529.59999990463},{""page_index"":1,""viewing_time"":7031.600000023842},{""page_index"":2,""viewing_time"":7998.600000023842},{""page_index"":3,""viewing_time"":12465.200000047684}]","75025.19999992847","","","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","14","693868","0.0-2.0-6.0-0.0","battery-v0.2","","","-1","","","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","[]","0","0","1","999&age=19&gender=f&participant_ID=888","888","","","","","","","",""
"pit-trial","15","698723","0.0-2.0-6.1-0.1","battery-v0.2","","","-1","","","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","[]","0","0","1","999&age=19&gender=f&participant_ID=888","888","","","","","","","",""
"pit-trial","16","703577","0.0-2.0-6.2-0.2","battery-v0.2","","","-1","","","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","[]","0","0","1","999&age=19&gender=f&participant_ID=888","888","","","","","","","",""
"pit-trial","17","708431","0.0-2.0-6.3-0.3","battery-v0.2","","","-1","","","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","[]","0","0","1","999&age=19&gender=f&participant_ID=888","888","","","","","","","",""
"pit-trial","18","713288","0.0-2.0-6.4-0.4","battery-v0.2","","","-1","","","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","[]","0","0","1","999&age=19&gender=f&participant_ID=888","888","","","","","","","",""
"pit-instructions","19","1097976","0.0-2.0-7.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":11032.5},{""page_index"":1,""viewing_time"":9000.199999928474},{""page_index"":2,""viewing_time"":11047.600000023842},{""page_index"":3,""viewing_time"":8932.799999952316},{""page_index"":2,""viewing_time"":5907.600000023842},{""page_index"":3,""viewing_time"":10675.100000023842},{""page_index"":2,""viewing_time"":968},{""page_index"":3,""viewing_time"":5996},{""page_index"":4,""viewing_time"":6063.700000047684},{""page_index"":5,""viewing_time"":5163.899999976158},{""page_index"":4,""viewing_time"":56149.699999928474},{""page_index"":5,""viewing_time"":8010.100000023842},{""page_index"":6,""viewing_time"":5141.5},{""page_index"":7,""viewing_time"":8572.600000023842},{""page_index"":8,""viewing_time"":48905.299999952316},{""page_index"":9,""viewing_time"":5962.600000023842},{""page_index"":10,""viewing_time"":7695.300000071526},{""page_index"":11,""viewing_time"":4152.299999952316},{""page_index"":12,""viewing_time"":7660.200000047684},{""page_index"":13,""viewing_time"":10192.699999928474},{""page_index"":12,""viewing_time"":43088.10000002384},{""page_index"":13,""viewing_time"":9776.5},{""page_index"":14,""viewing_time"":17977.799999952316},{""page_index"":15,""viewing_time"":6840.100000023842},{""page_index"":14,""viewing_time"":6727.600000023842},{""page_index"":15,""viewing_time"":48893.299999952316},{""page_index"":16,""viewing_time"":6862.700000047684},{""page_index"":17,""viewing_time"":7278.899999976158}]","384674.89999997616","","","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","20","1101270","0.0-2.0-8.0-0.0","battery-v0.2","","","440.90000009536743","","","&#9776;","elianto","#3366ff99"," "," ","1","+10","[1291.2999999523163]","1","0","1","999&age=19&gender=f&participant_ID=888","888","","","","","","","",""
"pit-trial","21","1104465","0.0-2.0-8.0-1.0","battery-v0.2","","","340.90000009536743","","","&#9776;","elianto","#3366ff99"," "," ","1","+10","[765.8999999761581,1193.3999999761581]","2","0","1","999&age=19&gender=f&participant_ID=888","888","","","","","","","",""
"pit-trial","22","1107605","0.0-2.0-8.0-2.0","battery-v0.2","","","286.1999999284744","","","&#9776;","elianto","#3366ff99"," "," ","1","+10","[698.1999999284744,1136.7999999523163]","2","0","1","999&age=19&gender=f&participant_ID=888","888","","","","","","","",""
"pit-trial","23","1110822","0.0-2.0-8.0-3.0","battery-v0.2","","","365.39999997615814","","","&#9776;","elianto","#3366ff99"," "," ","1","0","[1215.2999999523163,2734.0999999046326]","2","0","1","999&age=19&gender=f&participant_ID=888","888","","","","","","","",""
"pit-trial","24","1113705","0.0-2.0-8.0-4.0","battery-v0.2","","","27.399999976158142","","","&#9776;","elianto","#3366ff99"," "," ","1","+10","[879.6999999284744,2824.7999999523163]","2","0","1","999&age=19&gender=f&participant_ID=888","888","","","","","","","",""
"call-function","25","1113706","0.0-2.0-9.0","battery-v0.2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","26","1160541","0.0-2.0-10.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":5611.899999976158},{""page_index"":1,""viewing_time"":7357.5},{""page_index"":2,""viewing_time"":10260.200000047684},{""page_index"":3,""viewing_time"":10294},{""page_index"":4,""viewing_time"":1867.5999999046326},{""page_index"":3,""viewing_time"":7155.100000023842},{""page_index"":4,""viewing_time"":4286.399999976158}]","46833","","","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","27","1163927","0.0-2.0-11.0-0.0","battery-v0.2","","","531","","","&#9761;","elianto","#3366ff99","-1"," ","0","0","[1381.2000000476837]","1","0","2","999&age=19&gender=f&participant_ID=888","888","","","","","","","",""
"pit-trial","28","1166930","0.0-2.0-11.0-1.0","battery-v0.2","","","149.5","","","&#9761;","elianto","#3366ff99","-1"," ","0","0","[88.60000002384186,999.8999999761581]","2","0","2","999&age=19&gender=f&participant_ID=888","888","","","","","","","",""
"pit-trial","29","1170037","0.0-2.0-11.0-2.0","battery-v0.2","","","250.89999997615814","","","&#9761;","elianto","#3366ff99","-1"," ","0","0","[1101.2999999523163]","1","0","2","999&age=19&gender=f&participant_ID=888","888","","","","","","","",""
"pit-trial","30","1173230","0.0-2.0-11.0-3.0","battery-v0.2","","","340","","","&#9761;","elianto","#3366ff99","-1"," ","0","+10","[1190.2000000476837]","1","0","2","999&age=19&gender=f&participant_ID=888","888","","","","","","","",""
"pit-trial","31","1176423","0.0-2.0-11.0-4.0","battery-v0.2","","","341.2999999523163","","","&#9761;","elianto","#3366ff99","-1"," ","0","0","[1191.3999999761581]","1","0","2","999&age=19&gender=f&participant_ID=888","888","","","","","","","",""
"pit-trial","32","1179476","0.0-2.0-11.1-0.1","battery-v0.2","","","197","","","&#9761;","elianto","#3366ff99","-1"," ","0","0","[1046.9000000953674]","1","0","2","999&age=19&gender=f&participant_ID=888","888","","","","","","","",""
"pit-trial","33","1182626","0.0-2.0-11.1-1.1","battery-v0.2","","","294.60000002384186","","","&#9761;","elianto","#3366ff99","-1"," ","0","0","[1145.1000000238419]","1","0","2","999&age=19&gender=f&participant_ID=888","888","","","","","","","",""
"pit-trial","34","1185506","0.0-2.0-11.1-2.1","battery-v0.2","","","24.399999976158142","","","&#9761;","elianto","#3366ff99","-1"," ","0","0","[874.8000000715256]","1","0","2","999&age=19&gender=f&participant_ID=888","888","","","","","","","",""
