"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","subject","participantId"
"pavlovia","0","25","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","",""
"pit-instructions","1","4195","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1582.6000000014901},{""page_index"":1,""viewing_time"":481.3999999985099},{""page_index"":2,""viewing_time"":194.29999999701977},{""page_index"":3,""viewing_time"":148.80000000447035},{""page_index"":4,""viewing_time"":156.29999999701977},{""page_index"":5,""viewing_time"":191.89999999850988},{""page_index"":6,""viewing_time"":164.5},{""page_index"":7,""viewing_time"":181.60000000149012},{""page_index"":8,""viewing_time"":178.30000000447035},{""page_index"":9,""viewing_time"":521.8999999985099},{""page_index"":10,""viewing_time"":180.79999999701977},{""page_index"":11,""viewing_time"":183.70000000298023}]","4167.79999999702","","","","","","","","","","","","",""
"pit-trial","2","7250","0.0-1.0-1.0-0.0","battery-v0.2","","548.1000000014901","&#9776;","elianto","#3366ff99","32","32","1","+10","1048.8999999985099","1","0","1","&order=1&STUDY_ID=61bb98616f28aedf5237274a","999"
