"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","age","subject","participantId"
"pavlovia","0","16","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","",""
"pit-instructions","1","5382","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":2663.599999964237},{""page_index"":1,""viewing_time"":749.5},{""page_index"":2,""viewing_time"":183.30000001192093},{""page_index"":3,""viewing_time"":183.5},{""page_index"":4,""viewing_time"":166.69999998807907},{""page_index"":5,""viewing_time"":200},{""page_index"":6,""viewing_time"":166.19999998807907},{""page_index"":7,""viewing_time"":183.80000001192093},{""page_index"":8,""viewing_time"":216.69999998807907},{""page_index"":9,""viewing_time"":283.4000000357628},{""page_index"":10,""viewing_time"":166.5999999642372},{""page_index"":11,""viewing_time"":200.10000002384186}]","5364.199999988079","","","","","","","","","","","","","",""
"pit-trial","2","10889","0.0-1.0-1.0-0.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","14","999&age=14&participant_ID=5&order=1","5"
"pit-trial","3","17837","0.0-1.0-1.0-1.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","14","999&age=14&participant_ID=5&order=1","5"
