"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt"
"pavlovia","0","2","0.0-0.0","battery-v0.2","",""
"pit-instructions","1","25699","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":6028},{""page_index"":1,""viewing_time"":1892.000000000001},{""page_index"":2,""viewing_time"":1145.999999999999},{""page_index"":3,""viewing_time"":1024},{""page_index"":4,""viewing_time"":1125},{""page_index"":5,""viewing_time"":2284},{""page_index"":6,""viewing_time"":1856.0000000000018},{""page_index"":7,""viewing_time"":1923.9999999999982},{""page_index"":8,""viewing_time"":573},{""page_index"":9,""viewing_time"":1215},{""page_index"":10,""viewing_time"":810},{""page_index"":11,""viewing_time"":1902},{""page_index"":12,""viewing_time"":900},{""page_index"":13,""viewing_time"":1698},{""page_index"":14,""viewing_time"":1317}]","25696"
