"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","value","responses","num_errors","quiz"
"pavlovia","0","21","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","","",""
"pit-instructions","1","165032","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":18048.099999964237},{""page_index"":1,""viewing_time"":11269.900000035763},{""page_index"":2,""viewing_time"":29191.899999976158},{""page_index"":3,""viewing_time"":5233.5},{""page_index"":4,""viewing_time"":4826.699999988079},{""page_index"":5,""viewing_time"":3321.199999988079},{""page_index"":6,""viewing_time"":9229},{""page_index"":7,""viewing_time"":8688.800000011921},{""page_index"":8,""viewing_time"":1743.5},{""page_index"":7,""viewing_time"":5689.900000035763},{""page_index"":8,""viewing_time"":7549.099999964237},{""page_index"":7,""viewing_time"":418.60000002384186},{""page_index"":6,""viewing_time"":3952.5},{""page_index"":5,""viewing_time"":4616.899999976158},{""page_index"":6,""viewing_time"":1032.6000000238419},{""page_index"":7,""viewing_time"":5281},{""page_index"":8,""viewing_time"":8091.5},{""page_index"":9,""viewing_time"":6118.300000011921},{""page_index"":10,""viewing_time"":4136.799999952316},{""page_index"":11,""viewing_time"":26572.900000035763}]","165014.29999995232","","","","","","","","","","","","","","",""
"pit-trial","2","170490","0.0-1.0-1.0-0.0","battery-v0.2","","1948.4000000357628","&#9776;","elianto","#3366ff99","32","32","1","+10","3448.800000011921","1","0","1","","","",""
"pit-trial","3","175168","0.0-1.0-1.0-1.0","battery-v0.2","","1167.5","&#9776;","elianto","#3366ff99","32","32","1","+10","2669.5","1","0","1","","","",""
"pit-trial","4","179390","0.0-1.0-1.0-2.0","battery-v0.2","","712.3000000119209","&#9776;","elianto","#3366ff99","32","32","1","+10","2212.399999976158","1","0","1","","","",""
"pit-trial","5","184209","0.0-1.0-1.0-3.0","battery-v0.2","","1306.699999988079","&#9776;","elianto","#3366ff99","32","32","1","0","2809.699999988079,3962.899999976158","2","0","1","","","",""
"pit-trial","6","188634","0.0-1.0-1.0-4.0","battery-v0.2","","911.3000000119209","&#9776;","elianto","#3366ff99","32","32","1","+10","2414.199999988079","1","0","1","","","",""
"call-function","7","188639","0.0-1.0-2.0","battery-v0.2","","","","","","","","","","","","","","","","",""
"pit-instructions","8","246945","0.0-1.0-3.0","battery-v0.2","[{""page_index"":0,""viewing_time"":8240.300000011921},{""page_index"":1,""viewing_time"":4517},{""page_index"":2,""viewing_time"":6842.5},{""page_index"":3,""viewing_time"":16848.400000035763},{""page_index"":4,""viewing_time"":3439.099999964237},{""page_index"":5,""viewing_time"":18418.80000001192}]","58306.90000003576","","","","","","","","","","","","","","",""
"pit-trial","9","251029","0.0-1.0-4.0-0.0","battery-v0.2","","573","&#9776;","elianto","#3366ff99","-1","32","0","0","2074.399999976158","1","0","2","","","",""
"pit-trial","10","255296","0.0-1.0-4.0-1.0","battery-v0.2","","757.3999999761581","&#9776;","elianto","#3366ff99","-1","32","0","0","2258.699999988079","1","0","2","","","",""
"pit-trial","11","260809","0.0-1.0-4.0-2.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","","","",""
"pit-trial","12","266317","0.0-1.0-4.0-3.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","","","",""
"pit-trial","13","271828","0.0-1.0-4.0-4.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","-1","-1","1","0","","0","0","2","","","",""
"call-function","14","271830","0.0-1.0-5.0","battery-v0.2","","","","","","","","","","","","","","","","",""
"pit-instructions","15","298140","0.0-1.0-6.0","battery-v0.2","[{""page_index"":0,""viewing_time"":3941.699999988079},{""page_index"":1,""viewing_time"":4498.699999988079},{""page_index"":2,""viewing_time"":7564.600000023842},{""page_index"":3,""viewing_time"":3920.7999999523163},{""page_index"":4,""viewing_time"":6383.300000011921}]","26309.599999964237","","","","","","","","","","","","","","",""
"pit-trial","16","302712","0.0-1.0-7.0-0.0","battery-v0.2","","1062.0999999642372","&#9826;","elianto","#f73b6a7A","-1","32","0","-10","2563.7000000476837","1","0","3","","","",""
"pit-trial","17","308219","0.0-1.0-7.0-1.0","battery-v0.2","","-1","&#9826;","elianto","#f73b6a7A","-1","-1","1","0","","0","0","3","","","",""
"pit-trial","18","313729","0.0-1.0-7.0-2.0","battery-v0.2","","-1","&#9826;","elianto","#f73b6a7A","-1","-1","1","-10","","0","0","3","","","",""
"pit-trial","19","319240","0.0-1.0-7.0-3.0","battery-v0.2","","-1","&#9826;","elianto","#f73b6a7A","-1","-1","1","0","","0","0","3","","","",""
"pit-trial","20","324754","0.0-1.0-7.0-4.0","battery-v0.2","","-1","&#9826;","elianto","#f73b6a7A","-1","-1","1","0","","0","0","3","","","",""
"call-function","21","324757","0.0-1.0-8.0","battery-v0.2","","","","","","","","","","","","","","","","",""
"pit-instructions","22","330808","0.0-1.0-9.0","battery-v0.2","[{""page_index"":0,""viewing_time"":3560},{""page_index"":1,""viewing_time"":2489.800000011921}]","6050.5","","","","","","","","","","","","","","",""
"pit-trial","23","334987","0.0-1.0-10.0-0.0","battery-v0.2","","667.8000000119209","&#9789;","elianto","#f73b6a7A","32","32","1","0","2170.399999976158","1","0","4","","","",""
"pit-trial","24","338976","0.0-1.0-10.0-1.0","battery-v0.2","","478.39999997615814","&#9789;","elianto","#f73b6a7A","32","32","1","0","1979.6000000238419","1","0","4","","","",""
