"trial_type","trial_index","time_elapsed","internal_node_id","task_version","success","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","subject","participantId","value"
"pavlovia","0","21","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","","",""
"fullscreen","1","2103","0.0-1.0","battery-v0.2","true","","","","","","","","","","","","","","","",""
"pit-instructions","2","7545","0.0-2.0-0.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":1391.2000000029802},{""page_index"":1,""viewing_time"":177.59999999776483},{""page_index"":2,""viewing_time"":177.10000000149012},{""page_index"":3,""viewing_time"":175.09999999776483},{""page_index"":4,""viewing_time"":746.4000000022352},{""page_index"":5,""viewing_time"":200.09999999776483},{""page_index"":6,""viewing_time"":1018.5},{""page_index"":7,""viewing_time"":359.9000000022352},{""page_index"":8,""viewing_time"":160.80000000074506},{""page_index"":9,""viewing_time"":459.5999999977648},{""page_index"":10,""viewing_time"":161.5},{""page_index"":11,""viewing_time"":410}]","5439.900000002235","","","","","","","","","","","","","",""
"pit-trial","3","10547","0.0-2.0-1.0-0.0","battery-v0.2","","","145","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","996.6999999992549","1","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"pit-trial","4","13469","0.0-2.0-1.1-0.1","battery-v0.2","","","56.69999999925494","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","910.3000000007451","1","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"pit-trial","5","16372","0.0-2.0-1.2-0.2","battery-v0.2","","","46.5","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","896.6999999992549","1","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"pit-trial","6","19390","0.0-2.0-1.3-0.3","battery-v0.2","","","157.60000000149012","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","416.5999999977648,622.1999999992549,1007.8999999985099","3","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"pit-trial","7","22403","0.0-2.0-1.4-0.4","battery-v0.2","","","154","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","1005.7999999970198","1","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"pit-instructions","8","61284","0.0-2.0-2.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":2445.5},{""page_index"":1,""viewing_time"":1843.7999999970198},{""page_index"":2,""viewing_time"":4106},{""page_index"":3,""viewing_time"":30480.800000000745}]","38876.699999999255","","","","","","","","","","","","","",""
"pit-trial","9","65218","0.0-2.0-3.0-0.0","battery-v0.2","","","1078.3999999985099","&#9854;","elianto","#FFFFF080","-1","32","0","&#10060","1928.4000000022352","1","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
