"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","value"
"pavlovia","0","4","0.0-0.0","battery-v0.2","","","","","","","","","","","","","",""
"pit-instructions","1","57121","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":7661.059999954887},{""page_index"":1,""viewing_time"":3677.3700000485405},{""page_index"":2,""viewing_time"":3358.3550000330433},{""page_index"":3,""viewing_time"":3627.8199999360368},{""page_index"":4,""viewing_time"":3460.0599999539554},{""page_index"":5,""viewing_time"":6326.100000063889},{""page_index"":6,""viewing_time"":5329.234999953769},{""page_index"":7,""viewing_time"":10680.739999981597},{""page_index"":8,""viewing_time"":3345.770000014454},{""page_index"":9,""viewing_time"":9647.69500005059}]","57114.60500000976","","","","","","","","","","","",""
"pit-trial","2","60293","0.0-1.0-1.0-0.0","battery-v0.2","","468.19499996490777","1","elianto","#3366ff99","32","32","1","+10","1968.4399999678135","1","0","1",""
"pit-trial","3","63395","0.0-1.0-1.1-0.1","battery-v0.2","","396.40500000678","1","elianto","#3366ff99","32","32","1","+10","1897.1950000850484","1","0","1",""
"pit-trial","4","66200","0.0-1.0-1.2-0.2","battery-v0.2","","100.89000000152737","1","elianto","#3366ff99","32","32","1","+10","1601.5549999428913","1","0","1",""
"pit-trial","5","69040","0.0-1.0-1.3-0.3","battery-v0.2","","132.96499999705702","1","elianto","#3366ff99","32","32","1","+10","1633.3350000204518","1","0","1",""
"call-function","6","69042","0.0-1.0-2.0","battery-v0.2","","","","","","","","","","","","","",""
"pit-instructions","7","72442","0.0-1.0-3.0","battery-v0.2","[{""page_index"":0,""viewing_time"":2956.069999956526},{""page_index"":1,""viewing_time"":443.48999997600913}]","3399.9149999581277","","","","","","","","","","","",""
"pit-trial","8","76455","0.0-1.0-4.0-0.0","battery-v0.2","","-1","2","elianto","#3366ff99","-1","-1","1","+10","","0","0","2",""
"pit-trial","9","80468","0.0-1.0-4.1-0.1","battery-v0.2","","-1","2","elianto","#3366ff99","-1","-1","1","+10","","0","0","2",""
"pit-trial","10","84481","0.0-1.0-4.2-0.2","battery-v0.2","","-1","2","elianto","#3366ff99","-1","-1","1","+10","","0","0","2",""
"pit-trial","11","88493","0.0-1.0-4.3-0.3","battery-v0.2","","-1","2","elianto","#3366ff99","-1","-1","1","+10","","0","0","2",""
"call-function","12","88495","0.0-1.0-5.0","battery-v0.2","","","","","","","","","","","","","",""
"pit-instructions","13","115743","0.0-1.0-6.0","battery-v0.2","[{""page_index"":0,""viewing_time"":19450.920000090264},{""page_index"":1,""viewing_time"":7796.999999904074}]","27248.295000055805","","","","","","","","","","","",""
"pit-trial","14","119753","0.0-1.0-7.0-0.0","battery-v0.2","","-1","3","elianto","#f73b6a7A","-1","-1","1","0","","0","0","3",""
"pit-trial","15","123759","0.0-1.0-7.1-0.1","battery-v0.2","","-1","3","elianto","#f73b6a7A","-1","-1","1","0","","0","0","3",""
"pit-trial","16","127764","0.0-1.0-7.2-0.2","battery-v0.2","","-1","3","elianto","#f73b6a7A","-1","-1","1","0","","0","0","3",""
"pit-trial","17","131775","0.0-1.0-7.3-0.3","battery-v0.2","","-1","3","elianto","#f73b6a7A","-1","-1","1","0","","0","0","3",""
"call-function","18","131776","0.0-1.0-8.0","battery-v0.2","","","","","","","","","","","","","",""
"pit-instructions","19","158290","0.0-1.0-9.0","battery-v0.2","[{""page_index"":0,""viewing_time"":12721.889999927953},{""page_index"":1,""viewing_time"":13792.030000011437}]","26514.33499995619","","","","","","","","","","","",""
"pit-trial","20","162299","0.0-1.0-10.0-0.0","battery-v0.2","","-1","4","elianto","#f73b6a7A","32","-1","0","-10","","0","0","4",""
"pit-trial","21","166310","0.0-1.0-10.1-0.1","battery-v0.2","","-1","4","elianto","#f73b6a7A","32","-1","0","-10","","0","0","4",""
"pit-trial","22","170318","0.0-1.0-10.2-0.2","battery-v0.2","","-1","4","elianto","#f73b6a7A","32","-1","0","-10","","0","0","4",""
"pit-trial","23","174325","0.0-1.0-10.3-0.3","battery-v0.2","","-1","4","elianto","#f73b6a7A","32","-1","0","-10","","0","0","4",""
"pit-trial","24","178330","0.0-1.0-10.4-0.4","battery-v0.2","","-1","4","elianto","#f73b6a7A","32","-1","0","-10","","0","0","4",""
"pit-trial","25","182337","0.0-1.0-10.5-0.5","battery-v0.2","","-1","4","elianto","#f73b6a7A","32","-1","0","-10","","0","0","4",""
"pit-trial","26","186345","0.0-1.0-10.6-0.6","battery-v0.2","","-1","4","elianto","#f73b6a7A","32","-1","0","-10","","0","0","4",""
"pit-trial","27","190349","0.0-1.0-10.7-0.7","battery-v0.2","","-1","4","elianto","#f73b6a7A","32","-1","0","-10","","0","0","4",""
"pit-trial","28","194356","0.0-1.0-10.8-0.8","battery-v0.2","","-1","4","elianto","#f73b6a7A","32","-1","0","-10","","0","0","4",""
"pit-trial","29","198367","0.0-1.0-10.9-0.9","battery-v0.2","","-1","4","elianto","#f73b6a7A","32","-1","0","-10","","0","0","4",""
