"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","age","subject","participantId"
"pavlovia","0","4","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","",""
"pit-instructions","1","5100","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":2461.100000023842},{""page_index"":1,""viewing_time"":166.5},{""page_index"":2,""viewing_time"":166.79999995231628},{""page_index"":3,""viewing_time"":149.9000000357628},{""page_index"":4,""viewing_time"":166.80000001192093},{""page_index"":5,""viewing_time"":166.29999995231628},{""page_index"":6,""viewing_time"":183.70000004768372},{""page_index"":7,""viewing_time"":166.5},{""page_index"":8,""viewing_time"":250.0999999642372},{""page_index"":9,""viewing_time"":233.30000001192093},{""page_index"":10,""viewing_time"":549.8000000119209},{""page_index"":11,""viewing_time"":433.5}]","5094.600000023842","","","","","","","","","","","","","",""
"pit-trial","2","8947","0.0-1.0-1.0-0.0","battery-v0.2","","340.60000002384186","&#9776;","elianto","#3366ff99","32","32","1","+10","1345.0999999642372,1840.8999999761581","2","0","1","997","3&age=997&participant_ID=5&order=1","5"
