"trial_type","trial_index","time_elapsed","internal_node_id","task_version","rune","rune_set","hex","correct","choice","rt","accuracy","outcome","keys","total_keys","sub","block","trial","stimulus","robot","valence","action","sham"
"pavlovia","0","4","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","","","",""
"pit-trial","1","4860","0.0-1.0","battery-v0.2","&#9730;","elianto","#3366ff99","32","-1","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","1","1","1","1","win","go","0"
"pit-trial","2","9718","0.0-2.0","battery-v0.2","&#9752;","elianto","#f73b6a7A","32","-1","-1","0","-10","[]","0","3&age=8&participant_ID=5&order=1","1","2","3","3","lose","go","0"
"pit-trial","3","14576","0.0-3.0","battery-v0.2","&#9733;","elianto","#3366ff99","-1","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","1","3","2","2","win","no-go","0"
"pit-trial","4","19434","0.0-4.0","battery-v0.2","&#9728;","elianto","#f73b6a7A","-1","-1","-1","1","0","[]","0","3&age=8&participant_ID=5&order=1","1","4","0","4","lose","no-go","0"
"pit-trial","5","24294","0.0-5.0","battery-v0.2","&#9752;","elianto","#f73b6a7A","32","-1","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","1","5","3","3","lose","go","1"
"pit-trial","6","29151","0.0-6.0","battery-v0.2","&#9728;","elianto","#f73b6a7A","-1","-1","-1","1","-10","[]","0","3&age=8&participant_ID=5&order=1","1","6","0","4","lose","no-go","1"
"pit-trial","7","34007","0.0-7.0","battery-v0.2","&#9730;","elianto","#3366ff99","32","-1","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","1","7","1","1","win","go","0"
"pit-trial","8","38865","0.0-8.0","battery-v0.2","&#9733;","elianto","#3366ff99","-1","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","1","8","2","2","win","no-go","0"
"pit-trial","9","43723","0.0-9.0","battery-v0.2","&#9728;","elianto","#f73b6a7A","-1","-1","-1","1","0","[]","0","3&age=8&participant_ID=5&order=1","1","9","0","4","lose","no-go","0"
"pit-trial","10","48577","0.0-10.0","battery-v0.2","&#9730;","elianto","#3366ff99","32","-1","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","1","10","1","1","win","go","0"
"pit-trial","11","53432","0.0-11.0","battery-v0.2","&#9752;","elianto","#f73b6a7A","32","-1","-1","0","-10","[]","0","3&age=8&participant_ID=5&order=1","1","11","3","3","lose","go","0"
"pit-trial","12","58289","0.0-12.0","battery-v0.2","&#9733;","elianto","#3366ff99","-1","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","1","12","2","2","win","no-go","0"
"pit-trial","13","63148","0.0-13.0","battery-v0.2","&#9733;","elianto","#3366ff99","-1","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","1","13","2","2","win","no-go","0"
"pit-trial","14","68005","0.0-14.0","battery-v0.2","&#9728;","elianto","#f73b6a7A","-1","-1","-1","1","0","[]","0","3&age=8&participant_ID=5&order=1","1","14","0","4","lose","no-go","0"
"pit-trial","15","72864","0.0-15.0","battery-v0.2","&#9752;","elianto","#f73b6a7A","32","-1","-1","0","-10","[]","0","3&age=8&participant_ID=5&order=1","1","15","3","3","lose","go","0"
"pit-trial","16","77722","0.0-16.0","battery-v0.2","&#9730;","elianto","#3366ff99","32","-1","-1","0","+10","[]","0","3&age=8&participant_ID=5&order=1","1","16","1","1","win","go","1"
"pit-trial","17","82584","0.0-17.0","battery-v0.2","&#9733;","elianto","#3366ff99","-1","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","1","17","2","2","win","no-go","0"
"pit-trial","18","87438","0.0-18.0","battery-v0.2","&#9728;","elianto","#f73b6a7A","-1","-1","-1","1","0","[]","0","3&age=8&participant_ID=5&order=1","1","18","0","4","lose","no-go","0"
"pit-trial","19","92296","0.0-19.0","battery-v0.2","&#9730;","elianto","#3366ff99","32","-1","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","1","19","1","1","win","go","0"
"pit-trial","20","97150","0.0-20.0","battery-v0.2","&#9752;","elianto","#f73b6a7A","32","-1","-1","0","-10","[]","0","3&age=8&participant_ID=5&order=1","1","20","3","3","lose","go","0"
"pit-trial","21","102005","0.0-21.0","battery-v0.2","g","elianto","#3366ff99","32","-1","-1","0","+10","[]","0","3&age=8&participant_ID=5&order=1","2","21","3","1","win","go","1"
"pit-trial","22","106858","0.0-22.0","battery-v0.2","u","elianto","#3366ff99","-1","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","2","22","0","2","win","no-go","0"
"pit-trial","23","111716","0.0-23.0","battery-v0.2","a","elianto","#f73b6a7A","-1","-1","-1","1","0","[]","0","3&age=8&participant_ID=5&order=1","2","23","2","4","lose","no-go","0"
"pit-trial","24","116573","0.0-24.0","battery-v0.2","l","elianto","#f73b6a7A","32","-1","-1","0","-10","[]","0","3&age=8&participant_ID=5&order=1","2","24","1","3","lose","go","0"
"pit-trial","25","121429","0.0-25.0","battery-v0.2","l","elianto","#f73b6a7A","32","-1","-1","0","-10","[]","0","3&age=8&participant_ID=5&order=1","2","25","1","3","lose","go","0"
"pit-trial","26","126286","0.0-26.0","battery-v0.2","u","elianto","#3366ff99","-1","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","2","26","0","2","win","no-go","0"
"pit-trial","27","131145","0.0-27.0","battery-v0.2","g","elianto","#3366ff99","32","-1","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","2","27","3","1","win","go","0"
"pit-trial","28","135999","0.0-28.0","battery-v0.2","a","elianto","#f73b6a7A","-1","-1","-1","1","0","[]","0","3&age=8&participant_ID=5&order=1","2","28","2","4","lose","no-go","0"
"pit-trial","29","140858","0.0-29.0","battery-v0.2","a","elianto","#f73b6a7A","-1","-1","-1","1","0","[]","0","3&age=8&participant_ID=5&order=1","2","29","2","4","lose","no-go","0"
"pit-trial","30","145718","0.0-30.0","battery-v0.2","l","elianto","#f73b6a7A","32","-1","-1","0","-10","[]","0","3&age=8&participant_ID=5&order=1","2","30","1","3","lose","go","0"
"pit-trial","31","150578","0.0-31.0","battery-v0.2","u","elianto","#3366ff99","-1","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","2","31","0","2","win","no-go","0"
"pit-trial","32","155438","0.0-32.0","battery-v0.2","g","elianto","#3366ff99","32","-1","-1","0","+10","[]","0","3&age=8&participant_ID=5&order=1","2","32","3","1","win","go","1"
"pit-trial","33","160298","0.0-33.0","battery-v0.2","g","elianto","#3366ff99","32","-1","-1","0","+10","[]","0","3&age=8&participant_ID=5&order=1","2","33","3","1","win","go","1"
"pit-trial","34","165152","0.0-34.0","battery-v0.2","a","elianto","#f73b6a7A","-1","-1","-1","1","0","[]","0","3&age=8&participant_ID=5&order=1","2","34","2","4","lose","no-go","0"
"pit-trial","35","170007","0.0-35.0","battery-v0.2","l","elianto","#f73b6a7A","32","-1","-1","0","-10","[]","0","3&age=8&participant_ID=5&order=1","2","35","1","3","lose","go","0"
"pit-trial","36","174864","0.0-36.0","battery-v0.2","u","elianto","#3366ff99","-1","-1","-1","1","0","[]","0","3&age=8&participant_ID=5&order=1","2","36","0","2","win","no-go","1"
"pit-trial","37","179723","0.0-37.0","battery-v0.2","a","elianto","#f73b6a7A","-1","-1","-1","1","0","[]","0","3&age=8&participant_ID=5&order=1","2","37","2","4","lose","no-go","0"
"pit-trial","38","184578","0.0-38.0","battery-v0.2","u","elianto","#3366ff99","-1","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","2","38","0","2","win","no-go","0"
"pit-trial","39","189437","0.0-39.0","battery-v0.2","l","elianto","#f73b6a7A","32","-1","-1","0","-10","[]","0","3&age=8&participant_ID=5&order=1","2","39","1","3","lose","go","0"
"pit-trial","40","194296","0.0-40.0","battery-v0.2","g","elianto","#3366ff99","32","-1","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","2","40","3","1","win","go","0"
"pit-trial","41","199158","0.0-41.0","battery-v0.2","a","elianto","#f73b6a7A","-1","-1","-1","1","0","[]","0","3&age=8&participant_ID=5&order=1","2","41","2","4","lose","no-go","0"
"pit-trial","42","204014","0.0-42.0","battery-v0.2","l","elianto","#f73b6a7A","32","-1","-1","0","-10","[]","0","3&age=8&participant_ID=5&order=1","2","42","1","3","lose","go","0"
"pit-trial","43","208872","0.0-43.0","battery-v0.2","g","elianto","#3366ff99","32","-1","-1","0","+10","[]","0","3&age=8&participant_ID=5&order=1","2","43","3","1","win","go","1"
"pit-trial","44","213725","0.0-44.0","battery-v0.2","u","elianto","#3366ff99","-1","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","2","44","0","2","win","no-go","0"
"pit-trial","45","218579","0.0-45.0","battery-v0.2","g","elianto","#3366ff99","32","-1","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","2","45","3","1","win","go","0"
"pit-trial","46","223437","0.0-46.0","battery-v0.2","l","elianto","#f73b6a7A","32","-1","-1","0","-10","[]","0","3&age=8&participant_ID=5&order=1","2","46","1","3","lose","go","0"
"pit-trial","47","228289","0.0-47.0","battery-v0.2","a","elianto","#f73b6a7A","-1","-1","-1","1","0","[]","0","3&age=8&participant_ID=5&order=1","2","47","2","4","lose","no-go","0"
"pit-trial","48","233149","0.0-48.0","battery-v0.2","u","elianto","#3366ff99","-1","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","2","48","0","2","win","no-go","0"
"pit-trial","49","238008","0.0-49.0","battery-v0.2","u","elianto","#3366ff99","-1","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","2","49","0","2","win","no-go","0"
"pit-trial","50","242870","0.0-50.0","battery-v0.2","l","elianto","#f73b6a7A","32","-1","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","2","50","1","3","lose","go","1"
"pit-trial","51","247731","0.0-51.0","battery-v0.2","a","elianto","#f73b6a7A","-1","-1","-1","1","0","[]","0","3&age=8&participant_ID=5&order=1","2","51","2","4","lose","no-go","0"
"pit-trial","52","252585","0.0-52.0","battery-v0.2","g","elianto","#3366ff99","32","-1","-1","0","+10","[]","0","3&age=8&participant_ID=5&order=1","2","52","3","1","win","go","1"
"pit-trial","53","257445","0.0-53.0","battery-v0.2","p","elianto","#f73b6a7A","32","-1","-1","0","-10","[]","0","3&age=8&participant_ID=5&order=1","2","53","4","3","lose","go","0"
"pit-trial","54","262300","0.0-54.0","battery-v0.2","l","elianto","#f73b6a7A","32","-1","-1","0","-10","[]","0","3&age=8&participant_ID=5&order=1","2","54","1","3","lose","go","0"
"pit-trial","55","267162","0.0-55.0","battery-v0.2","a","elianto","#f73b6a7A","-1","-1","-1","1","0","[]","0","3&age=8&participant_ID=5&order=1","2","55","2","4","lose","no-go","0"
"pit-trial","56","272017","0.0-56.0","battery-v0.2","s","elianto","#f73b6a7A","-1","-1","-1","1","0","[]","0","3&age=8&participant_ID=5&order=1","2","56","5","4","lose","no-go","0"
"pit-trial","57","276875","0.0-57.0","battery-v0.2","l","elianto","#f73b6a7A","32","-1","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","2","57","1","3","lose","go","1"
"pit-trial","58","281732","0.0-58.0","battery-v0.2","s","elianto","#f73b6a7A","-1","-1","-1","1","-10","[]","0","3&age=8&participant_ID=5&order=1","2","58","5","4","lose","no-go","1"
"pit-trial","59","286586","0.0-59.0","battery-v0.2","p","elianto","#f73b6a7A","32","-1","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","2","59","4","3","lose","go","1"
"pit-trial","60","291440","0.0-60.0","battery-v0.2","a","elianto","#f73b6a7A","-1","-1","-1","1","0","[]","0","3&age=8&participant_ID=5&order=1","2","60","2","4","lose","no-go","0"
"pit-trial","61","296298","0.0-61.0","battery-v0.2","a","elianto","#f73b6a7A","-1","-1","-1","1","0","[]","0","3&age=8&participant_ID=5&order=1","2","61","2","4","lose","no-go","0"
"pit-trial","62","301158","0.0-62.0","battery-v0.2","s","elianto","#f73b6a7A","-1","-1","-1","1","0","[]","0","3&age=8&participant_ID=5&order=1","2","62","5","4","lose","no-go","0"
