"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","subject","participantId"
"pavlovia","0","4","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","",""
"pit-instructions","1","9541","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":2968},{""page_index"":1,""viewing_time"":183},{""page_index"":2,""viewing_time"":166.5},{""page_index"":3,""viewing_time"":216.10000014305115},{""page_index"":4,""viewing_time"":651.6999998092651},{""page_index"":5,""viewing_time"":1201.1000001430511},{""page_index"":6,""viewing_time"":749.5999999046326},{""page_index"":7,""viewing_time"":514.7999999523163},{""page_index"":8,""viewing_time"":884.9000000953674},{""page_index"":9,""viewing_time"":499.2000000476837},{""page_index"":10,""viewing_time"":518.7000000476837},{""page_index"":11,""viewing_time"":982.0999999046326}]","9536.100000143051","","","","","","","","","","","","",""
"pit-trial","2","13116","0.0-1.0-1.0-0.0","battery-v0.2","","373.2999999523163","&#9776;","elianto","#3366ff99","32","32","1","+10","971.9000000953674,1573.7999999523163","2","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","3","17391","0.0-1.0-1.0-1.0","battery-v0.2","","1068.0999999046326","&#9776;","elianto","#3366ff99","32","32","1","+10","1181.0999999046326,2271.899999856949","2","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","4","20632","0.0-1.0-1.0-2.0","battery-v0.2","","34.09999990463257","&#9776;","elianto","#3366ff99","32","32","1","+10","936.1999998092651,1239.0999999046326","2","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","5","25835","0.0-1.0-1.0-3.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","6","31044","0.0-1.0-1.0-4.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","7","36250","0.0-1.0-1.1-0.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","8","41454","0.0-1.0-1.1-1.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","9","46662","0.0-1.0-1.1-2.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","10","51866","0.0-1.0-1.1-3.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
