"trial_type","trial_index","time_elapsed","internal_node_id","task_version","success","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","subject","participantId"
"pavlovia","0","15","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","",""
"fullscreen","1","5956","0.0-1.0","battery-v0.2","true","","","","","","","","","","","","","","",""
"pit-instructions","2","39096","0.0-2.0-0.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":1706.699999999255},{""page_index"":1,""viewing_time"":2279.699999999255},{""page_index"":2,""viewing_time"":2910.300000000745},{""page_index"":3,""viewing_time"":2945.800000000745},{""page_index"":4,""viewing_time"":2397.5},{""page_index"":5,""viewing_time"":1762.8999999985099},{""page_index"":6,""viewing_time"":4837},{""page_index"":7,""viewing_time"":3078.800000000745},{""page_index"":8,""viewing_time"":1446.800000000745},{""page_index"":9,""viewing_time"":3179},{""page_index"":10,""viewing_time"":3495.89999999851},{""page_index"":11,""viewing_time"":3090.5}]","33133.800000000745","","","","","","","","","","","","",""
"pit-trial","3","43952","0.0-2.0-1.0-0.0","battery-v0.2","","","-1","&#9784;","elianto","#FFFFF080","32","-1","0","&#10060","","0","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","4","48815","0.0-2.0-1.1-0.1","battery-v0.2","","","-1","&#9784;","elianto","#FFFFF080","32","-1","0","&#10060","","0","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","5","53679","0.0-2.0-1.2-0.2","battery-v0.2","","","-1","&#9784;","elianto","#FFFFF080","32","-1","0","&#10060","","0","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","6","58541","0.0-2.0-1.3-0.3","battery-v0.2","","","-1","&#9784;","elianto","#FFFFF080","32","-1","0","&#10060","","0","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","7","63401","0.0-2.0-1.4-0.4","battery-v0.2","","","-1","&#9784;","elianto","#FFFFF080","32","-1","0","&#10060","","0","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","8","68265","0.0-2.0-1.5-0.5","battery-v0.2","","","-1","&#9784;","elianto","#FFFFF080","32","-1","0","&#10060","","0","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","9","73129","0.0-2.0-1.6-0.6","battery-v0.2","","","-1","&#9784;","elianto","#FFFFF080","32","-1","0","&#10060","","0","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","10","77991","0.0-2.0-1.7-0.7","battery-v0.2","","","-1","&#9784;","elianto","#FFFFF080","32","-1","0","&#10060","","0","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","11","82852","0.0-2.0-1.8-0.8","battery-v0.2","","","-1","&#9784;","elianto","#FFFFF080","32","-1","0","&#10060","","0","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","12","87714","0.0-2.0-1.9-0.9","battery-v0.2","","","-1","&#9784;","elianto","#FFFFF080","32","-1","0","&#10060","","0","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
