"trial_type","trial_index","time_elapsed","internal_node_id","task_version","success","view_history","rt"
"pavlovia","0","23","0.0-0.0","battery-v0.2","","",""
"fullscreen","1","2682","0.0-1.0","battery-v0.2","true","",""
"pit-instructions","2","5232","0.0-2.0-0.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":686.9000000003725},{""page_index"":1,""viewing_time"":179.80000000074506},{""page_index"":2,""viewing_time"":176.5},{""page_index"":3,""viewing_time"":177.7999999988824},{""page_index"":4,""viewing_time"":146.80000000074506},{""page_index"":5,""viewing_time"":161.09999999962747},{""page_index"":6,""viewing_time"":158.80000000074506},{""page_index"":7,""viewing_time"":157.7999999988824},{""page_index"":8,""viewing_time"":179.2000000011176},{""page_index"":9,""viewing_time"":177.40000000037253},{""page_index"":10,""viewing_time"":176.7999999988824},{""page_index"":11,""viewing_time"":163.40000000037253}]","2543.5"
