"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","value","responses","num_errors"
"pavlovia","0","21","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","",""
"pit-instructions","1","260088","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":18893.80000001192},{""page_index"":1,""viewing_time"":4062.800000011921},{""page_index"":2,""viewing_time"":4739.0999999940395},{""page_index"":3,""viewing_time"":6154.5999999940395},{""page_index"":4,""viewing_time"":6308.300000011921},{""page_index"":5,""viewing_time"":2722.899999976158},{""page_index"":6,""viewing_time"":5104.5},{""page_index"":7,""viewing_time"":10924.800000011921},{""page_index"":8,""viewing_time"":9179.699999988079},{""page_index"":7,""viewing_time"":14981.300000011921},{""page_index"":8,""viewing_time"":8772.09999999404},{""page_index"":7,""viewing_time"":3129.9000000059605},{""page_index"":6,""viewing_time"":1381.9000000059605},{""page_index"":7,""viewing_time"":155411.69999998808},{""page_index"":8,""viewing_time"":3951.800000011921},{""page_index"":9,""viewing_time"":3252.4000000059605},{""page_index"":10,""viewing_time"":488.09999999403954},{""page_index"":11,""viewing_time"":602.1999999880791}]","260062.60000002384","","","","","","","","","","","","","",""
"pit-trial","2","265599","0.0-1.0-1.0-0.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","","",""
"pit-trial","3","271103","0.0-1.0-1.0-1.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","","",""
"pit-trial","4","276610","0.0-1.0-1.0-2.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","","",""
"pit-trial","5","282030","0.0-1.0-1.0-3.0","battery-v0.2","","1916.8999999761581","&#9776;","elianto","#3366ff99","32","32","1","0","3417","1","0","1","","",""
"pit-trial","6","285824","0.0-1.0-1.0-4.0","battery-v0.2","","288.90000000596046","&#9776;","elianto","#3366ff99","32","32","1","+10","1791.7000000178814","1","0","1","","",""
"pit-trial","7","289363","0.0-1.0-1.1-0.1","battery-v0.2","","30","&#9776;","elianto","#3366ff99","32","32","1","+10","1532.5","1","0","1","","",""
"pit-trial","8","293200","0.0-1.0-1.1-1.1","battery-v0.2","","331.5","&#9776;","elianto","#3366ff99","32","32","1","+10","980.7999999821186,1833.5","2","0","1","","",""
"pit-trial","9","296819","0.0-1.0-1.1-2.1","battery-v0.2","","114.19999998807907","&#9776;","elianto","#3366ff99","32","32","1","+10","1614.5999999940395","1","0","1","","",""
"pit-trial","10","300886","0.0-1.0-1.1-3.1","battery-v0.2","","560.3000000119209","&#9776;","elianto","#3366ff99","32","32","1","0","931.2000000178814,2060.5","2","0","1","","",""
"pit-trial","11","305023","0.0-1.0-1.1-4.1","battery-v0.2","","632.9000000059605","&#9776;","elianto","#3366ff99","32","32","1","+10","2135.199999988079","1","0","1","","",""
"call-function","12","305024","0.0-1.0-2.0","battery-v0.2","","","","","","","","","","","","","","","",""
"pit-instructions","13","361607","0.0-1.0-3.0","battery-v0.2","[{""page_index"":0,""viewing_time"":36907.80000001192},{""page_index"":1,""viewing_time"":1788.0999999940395},{""page_index"":2,""viewing_time"":1560.9000000059605},{""page_index"":3,""viewing_time"":991.3999999761581},{""page_index"":4,""viewing_time"":13430.90000000596},{""page_index"":5,""viewing_time"":1902.7000000178814}]","56582.09999999404","","","","","","","","","","","","","",""
"pit-trial","14","366118","0.0-1.0-4.0-0.0","battery-v0.2","","1006.8000000119209","&#9761;","elianto","#3366ff99","-1","32","0","0","2507.300000011921","1","0","2","","",""
"pit-trial","15","371625","0.0-1.0-4.0-1.0","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","","",""
"pit-trial","16","377133","0.0-1.0-4.0-2.0","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","966.2999999821186","1","0","2","","",""
"pit-trial","17","382639","0.0-1.0-4.0-3.0","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","","",""
"pit-trial","18","388142","0.0-1.0-4.0-4.0","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","0","","0","0","2","","",""
"call-function","19","388142","0.0-1.0-5.0","battery-v0.2","","","","","","","","","","","","","","","",""
"pit-instructions","20","451704","0.0-1.0-6.0","battery-v0.2","[{""page_index"":0,""viewing_time"":4642.0999999940395},{""page_index"":1,""viewing_time"":4852.9000000059605},{""page_index"":2,""viewing_time"":18391.09999999404},{""page_index"":3,""viewing_time"":1868.699999988079},{""page_index"":2,""viewing_time"":31819.100000023842},{""page_index"":3,""viewing_time"":1130.199999988079},{""page_index"":4,""viewing_time"":856.5}]","63560.90000000596","","","","","","","","","","","","","",""
"pit-trial","21","456753","0.0-1.0-7.0-0.0","battery-v0.2","","1543.300000011921","&#9826;","elianto","#f73b6a7A","-1","32","0","-10","3045.199999988079","1","0","3","","",""
"pit-trial","22","462257","0.0-1.0-7.0-1.0","battery-v0.2","","-1","&#9826;","elianto","#f73b6a7A","-1","-1","1","0","","0","0","3","","",""
"pit-trial","23","467764","0.0-1.0-7.0-2.0","battery-v0.2","","-1","&#9826;","elianto","#f73b6a7A","-1","-1","1","-10","","0","0","3","","",""
"pit-trial","24","471876","0.0-1.0-7.0-3.0","battery-v0.2","","608.0999999940395","&#9826;","elianto","#f73b6a7A","-1","32","0","-10","2108.300000011921","1","0","3","","",""
"pit-trial","25","477382","0.0-1.0-7.0-4.0","battery-v0.2","","-1","&#9826;","elianto","#f73b6a7A","-1","-1","1","0","","0","0","3","","",""
"pit-trial","26","482886","0.0-1.0-7.1-0.1","battery-v0.2","","-1","&#9826;","elianto","#f73b6a7A","-1","-1","1","0","","0","0","3","","",""
"pit-trial","27","488393","0.0-1.0-7.1-1.1","battery-v0.2","","-1","&#9826;","elianto","#f73b6a7A","-1","-1","1","0","","0","0","3","","",""
"pit-trial","28","493900","0.0-1.0-7.1-2.1","battery-v0.2","","-1","&#9826;","elianto","#f73b6a7A","-1","-1","1","-10","","0","0","3","","",""
"pit-trial","29","499402","0.0-1.0-7.1-3.1","battery-v0.2","","-1","&#9826;","elianto","#f73b6a7A","-1","-1","1","0","","0","0","3","","",""
"pit-trial","30","504911","0.0-1.0-7.1-4.1","battery-v0.2","","-1","&#9826;","elianto","#f73b6a7A","-1","-1","1","0","","0","0","3","","",""
"call-function","31","504912","0.0-1.0-8.0","battery-v0.2","","","","","","","","","","","","","","","",""
"pit-instructions","32","557597","0.0-1.0-9.0","battery-v0.2","[{""page_index"":0,""viewing_time"":51462.80000001192},{""page_index"":1,""viewing_time"":1220.9000000059605}]","52684.20000001788","","","","","","","","","","","","","",""
"pit-trial","33","563104","0.0-1.0-10.0-0.0","battery-v0.2","","-1","&#9789;","elianto","#f73b6a7A","32","-1","0","-10","","0","0","4","","",""
"pit-trial","34","568607","0.0-1.0-10.0-1.0","battery-v0.2","","-1","&#9789;","elianto","#f73b6a7A","32","-1","0","-10","","0","0","4","","",""
"pit-trial","35","572528","0.0-1.0-10.0-2.0","battery-v0.2","","416.90000000596046","&#9789;","elianto","#f73b6a7A","32","32","1","0","1916.699999988079","1","0","4","","",""
"pit-trial","36","576539","0.0-1.0-10.0-3.0","battery-v0.2","","502.40000000596046","&#9789;","elianto","#f73b6a7A","32","32","1","0","2003.5999999940395","1","0","4","","",""
"pit-trial","37","580781","0.0-1.0-10.0-4.0","battery-v0.2","","736.9000000059605","&#9789;","elianto","#f73b6a7A","32","32","1","-10","2237.199999988079","1","0","4","","",""
"call-function","38","580783","0.0-1.0-11.0","battery-v0.2","","","","","","","","","","","","","","","",""
"pit-instructions","39","628104","0.0-1.0-12.0","battery-v0.2","[{""page_index"":0,""viewing_time"":6394.5},{""page_index"":1,""viewing_time"":2276.5999999940395},{""page_index"":2,""viewing_time"":3025.9000000059605},{""page_index"":3,""viewing_time"":2024.199999988079},{""page_index"":2,""viewing_time"":471},{""page_index"":1,""viewing_time"":1098.300000011921},{""page_index"":0,""viewing_time"":1048.199999988079},{""page_index"":1,""viewing_time"":2462.5999999940395},{""page_index"":2,""viewing_time"":1399.2000000178814},{""page_index"":3,""viewing_time"":5324.799999982119},{""page_index"":4,""viewing_time"":2325.300000011921},{""page_index"":5,""viewing_time"":11375.5},{""page_index"":6,""viewing_time"":8094.0999999940395}]","47320.5","","","","","","","","","","","","","",""
"pit-comprehension","40","674110","0.0-1.0-13.0","battery-v0.2","","46003.10000002384","","","","","","","","","","","","","SPACE,10,10,True,True,True","0"
