"trial_type","trial_index","time_elapsed","internal_node_id","task_version","success","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","subject","participantId"
"pavlovia","0","16","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","",""
"fullscreen","1","2317","0.0-1.0","battery-v0.2","true","","","","","","","","","","","","","","",""
"pit-instructions","2","5360","0.0-2.0-0.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":828.6999999992549},{""page_index"":1,""viewing_time"":194.19999999925494},{""page_index"":2,""viewing_time"":162.10000000149012},{""page_index"":3,""viewing_time"":172.69999999925494},{""page_index"":4,""viewing_time"":163.5},{""page_index"":5,""viewing_time"":145.5},{""page_index"":6,""viewing_time"":161.80000000074506},{""page_index"":7,""viewing_time"":163.69999999925494},{""page_index"":8,""viewing_time"":195.69999999925494},{""page_index"":9,""viewing_time"":179.7000000011176},{""page_index"":10,""viewing_time"":160.90000000037253},{""page_index"":11,""viewing_time"":511.59999999962747}]","3040.39999999851","","","","","","","","","","","","",""
"pit-trial","3","10219","0.0-2.0-1.0-0.0","battery-v0.2","","","-1","&#9784;","elianto","#FFFFF080","32","-1","0","&#10060","","0","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","4","15083","0.0-2.0-1.1-0.1","battery-v0.2","","","-1","&#9784;","elianto","#FFFFF080","32","-1","0","&#10060","","0","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","5","19946","0.0-2.0-1.2-0.2","battery-v0.2","","","-1","&#9784;","elianto","#FFFFF080","32","-1","0","&#10060","","0","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","6","24810","0.0-2.0-1.3-0.3","battery-v0.2","","","-1","&#9784;","elianto","#FFFFF080","32","-1","0","&#10060","","0","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","7","29671","0.0-2.0-1.4-0.4","battery-v0.2","","","-1","&#9784;","elianto","#FFFFF080","32","-1","0","&#10060","","0","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","8","34530","0.0-2.0-1.5-0.5","battery-v0.2","","","-1","&#9784;","elianto","#FFFFF080","32","-1","0","&#10060","","0","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-instructions","9","172993","0.0-2.0-1.5-1.5-0.5","battery-v0.2","","[{""page_index"":0,""viewing_time"":137288.40000000037},{""page_index"":1,""viewing_time"":1227.7999999988824}]","138516.80000000075","","","","","","","","","","","","",""
"pit-trial","10","177856","0.0-2.0-1.6-0.6","battery-v0.2","","","-1","&#9784;","elianto","#FFFFF080","32","-1","0","&#10060","","0","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","11","181022","0.0-2.0-1.7-0.7","battery-v0.2","","","306.40000000037253","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","1159.5","1","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","12","184171","0.0-2.0-1.8-0.8","battery-v0.2","","","291.09999999962747","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","1141.5","1","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","13","187353","0.0-2.0-1.9-0.9","battery-v0.2","","","322.1000000014901","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","1172.3999999985099","1","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-instructions","14","239692","0.0-2.0-2.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":6967.5},{""page_index"":1,""viewing_time"":1243.800000000745},{""page_index"":2,""viewing_time"":42282.699999999255},{""page_index"":3,""viewing_time"":1838.2000000011176}]","52332.5","","","","","","","","","","","","",""
"pit-trial","15","243560","0.0-2.0-3.0-0.0","battery-v0.2","","","1011.6000000014901","&#9854;","elianto","#FFFFF080","-1","32","0","&#10060","1861.5","1","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","16","248423","0.0-2.0-3.1-0.1","battery-v0.2","","","-1","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","17","253283","0.0-2.0-3.2-0.2","battery-v0.2","","","-1","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","18","258143","0.0-2.0-3.3-0.3","battery-v0.2","","","-1","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","19","263005","0.0-2.0-3.4-0.4","battery-v0.2","","","-1","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-instructions","20","324755","0.0-2.0-4.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":21567.5},{""page_index"":1,""viewing_time"":3509.4000000003725},{""page_index"":2,""viewing_time"":3163.5},{""page_index"":3,""viewing_time"":5437.5},{""page_index"":4,""viewing_time"":2443.699999999255},{""page_index"":5,""viewing_time"":6611.300000000745},{""page_index"":6,""viewing_time"":6625.0999999996275},{""page_index"":7,""viewing_time"":1581.2999999988824},{""page_index"":8,""viewing_time"":2093.300000000745},{""page_index"":9,""viewing_time"":3563.4000000003725},{""page_index"":10,""viewing_time"":5146.799999998882}]","61743.29999999888","","","","","","","","","","","","",""
"pit-trial","21","328637","0.0-2.0-5.0-0.0","battery-v0.2","","","1024.9000000003725","&#9776;","elianto","#3366ff99","32","32","1","+10","1874.4000000003725","1","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
