"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","value","responses","num_errors","sub","trial","stimulus","robot","valence","action","sham"
"pavlovia","0","29","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","1","89230","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":16237.899999992806},{""page_index"":1,""viewing_time"":2370.795000009821},{""page_index"":2,""viewing_time"":4598.364999998012},{""page_index"":3,""viewing_time"":4555.254999999306},{""page_index"":4,""viewing_time"":3153.409999998985},{""page_index"":5,""viewing_time"":2750.9250000002794},{""page_index"":6,""viewing_time"":2349.3149999994785},{""page_index"":7,""viewing_time"":2835.364999991725},{""page_index"":8,""viewing_time"":1683.0800000025192},{""page_index"":9,""viewing_time"":48660.15999999945}]","89195.5650000018","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","2","92380","0.0-1.0-1.0-0.0","battery-v0.2","","438.21500000194646","1","elianto","#3366ff99","32","32","1","+10","1939.524999994319","1","0","1","","","","","","","","","",""
"pit-trial","3","95516","0.0-1.0-1.1-0.1","battery-v0.2","","427.4999999906868","1","elianto","#3366ff99","32","32","1","+10","1927.6150000077905","1","0","1","","","","","","","","","",""
"pit-trial","4","98341","0.0-1.0-1.2-0.2","battery-v0.2","","115.21000000357162","1","elianto","#3366ff99","32","32","1","+10","1616.135000003851","1","0","1","","","","","","","","","",""
"pit-trial","5","101194","0.0-1.0-1.3-0.3","battery-v0.2","","141.04499999666587","1","elianto","#3366ff99","32","32","1","+10","1642.6900000078604","1","0","1","","","","","","","","","",""
"call-function","6","101198","0.0-1.0-2.0","battery-v0.2","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","7","103813","0.0-1.0-3.0","battery-v0.2","[{""page_index"":0,""viewing_time"":2008.5849999886705},{""page_index"":1,""viewing_time"":605.0800000084564}]","2614.079999999376","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","8","107719","0.0-1.0-4.0-0.0","battery-v0.2","","1199.51000000583","2","elianto","#3366ff99","-1","32","0","+1","1318.295000004582,2699.8250000033295","2","0","2","","","","","","","","","",""
"pit-trial","9","111732","0.0-1.0-4.1-0.1","battery-v0.2","","-1","2","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","","","","","","","","","",""
"pit-trial","10","115745","0.0-1.0-4.2-0.2","battery-v0.2","","-1","2","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","","","","","","","","","",""
