"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice"
"pavlovia","0","26","0.0-0.0","battery-v0.2","","","","","","","","","","","","",""
"pit-instructions","1","18940","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1914.1000000005588},{""page_index"":1,""viewing_time"":792.8999999994412},{""page_index"":2,""viewing_time"":1454.4000000003725},{""page_index"":3,""viewing_time"":1185.3999999994412},{""page_index"":4,""viewing_time"":1246.1000000005588},{""page_index"":5,""viewing_time"":1043.3999999994412},{""page_index"":6,""viewing_time"":1031.300000000745},{""page_index"":7,""viewing_time"":4312.5999999996275},{""page_index"":8,""viewing_time"":4678.0999999996275},{""page_index"":9,""viewing_time"":1251.4000000003725}]","18911.700000000186","","","","","","","","","","",""
"pit-trial","2","26328","0.0-1.0-1.0-0.0","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1"
"pit-trial","3","31986","0.0-1.0-1.1-0.1","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1"
