"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","subject","participantId","value","responses","num_errors","sub","trial","stimulus","robot","valence","action","sham"
"pavlovia","0","121","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","1","520185","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":7454.199999988079},{""page_index"":1,""viewing_time"":2999.300000011921},{""page_index"":2,""viewing_time"":3952.400000035763},{""page_index"":3,""viewing_time"":5106.399999976158},{""page_index"":4,""viewing_time"":8326.699999988079},{""page_index"":5,""viewing_time"":8009.600000023842},{""page_index"":6,""viewing_time"":5086.300000011921},{""page_index"":5,""viewing_time"":374.7999999523163},{""page_index"":4,""viewing_time"":545.2000000476837},{""page_index"":3,""viewing_time"":610},{""page_index"":2,""viewing_time"":842.2999999523163},{""page_index"":1,""viewing_time"":4059.7000000476837},{""page_index"":0,""viewing_time"":1444.699999988079},{""page_index"":1,""viewing_time"":968.3999999761581},{""page_index"":2,""viewing_time"":1412.4000000357628},{""page_index"":3,""viewing_time"":2211.099999964237},{""page_index"":4,""viewing_time"":2390.800000011921},{""page_index"":5,""viewing_time"":1105.1000000238419},{""page_index"":6,""viewing_time"":7126.799999952316},{""page_index"":7,""viewing_time"":11512.800000011921},{""page_index"":8,""viewing_time"":3112.5},{""page_index"":7,""viewing_time"":9102.199999988079},{""page_index"":8,""viewing_time"":2479.5},{""page_index"":7,""viewing_time"":521.6000000238419},{""page_index"":6,""viewing_time"":601.3999999761581},{""page_index"":5,""viewing_time"":114151.70000004768},{""page_index"":6,""viewing_time"":15403.599999964237},{""page_index"":5,""viewing_time"":1630.6000000238419},{""page_index"":6,""viewing_time"":517.8000000119209},{""page_index"":7,""viewing_time"":22212.099999964237},{""page_index"":6,""viewing_time"":1459.1000000238419},{""page_index"":7,""viewing_time"":28387.599999964237},{""page_index"":8,""viewing_time"":9216.5},{""page_index"":9,""viewing_time"":12173.200000047684},{""page_index"":10,""viewing_time"":131875.19999998808},{""page_index"":11,""viewing_time"":89474.80000001192},{""page_index"":12,""viewing_time"":2203.099999964237}]","520062.10000002384","","","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","2","525040","0.0-1.0-1.0-0.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","","","","","","","","",""
"pit-trial","3","529897","0.0-1.0-1.0-1.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","4532.399999976158","1","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","","","","","","","","",""
"pit-trial","4","533057","0.0-1.0-1.0-2.0","battery-v0.2","","306.5","&#9776;","elianto","#3366ff99","32","32","1","+10","1156.699999988079","1","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","","","","","","","","",""
"pit-trial","5","536254","0.0-1.0-1.0-3.0","battery-v0.2","","341.69999998807907","&#9776;","elianto","#3366ff99","32","32","1","0","1192.199999988079","1","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","","","","","","","","",""
"pit-trial","6","539532","0.0-1.0-1.0-4.0","battery-v0.2","","418.5","&#9776;","elianto","#3366ff99","32","32","1","+10","1270.300000011921","1","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","","","","","","","","",""
"call-function","7","539536","0.0-1.0-2.0","battery-v0.2","","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","8","764047","0.0-1.0-3.0","battery-v0.2","[{""page_index"":0,""viewing_time"":4424},{""page_index"":1,""viewing_time"":12205.399999976158},{""page_index"":0,""viewing_time"":124364.10000002384},{""page_index"":1,""viewing_time"":2436.899999976158},{""page_index"":2,""viewing_time"":5509.800000011921},{""page_index"":3,""viewing_time"":74291},{""page_index"":4,""viewing_time"":1279}]","224510.59999996424","","","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","9","768408","0.0-1.0-4.0-0.0","battery-v0.2","","1505.9000000357628","&#9761;","elianto","#3366ff99","-1","32","0","0","2357.099999964237","1","0","2","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","","","","","","","","",""
"pit-trial","10","773268","0.0-1.0-4.0-1.0","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","3009.199999988079","1","0","2","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","","","","","","","","",""
"pit-trial","11","776918","0.0-1.0-4.0-2.0","battery-v0.2","","791.8000000119209","&#9761;","elianto","#3366ff99","-1","32","0","0","529.1999999880791,1644.5","2","0","2","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","","","","","","","","",""
"pit-trial","12","780151","0.0-1.0-4.0-3.0","battery-v0.2","","376.39999997615814","&#9761;","elianto","#3366ff99","-1","32","0","0","629.8000000119209,1226.8999999761581","2","0","2","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","","","","","","","","",""
"pit-trial","13","785008","0.0-1.0-4.0-4.0","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","0","","0","0","2","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","","","","","","","","",""
"pit-trial","14","789873","0.0-1.0-4.1-0.1","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","","","","","","","","",""
"pit-trial","15","794730","0.0-1.0-4.1-1.1","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","","","","","","","","",""
"pit-trial","16","799587","0.0-1.0-4.1-2.1","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","","","","","","","","",""
"pit-trial","17","804449","0.0-1.0-4.1-3.1","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","","","","","","","","",""
"pit-trial","18","809306","0.0-1.0-4.1-4.1","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","0","","0","0","2","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","","","","","","","","",""
"call-function","19","809308","0.0-1.0-5.0","battery-v0.2","","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","20","948977","0.0-1.0-6.0","battery-v0.2","[{""page_index"":0,""viewing_time"":8765.100000023842},{""page_index"":1,""viewing_time"":12855.199999988079},{""page_index"":2,""viewing_time"":2082.199999988079},{""page_index"":3,""viewing_time"":115966}]","139669","","","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","21","953741","0.0-1.0-7.0-0.0","battery-v0.2","","1905.300000011921","&#9826;","elianto","#f73b6a7A","-1","32","0","-10","2757","1","0","3","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","","","","","","","","",""
"pit-trial","22","957553","0.0-1.0-7.0-1.0","battery-v0.2","","954.4000000357628","&#9826;","elianto","#f73b6a7A","-1","32","0","-10","1805.5","1","0","3","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","","","","","","","","",""
"pit-trial","23","960886","0.0-1.0-7.0-2.0","battery-v0.2","","475.5999999642372","&#9826;","elianto","#f73b6a7A","-1","32","0","0","1326","1","0","3","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","","","","","","","","",""
"pit-trial","24","964223","0.0-1.0-7.0-3.0","battery-v0.2","","481.9000000357628","&#9826;","elianto","#f73b6a7A","-1","32","0","-10","1332.0999999642372","1","0","3","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","","","","","","","","",""
"pit-trial","25","969081","0.0-1.0-7.0-4.0","battery-v0.2","","-1","&#9826;","elianto","#f73b6a7A","-1","-1","1","0","","0","0","3","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","","","","","","","","",""
"pit-trial","26","973941","0.0-1.0-7.1-0.1","battery-v0.2","","-1","&#9826;","elianto","#f73b6a7A","-1","-1","1","0","","0","0","3","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","","","","","","","","",""
"pit-trial","27","978800","0.0-1.0-7.1-1.1","battery-v0.2","","-1","&#9826;","elianto","#f73b6a7A","-1","-1","1","0","","0","0","3","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","","","","","","","","",""
"pit-trial","28","983659","0.0-1.0-7.1-2.1","battery-v0.2","","-1","&#9826;","elianto","#f73b6a7A","-1","-1","1","-10","","0","0","3","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","","","","","","","","",""
"pit-trial","29","988520","0.0-1.0-7.1-3.1","battery-v0.2","","-1","&#9826;","elianto","#f73b6a7A","-1","-1","1","0","","0","0","3","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","","","","","","","","",""
"pit-trial","30","993378","0.0-1.0-7.1-4.1","battery-v0.2","","-1","&#9826;","elianto","#f73b6a7A","-1","-1","1","0","","0","0","3","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","","","","","","","","",""
"call-function","31","993379","0.0-1.0-8.0","battery-v0.2","","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","32","1359072","0.0-1.0-9.0","battery-v0.2","[{""page_index"":0,""viewing_time"":363216.8000000119},{""page_index"":1,""viewing_time"":2475.199999988079}]","365692.8000000119","","","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","33","1363928","0.0-1.0-10.0-0.0","battery-v0.2","","-1","&#9789;","elianto","#f73b6a7A","32","-1","0","-10","","0","0","4","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","","","","","","","","",""
"pit-trial","34","1368789","0.0-1.0-10.0-1.0","battery-v0.2","","-1","&#9789;","elianto","#f73b6a7A","32","-1","0","-10","","0","0","4","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","","","","","","","","",""
"pit-trial","35","1371901","0.0-1.0-10.0-2.0","battery-v0.2","","256.10000002384186","&#9789;","elianto","#f73b6a7A","32","32","1","0","1108","1","0","4","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","","","","","","","","",""
"pit-trial","36","1375140","0.0-1.0-10.0-3.0","battery-v0.2","","383","&#9789;","elianto","#f73b6a7A","32","32","1","0","1233.5","1","0","4","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","","","","","","","","",""
"pit-trial","37","1378488","0.0-1.0-10.0-4.0","battery-v0.2","","491.80000001192093","&#9789;","elianto","#f73b6a7A","32","32","1","-10","1343.699999988079","1","0","4","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","","","","","","","","",""
"call-function","38","1378490","0.0-1.0-11.0","battery-v0.2","","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","39","1639077","0.0-1.0-12.0","battery-v0.2","[{""page_index"":0,""viewing_time"":27564.69999998808},{""page_index"":1,""viewing_time"":137155.10000002384},{""page_index"":2,""viewing_time"":58957.299999952316},{""page_index"":3,""viewing_time"":35911.60000002384},{""page_index"":4,""viewing_time"":1063.1000000238419}]","260652.89999997616","","","","","","","","","","","","","","","","","","","","","","",""
"pit-comprehension","40","1643567","0.0-1.0-13.0-0.0","battery-v0.2","","4483.899999976158","","","","","","","","","","","","","","","SPACE","0","","","","","","",""
"pit-instructions","41","1645031","0.0-1.0-13.0-1.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1419.800000011921}]","1420.199999988079","","","","","","","","","","","","","","","","","","","","","","",""
"pit-comprehension","42","1724567","0.0-1.0-14.0-0.0","battery-v0.2","","79534.19999998808","","","","","","","","","","","","","","","0","1","","","","","","",""
"pit-instructions","43","1728658","0.0-1.0-14.0-1.0","battery-v0.2","[{""page_index"":0,""viewing_time"":4073.100000023842}]","4073.600000023842","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","44","1729603","0.0-1.0-14.0-2.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":940.8000000119209}]","941.5","","","","","","","","","","","","","","","","","","","","","","",""
"pit-comprehension","45","1732442","0.0-1.0-14.1-0.1","battery-v0.2","","2835.300000011921","","","","","","","","","","","","","","","10","0","","","","","","",""
"pit-instructions","46","1734734","0.0-1.0-14.1-1.1","battery-v0.2","[{""page_index"":0,""viewing_time"":2273}]","2273.900000035763","","","","","","","","","","","","","","","","","","","","","","",""
"pit-comprehension","47","1740590","0.0-1.0-15.0-0.0","battery-v0.2","","5852.199999988079","","","","","","","","","","","","","","","10","0","","","","","","",""
"pit-instructions","48","1741918","0.0-1.0-15.0-1.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1308.5}]","1309","","","","","","","","","","","","","","","","","","","","","","",""
"pit-comprehension","49","1910754","0.0-1.0-16.0-0.0","battery-v0.2","","168835.10000002384","","","","","","","","","","","","","","","True","0","","","","","","",""
"pit-instructions","50","1911993","0.0-1.0-16.0-1.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1229.4000000357628}]","1230","","","","","","","","","","","","","","","","","","","","","","",""
"pit-comprehension","51","1915182","0.0-1.0-17.0-0.0","battery-v0.2","","3184.199999988079","","","","","","","","","","","","","","","True","0","","","","","","",""
"pit-instructions","52","1916627","0.0-1.0-17.0-1.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1424.8999999761581}]","1425.3999999761581","","","","","","","","","","","","","","","","","","","","","","",""
"pit-comprehension","53","1920053","0.0-1.0-18.0-0.0","battery-v0.2","","3423.399999976158","","","","","","","","","","","","","","","True","0","","","","","","",""
"pit-instructions","54","1921354","0.0-1.0-18.0-1.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1281}]","1281.300000011921","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","55","1928118","0.0-2.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1240.8999999761581},{""page_index"":1,""viewing_time"":2016.300000011921},{""page_index"":2,""viewing_time"":3504.800000011921}]","6762.599999964237","","","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","56","1932979","0.0-3.0","battery-v0.2","","-1","&#9752;","elianto","#f73b6a7A","32","-1","0","0","","0","1","","","","","","","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","1","3","3","lose","go","1"
"pit-trial","57","1937838","0.0-4.0","battery-v0.2","","-1","&#9728;","elianto","#f73b6a7A","-1","-1","1","0","","0","1","","","","","","","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","2","0","4","lose","no-go","0"
"pit-trial","58","1942696","0.0-5.0","battery-v0.2","","-1","&#9730;","elianto","#3366ff99","32","-1","0","0","","0","1","","","","","","","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","3","1","1","win","go","0"
"pit-trial","59","1947556","0.0-6.0","battery-v0.2","","-1","&#9733;","elianto","#3366ff99","-1","-1","1","+10","","0","1","","","","","","","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","4","2","2","win","no-go","0"
"pit-trial","60","1952413","0.0-7.0","battery-v0.2","","-1","&#9752;","elianto","#f73b6a7A","32","-1","0","-10","","0","1","","","","","","","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","5","3","3","lose","go","0"
"pit-trial","61","1957269","0.0-8.0","battery-v0.2","","-1","&#9730;","elianto","#3366ff99","32","-1","0","+10","","0","1","","","","","","","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","6","1","1","win","go","1"
"pit-trial","62","1962126","0.0-9.0","battery-v0.2","","-1","&#9728;","elianto","#f73b6a7A","-1","-1","1","0","","0","1","","","","","","","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","7","0","4","lose","no-go","0"
