"trial_type","trial_index","time_elapsed","internal_node_id","task_version","success","view_history","rt","responses","num_errors","age","subject","participantId","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","value","sub","trial","stimulus","robot","valence","action","sham","browser_interactions"
"pavlovia","0","4","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","3936","0.0-1.0","battery-v0.2","true","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","2","8873","0.0-2.0-0.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":4935}]","4935","","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-comprehension","3","12530","0.0-2.0-1.0-0.0","battery-v0.2","","","3482.999999999998","[""shark""]","0","20","848","79","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","4","13796","0.0-2.0-1.0-1.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":1254.9999999999982}]","1254.9999999999982","","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-comprehension","5","16577","0.0-2.0-2.0-0.0","battery-v0.2","","","2779","[""tiger""]","0","20","848","79","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","6","17511","0.0-2.0-2.0-1.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":932.0000000000036}]","932.0000000000036","","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","7","115735","0.0-2.0-3.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":9827},{""page_index"":1,""viewing_time"":6216},{""page_index"":2,""viewing_time"":6391.000000000007},{""page_index"":3,""viewing_time"":5847.999999999993},{""page_index"":4,""viewing_time"":6072},{""page_index"":5,""viewing_time"":6244},{""page_index"":6,""viewing_time"":6922},{""page_index"":7,""viewing_time"":7018},{""page_index"":8,""viewing_time"":6964},{""page_index"":9,""viewing_time"":8699},{""page_index"":10,""viewing_time"":8374},{""page_index"":11,""viewing_time"":7495},{""page_index"":12,""viewing_time"":6489},{""page_index"":13,""viewing_time"":5663.000000000015}]","98223","","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","8","119834","0.0-2.0-4.0-0.0","battery-v0.2","","","1243","","","20","848","79","&#9784;","elianto","#FFFFF080"," "," ","1","&#10004","[2094]","1","0","0","","","","","","","","",""
"pit-trial","9","123272","0.0-2.0-4.1-0.1","battery-v0.2","","","580","","","20","848","79","&#9784;","elianto","#FFFFF080"," "," ","1","&#10004","[1431]","1","0","0","","","","","","","","",""
"pit-trial","10","126736","0.0-2.0-4.2-0.2","battery-v0.2","","","607","","","20","848","79","&#9784;","elianto","#FFFFF080"," "," ","1","&#10004","[1458]","1","0","0","","","","","","","","",""
"pit-trial","11","130298","0.0-2.0-4.3-0.3","battery-v0.2","","","706","","","20","848","79","&#9784;","elianto","#FFFFF080"," "," ","1","&#10004","[1557]","1","0","0","","","","","","","","",""
"pit-trial","12","133650","0.0-2.0-4.4-0.4","battery-v0.2","","","495","","","20","848","79","&#9784;","elianto","#FFFFF080"," "," ","1","&#10004","[1345]","1","0","0","","","","","","","","",""
"pit-instructions","13","157506","0.0-2.0-5.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":5531},{""page_index"":1,""viewing_time"":6044.000000000029},{""page_index"":2,""viewing_time"":6246.999999999971},{""page_index"":3,""viewing_time"":6028}]","23850","","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","14","162360","0.0-2.0-6.0-0.0","battery-v0.2","","","-1","","","20","848","79","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","[]","0","0","1","","","","","","","","",""
"pit-trial","15","167218","0.0-2.0-6.1-0.1","battery-v0.2","","","-1","","","20","848","79","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","[]","0","0","1","","","","","","","","",""
"pit-trial","16","172076","0.0-2.0-6.2-0.2","battery-v0.2","","","-1","","","20","848","79","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","[]","0","0","1","","","","","","","","",""
"pit-trial","17","176933","0.0-2.0-6.3-0.3","battery-v0.2","","","-1","","","20","848","79","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","[]","0","0","1","","","","","","","","",""
"pit-trial","18","181791","0.0-2.0-6.4-0.4","battery-v0.2","","","-1","","","20","848","79","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","[]","0","0","1","","","","","","","","",""
"pit-instructions","19","309500","0.0-2.0-7.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":5905},{""page_index"":1,""viewing_time"":8085},{""page_index"":2,""viewing_time"":6987},{""page_index"":3,""viewing_time"":7618.000000000029},{""page_index"":4,""viewing_time"":5984.999999999971},{""page_index"":5,""viewing_time"":5839},{""page_index"":6,""viewing_time"":5548},{""page_index"":7,""viewing_time"":11229.00000000003},{""page_index"":8,""viewing_time"":8137},{""page_index"":9,""viewing_time"":6135.999999999971},{""page_index"":10,""viewing_time"":7566},{""page_index"":11,""viewing_time"":5039},{""page_index"":12,""viewing_time"":7125},{""page_index"":13,""viewing_time"":7672},{""page_index"":14,""viewing_time"":7615},{""page_index"":15,""viewing_time"":7382},{""page_index"":16,""viewing_time"":7358},{""page_index"":17,""viewing_time"":6477}]","127703","","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","20","314355","0.0-2.0-8.0-0.0","battery-v0.2","","","-1","","","20","848","79","&#9776;","elianto","#3366ff99"," ","-1","0","0","[]","0","0","1","","","","","","","","",""
"pit-trial","21","317774","0.0-2.0-8.0-1.0","battery-v0.2","","","564","","","20","848","79","&#9776;","elianto","#3366ff99"," "," ","1","+10","[1413]","1","0","1","","","","","","","","",""
"pit-trial","22","321065","0.0-2.0-8.0-2.0","battery-v0.2","","","433.0000000000582","","","20","848","79","&#9776;","elianto","#3366ff99"," "," ","1","+10","[1284.0000000000582]","1","0","1","","","","","","","","",""
"pit-trial","23","325113","0.0-2.0-8.0-3.0","battery-v0.2","","","1192","","","20","848","79","&#9776;","elianto","#3366ff99"," "," ","1","0","[2043]","1","0","1","","","","","","","","",""
"pit-trial","24","328372","0.0-2.0-8.0-4.0","battery-v0.2","","","403","","","20","848","79","&#9776;","elianto","#3366ff99"," "," ","1","+10","[1253]","1","0","1","","","","","","","","",""
"call-function","25","328376","0.0-2.0-9.0","battery-v0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
