"trial_type","trial_index","time_elapsed","internal_node_id","task_version","responses","num_errors","rt","view_history"
"pavlovia","0","4","0.0-0.0","battery-v0.2","","","",""
"pit-comprehension","1","4514","0.0-1.0-0.0-0.0","battery-v0.2","[""UP""]","1","4505.799999952316",""
"pit-instructions","2","9017","0.0-1.0-0.0-1.0","battery-v0.2","","","4500.799999952316","[{""page_index"":0,""viewing_time"":4500.299999952316}]"
"pit-instructions","3","11048","0.0-1.0-0.0-2.0-0.0","battery-v0.2","","","2030.7000000476837","[{""page_index"":0,""viewing_time"":2030.3000001907349}]"
"pit-comprehension","4","15450","0.0-1.0-0.1-0.1","battery-v0.2","[""SPACE""]","0","4398.900000095367",""
"pit-instructions","5","17918","0.0-1.0-0.1-1.1","battery-v0.2","","","2465.699999809265","[{""page_index"":0,""viewing_time"":2465.5}]"
"pit-comprehension","6","26338","0.0-1.0-1.0-0.0","battery-v0.2","[""5""]","1","8417.299999952316",""
"pit-instructions","7","28321","0.0-1.0-1.0-1.0","battery-v0.2","","","1980.0999999046326","[{""page_index"":0,""viewing_time"":1979.7999999523163}]"
"pit-instructions","8","29870","0.0-1.0-1.0-2.0-0.0","battery-v0.2","","","1547.2000000476837","[{""page_index"":0,""viewing_time"":1546.7000000476837}]"
"pit-comprehension","9","35539","0.0-1.0-1.1-0.1","battery-v0.2","[""10""]","0","5665.800000190735",""
"pit-instructions","10","37007","0.0-1.0-1.1-1.1","battery-v0.2","","","1465.7000000476837","[{""page_index"":0,""viewing_time"":1465.3000001907349}]"
"pit-comprehension","11","46510","0.0-1.0-2.0-0.0","battery-v0.2","[""-10""]","1","9500.5",""
"pit-instructions","12","48758","0.0-1.0-2.0-1.0","battery-v0.2","","","2245.9000000953674","[{""page_index"":0,""viewing_time"":2245.4000000953674}]"
"pit-instructions","13","50275","0.0-1.0-2.0-2.0-0.0","battery-v0.2","","","1515.2999999523163","[{""page_index"":0,""viewing_time"":1514.9000000953674}]"
"pit-comprehension","14","56677","0.0-1.0-2.1-0.1","battery-v0.2","[""0""]","0","6399.700000047684",""
"pit-instructions","15","58746","0.0-1.0-2.1-1.1","battery-v0.2","","","2066.399999856949","[{""page_index"":0,""viewing_time"":2066.0999999046326}]"
"pit-comprehension","16","69532","0.0-1.0-3.0-0.0","battery-v0.2","[""False""]","1","10782.899999856949",""
"pit-instructions","17","71100","0.0-1.0-3.0-1.0","battery-v0.2","","","1565","[{""page_index"":0,""viewing_time"":1564.7000000476837}]"
"pit-instructions","18","72515","0.0-1.0-3.0-2.0-0.0","battery-v0.2","","","1414.0999999046326","[{""page_index"":0,""viewing_time"":1413.7000000476837}]"
"pit-comprehension","19","80969","0.0-1.0-3.1-0.1","battery-v0.2","[""True""]","0","8452",""
"pit-instructions","20","82517","0.0-1.0-3.1-1.1","battery-v0.2","","","1544.8000001907349","[{""page_index"":0,""viewing_time"":1544.6000001430511}]"
"pit-comprehension","21","90488","0.0-1.0-4.0-0.0","battery-v0.2","[""False""]","1","7968.599999904633",""
"pit-instructions","22","92338","0.0-1.0-4.0-1.0","battery-v0.2","","","1847.0999999046326","[{""page_index"":0,""viewing_time"":1846.7999999523163}]"
"pit-instructions","23","93787","0.0-1.0-4.0-2.0-0.0","battery-v0.2","","","1447.5999999046326","[{""page_index"":0,""viewing_time"":1447.2999999523163}]"
"pit-comprehension","24","101272","0.0-1.0-4.1-0.1","battery-v0.2","[""True""]","0","7483.200000047684",""
"pit-instructions","25","102740","0.0-1.0-4.1-1.1","battery-v0.2","","","1465.2000000476837","[{""page_index"":0,""viewing_time"":1464.9000000953674}]"
"pit-comprehension","26","110259","0.0-1.0-5.0-0.0","battery-v0.2","[""False""]","1","7516.299999952316",""
"pit-instructions","27","112409","0.0-1.0-5.0-1.0","battery-v0.2","","","2146.600000143051","[{""page_index"":0,""viewing_time"":2146.4000000953674}]"
"pit-instructions","28","113908","0.0-1.0-5.0-2.0-0.0","battery-v0.2","","","1498.2000000476837","[{""page_index"":0,""viewing_time"":1497.7999999523163}]"
"pit-comprehension","29","120361","0.0-1.0-5.1-0.1","battery-v0.2","[""True""]","0","6450.900000095367",""
"pit-instructions","30","121810","0.0-1.0-5.1-1.1","battery-v0.2","","","1445.7999999523163","[{""page_index"":0,""viewing_time"":1445.5}]"
"pit-comprehension","31","128629","0.0-1.0-6.0-0.0","battery-v0.2","[""False""]","0","6815.599999904633",""
"pit-instructions","32","130197","0.0-1.0-6.0-1.0","battery-v0.2","","","1563.7999999523163","[{""page_index"":0,""viewing_time"":1563.5999999046326}]"
