"trial_type","trial_index","time_elapsed","internal_node_id","task_version","success","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","subject","participantId","value","responses","num_errors"
"pavlovia","0","18","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","3543","0.0-1.0","battery-v0.2","true","","","","","","","","","","","","","","","","","",""
"pit-instructions","2","9765","0.0-2.0-0.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":4692.39999999851},{""page_index"":1,""viewing_time"":173.60000000149012},{""page_index"":2,""viewing_time"":131.19999999925494},{""page_index"":3,""viewing_time"":138.09999999776483},{""page_index"":4,""viewing_time"":130.80000000074506},{""page_index"":5,""viewing_time"":132.5},{""page_index"":6,""viewing_time"":133.60000000149012},{""page_index"":7,""viewing_time"":132.19999999925494},{""page_index"":8,""viewing_time"":111.89999999850988},{""page_index"":9,""viewing_time"":130.10000000149012},{""page_index"":10,""viewing_time"":161.10000000149012},{""page_index"":11,""viewing_time"":148.79999999701977}]","6218.099999997765","","","","","","","","","","","","","","","",""
"pit-trial","3","12701","0.0-2.0-1.0-0.0","battery-v0.2","","","82.20000000298023","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","932.1999999992549","1","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","4","15862","0.0-2.0-1.1-0.1","battery-v0.2","","","303.79999999701977","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","1154","1","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","5","19112","0.0-2.0-1.2-0.2","battery-v0.2","","","392.69999999925494","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","782.1999999992549,1244.800000000745","2","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","6","22219","0.0-2.0-1.3-0.3","battery-v0.2","","","251.59999999776483","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","1102","1","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","7","25147","0.0-2.0-1.4-0.4","battery-v0.2","","","72.40000000223517","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","923.1999999992549","1","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-instructions","8","33648","0.0-2.0-2.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":6183.5},{""page_index"":1,""viewing_time"":1918.699999999255},{""page_index"":2,""viewing_time"":109},{""page_index"":3,""viewing_time"":285.80000000074506}]","8497.39999999851","","","","","","","","","","","","","","","",""
"pit-trial","9","38510","0.0-2.0-3.0-0.0","battery-v0.2","","","-1","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","10","43365","0.0-2.0-3.1-0.1","battery-v0.2","","","-1","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","11","48222","0.0-2.0-3.2-0.2","battery-v0.2","","","-1","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","12","53079","0.0-2.0-3.3-0.3","battery-v0.2","","","-1","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","13","57934","0.0-2.0-3.4-0.4","battery-v0.2","","","-1","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-instructions","14","78313","0.0-2.0-4.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":18372.89999999851},{""page_index"":1,""viewing_time"":111.80000000074506},{""page_index"":2,""viewing_time"":175.69999999925494},{""page_index"":3,""viewing_time"":221.60000000149012},{""page_index"":4,""viewing_time"":351.3999999985099},{""page_index"":5,""viewing_time"":174.39999999850988},{""page_index"":6,""viewing_time"":146.10000000149012},{""page_index"":7,""viewing_time"":177},{""page_index"":8,""viewing_time"":163.60000000149012},{""page_index"":9,""viewing_time"":325.19999999925494},{""page_index"":10,""viewing_time"":155.39999999850988}]","20376.099999997765","","","","","","","","","","","","","","","",""
"pit-trial","15","81629","0.0-2.0-5.0-0.0","battery-v0.2","","","457.8999999985099","&#9776;","elianto","#3366ff99","32","32","1","+10","1308.2000000029802","1","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","16","84726","0.0-2.0-5.0-1.0","battery-v0.2","","","237.90000000223517","&#9776;","elianto","#3366ff99","32","32","1","+10","715.3000000007451,1088.6000000014901","2","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","17","87790","0.0-2.0-5.0-2.0","battery-v0.2","","","204.69999999925494","&#9776;","elianto","#3366ff99","32","32","1","+10","1055.8999999985099","1","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","18","90994","0.0-2.0-5.0-3.0","battery-v0.2","","","346.20000000298023","&#9776;","elianto","#3366ff99","32","32","1","0","1196.800000000745","1","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
