"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","subject","participantId","value"
"pavlovia","0","23","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","",""
"pit-instructions","1","213301","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":3104.300000000745},{""page_index"":1,""viewing_time"":787.5},{""page_index"":2,""viewing_time"":3878.300000000745},{""page_index"":1,""viewing_time"":494.3999999985099},{""page_index"":0,""viewing_time"":137043.1000000015},{""page_index"":1,""viewing_time"":4898.799999998882},{""page_index"":2,""viewing_time"":14067.400000000373},{""page_index"":3,""viewing_time"":3959.5},{""page_index"":4,""viewing_time"":5022},{""page_index"":5,""viewing_time"":5416.199999999255},{""page_index"":6,""viewing_time"":7828.4000000003725},{""page_index"":7,""viewing_time"":6230.200000001118},{""page_index"":8,""viewing_time"":8304.39999999851},{""page_index"":9,""viewing_time"":7088.60000000149},{""page_index"":10,""viewing_time"":1710.0999999996275},{""page_index"":11,""viewing_time"":3440.5}]","213275.30000000075","","","","","","","","","","","","","",""
"pit-trial","2","216371","0.0-1.0-1.0-0.0","battery-v0.2","","562.3000000007451","&#9776;","elianto","#3366ff99","32","32","1","+10","1062.5","1","0","1","5ee95e0e8737a0304baac70a&order=1","999",""
"pit-trial","3","219714","0.0-1.0-1.0-1.0","battery-v0.2","","832.8000000007451","&#9776;","elianto","#3366ff99","32","32","1","+10","1333","1","0","1","5ee95e0e8737a0304baac70a&order=1","999",""
"pit-trial","4","224221","0.0-1.0-1.0-2.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","5ee95e0e8737a0304baac70a&order=1","999",""
"pit-trial","5","227238","0.0-1.0-1.0-3.0","battery-v0.2","","506.90000000037253","&#9776;","elianto","#3366ff99","32","32","1","0","1007.3000000007451","1","0","1","5ee95e0e8737a0304baac70a&order=1","999",""
"pit-trial","6","230010","0.0-1.0-1.0-4.0","battery-v0.2","","261.5","&#9776;","elianto","#3366ff99","32","32","1","+10","762.5999999996275","1","0","1","5ee95e0e8737a0304baac70a&order=1","999",""
"pit-trial","7","233510","0.0-1.0-1.1-0.1","battery-v0.2","","989.2000000011176","&#9776;","elianto","#3366ff99","32","32","1","+10","1489.2999999988824","1","0","1","5ee95e0e8737a0304baac70a&order=1","999",""
"pit-trial","8","236649","0.0-1.0-1.1-1.1","battery-v0.2","","630.2999999988824","&#9776;","elianto","#3366ff99","32","32","1","+10","289.80000000074506,1130.5","2","0","1","5ee95e0e8737a0304baac70a&order=1","999",""
"pit-trial","9","239445","0.0-1.0-1.1-2.1","battery-v0.2","","290.2999999988824","&#9776;","elianto","#3366ff99","32","32","1","+10","791.1999999992549","1","0","1","5ee95e0e8737a0304baac70a&order=1","999",""
"pit-trial","10","242243","0.0-1.0-1.1-3.1","battery-v0.2","","292.7000000011176","&#9776;","elianto","#3366ff99","32","32","1","0","793.3000000007451,1258.800000000745","2","0","1","5ee95e0e8737a0304baac70a&order=1","999",""
"pit-trial","11","244976","0.0-1.0-1.1-4.1","battery-v0.2","","226.40000000037253","&#9776;","elianto","#3366ff99","32","32","1","+10","726.9000000003725","1","0","1","5ee95e0e8737a0304baac70a&order=1","999",""
"call-function","12","244978","0.0-1.0-2.0","battery-v0.2","","","","","","","","","","","","","","","",""
