"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","subject","participantId","value"
"pavlovia","0","28","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","",""
"pit-instructions","1","79300063","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1012957.7999999821},{""page_index"":1,""viewing_time"":8875},{""page_index"":2,""viewing_time"":9235.09999999404},{""page_index"":3,""viewing_time"":11237.800000011921},{""page_index"":4,""viewing_time"":16387.09999999404},{""page_index"":3,""viewing_time"":3407.7000000178814},{""page_index"":2,""viewing_time"":3804.699999988079},{""page_index"":3,""viewing_time"":91169.90000000596},{""page_index"":4,""viewing_time"":30337.40000000596},{""page_index"":5,""viewing_time"":44295695.099999964},{""page_index"":4,""viewing_time"":6846.200000047684},{""page_index"":3,""viewing_time"":958.2999999523163},{""page_index"":4,""viewing_time"":553.3000000119209},{""page_index"":5,""viewing_time"":45263.10000002384},{""page_index"":6,""viewing_time"":134524.19999998808},{""page_index"":5,""viewing_time"":278.39999997615814},{""page_index"":4,""viewing_time"":283.5},{""page_index"":3,""viewing_time"":260.2000000476837},{""page_index"":2,""viewing_time"":474.39999997615814},{""page_index"":1,""viewing_time"":504},{""page_index"":0,""viewing_time"":5891.699999988079},{""page_index"":1,""viewing_time"":1512.699999988079},{""page_index"":2,""viewing_time"":6634.300000011921},{""page_index"":3,""viewing_time"":1757.9000000357628},{""page_index"":2,""viewing_time"":11126.099999964237},{""page_index"":1,""viewing_time"":644},{""page_index"":0,""viewing_time"":4112.900000035763},{""page_index"":1,""viewing_time"":3509.5},{""page_index"":2,""viewing_time"":2815.5},{""page_index"":3,""viewing_time"":5877.399999976158},{""page_index"":4,""viewing_time"":8762.699999988079},{""page_index"":5,""viewing_time"":6278.400000035763},{""page_index"":6,""viewing_time"":63469.5},{""page_index"":7,""viewing_time"":2069.2999999523163},{""page_index"":8,""viewing_time"":1510},{""page_index"":9,""viewing_time"":5797.800000011921},{""page_index"":10,""viewing_time"":3952},{""page_index"":11,""viewing_time"":5448.300000011921}]","45814226.80000001","","","","","","","","","","","","","",""
"pit-trial","2","79304576","0.0-1.0-1.0-0.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","2726.100000023842","1","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"pit-trial","3","79307525","0.0-1.0-1.0-1.0","battery-v0.2","","444.60000002384186","&#9776;","elianto","#3366ff99","32","32","1","+10","945.3999999761581","1","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"pit-trial","4","79310590","0.0-1.0-1.0-2.0","battery-v0.2","","562.1000000238419","&#9776;","elianto","#3366ff99","32","32","1","+10","1062.300000011921","1","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"pit-trial","5","79313921","0.0-1.0-1.0-3.0","battery-v0.2","","825.6999999880791","&#9776;","elianto","#3366ff99","32","32","1","0","1325.8999999761581","1","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"pit-trial","6","79316948","0.0-1.0-1.0-4.0","battery-v0.2","","523.6999999880791","&#9776;","elianto","#3366ff99","32","32","1","+10","1024.300000011921","1","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"call-function","7","79316951","0.0-1.0-2.0","battery-v0.2","","","","","","","","","","","","","","","",""
"pit-instructions","8","79370593","0.0-1.0-3.0","battery-v0.2","[{""page_index"":0,""viewing_time"":17342.299999952316},{""page_index"":1,""viewing_time"":7220.5},{""page_index"":2,""viewing_time"":3660.400000035763},{""page_index"":3,""viewing_time"":7593.199999988079},{""page_index"":4,""viewing_time"":5824.399999976158},{""page_index"":5,""viewing_time"":12001.300000011921}]","53642.39999997616","","","","","","","","","","","","","",""
"pit-trial","9","79375100","0.0-1.0-4.0-0.0","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"pit-trial","10","79379608","0.0-1.0-4.0-1.0","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"pit-trial","11","79382679","0.0-1.0-4.0-2.0","battery-v0.2","","564.7000000476837","&#9761;","elianto","#3366ff99","-1","32","0","0","1064.800000011921","1","0","2","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"pit-trial","12","79387187","0.0-1.0-4.0-3.0","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"pit-trial","13","79391695","0.0-1.0-4.0-4.0","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","0","","0","0","2","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"pit-trial","14","79395156","0.0-1.0-4.1-0.1","battery-v0.2","","957.1999999880791","&#9761;","elianto","#3366ff99","-1","32","0","0","1457.0999999642372","1","0","2","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"pit-trial","15","79399664","0.0-1.0-4.1-1.1","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"pit-trial","16","79404173","0.0-1.0-4.1-2.1","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"pit-trial","17","79407551","0.0-1.0-4.1-3.1","battery-v0.2","","876.3999999761581","&#9761;","elianto","#3366ff99","-1","32","0","0","1376.5","1","0","2","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"pit-trial","18","79412057","0.0-1.0-4.1-4.1","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","0","","0","0","2","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"pit-trial","19","79416568","0.0-1.0-4.2-0.2","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"pit-trial","20","79421074","0.0-1.0-4.2-1.2","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"pit-trial","21","79425584","0.0-1.0-4.2-2.2","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"pit-trial","22","79430092","0.0-1.0-4.2-3.2","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"pit-trial","23","79434600","0.0-1.0-4.2-4.2","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","0","","0","0","2","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
