"trial_type","trial_index","time_elapsed","internal_node_id","task_version","success","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","subject","participantId"
"pavlovia","0","25","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","",""
"fullscreen","1","2557","0.0-1.0","battery-v0.2","true","","","","","","","","","","","","","","",""
"pit-instructions","2","18585","0.0-2.0-0.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":5979.199999988079},{""page_index"":1,""viewing_time"":523.1999999880791},{""page_index"":2,""viewing_time"":2235.5},{""page_index"":3,""viewing_time"":4462.100000023842},{""page_index"":4,""viewing_time"":1293.800000011921},{""page_index"":5,""viewing_time"":410},{""page_index"":6,""viewing_time"":655.1999999880791},{""page_index"":7,""viewing_time"":461.19999998807907}]","16022","","","","","","","","","","","","",""
"pit-trial","3","21925","0.0-2.0-1.0-0.0","battery-v0.2","","","485.4000000357628","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","1336","1","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","4","26784","0.0-2.0-1.1-0.1","battery-v0.2","","","-1","&#9784;","elianto","#FFFFF080","32","-1","0","&#10060","","0","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","5","30182","0.0-2.0-1.2-0.2","battery-v0.2","","","541.6999999880791","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","1391.3999999761581","1","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","6","35040","0.0-2.0-1.3-0.3","battery-v0.2","","","-1","&#9784;","elianto","#FFFFF080","32","-1","0","&#10060","","0","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","7","39895","0.0-2.0-1.4-0.4","battery-v0.2","","","-1","&#9784;","elianto","#FFFFF080","32","-1","0","&#10060","","0","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","8","44758","0.0-2.0-1.5-0.5","battery-v0.2","","","-1","&#9784;","elianto","#FFFFF080","32","-1","0","&#10060","","0","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-instructions","9","48921","0.0-2.0-1.5-1.5-0.5","battery-v0.2","","[{""page_index"":0,""viewing_time"":3786.7999999523163},{""page_index"":1,""viewing_time"":374.7000000476837}]","4162.099999964237","","","","","","","","","","","","",""
"pit-trial","10","52062","0.0-2.0-1.6-0.6","battery-v0.2","","","287.5","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","1137.6000000238419","1","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","11","58224","0.0-2.0-1.7-0.7","battery-v0.2","","","-1","&#9784;","elianto","#FFFFF080","32","-1","0","&#10060","","0","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
