"trial_type","trial_index","time_elapsed","internal_node_id","task_version","success","view_history","rt","responses","num_errors","age","subject","participantId","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","value"
"pit-trial","67","845869","0.0-2.0-11.6-3.6","battery-v0.2","","","1343.300000000745","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","+10","[2193.39999999851]","1","0","2",""
"pit-trial","68","850724","0.0-2.0-11.6-4.6","battery-v0.2","","","-1","","","12","998","1184","&#9761;","elianto","#3366ff99","-1","-1","1","+10","[]","0","0","2",""
"pit-trial","69","854033","0.0-2.0-11.7-0.7","battery-v0.2","","","454.7999999988824","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","0","[190,1305.199999999255]","2","0","2",""
"pit-trial","70","857415","0.0-2.0-11.7-1.7","battery-v0.2","","","527.5999999996275","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","0","[1377.7000000011176]","1","0","2",""
"pit-trial","71","861696","0.0-2.0-11.7-2.7","battery-v0.2","","","1426.4000000003725","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","0","[2276.39999999851]","1","0","2",""
"pit-trial","72","866550","0.0-2.0-11.7-3.7","battery-v0.2","","","-1","","","12","998","1184","&#9761;","elianto","#3366ff99","-1","-1","1","0","[]","0","0","2",""
"pit-trial","73","871022","0.0-2.0-11.7-4.7","battery-v0.2","","","1617.9000000003725","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","0","[2468]","1","0","2",""
"pit-trial","74","875877","0.0-2.0-11.8-0.8","battery-v0.2","","","-1","","","12","998","1184","&#9761;","elianto","#3366ff99","-1","-1","1","+10","[]","0","0","2",""
"pit-trial","75","880378","0.0-2.0-11.8-1.8","battery-v0.2","","","1646.4000000003725","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","0","[2496.5]","1","0","2",""
"pit-trial","76","885233","0.0-2.0-11.8-2.8","battery-v0.2","","","-1","","","12","998","1184","&#9761;","elianto","#3366ff99","-1","-1","1","+10","[]","0","0","2",""
"pit-trial","77","890087","0.0-2.0-11.8-3.8","battery-v0.2","","","-1","","","12","998","1184","&#9761;","elianto","#3366ff99","-1","-1","1","0","[]","0","0","2",""
"pit-trial","78","894088","0.0-2.0-11.8-4.8","battery-v0.2","","","1142.8999999985099","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","0","[1993.0999999996275]","1","0","2",""
"pit-trial","79","897628","0.0-2.0-11.9-0.9","battery-v0.2","","","684.0999999996275","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","0","[1534.3999999985099]","1","0","2",""
"pit-trial","80","900918","0.0-2.0-11.9-1.9","battery-v0.2","","","432.5","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","0","[1285.1000000014901]","1","0","2",""
"pit-trial","81","904475","0.0-2.0-11.9-2.9","battery-v0.2","","","702.3000000007451","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","0","[1552.5]","1","0","2",""
"pit-trial","82","908262","0.0-2.0-11.9-3.9","battery-v0.2","","","931.3999999985099","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","+10","[1781.5999999996275]","1","0","2",""
"pit-trial","83","913117","0.0-2.0-11.9-4.9","battery-v0.2","","","-1","","","12","998","1184","&#9761;","elianto","#3366ff99","-1","-1","1","+10","[3246.9000000003725]","1","0","2",""
"pit-trial","84","916438","0.0-2.0-11.10-0.10","battery-v0.2","","","465.8999999985099","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","0","[1316.0999999996275]","1","0","2",""
"pit-trial","85","921293","0.0-2.0-11.10-1.10","battery-v0.2","","","-1","","","12","998","1184","&#9761;","elianto","#3366ff99","-1","-1","1","+10","[]","0","0","2",""
"pit-trial","86","925392","0.0-2.0-11.10-2.10","battery-v0.2","","","1242.300000000745","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","0","[2093.5999999996275]","1","0","2",""
