"trial_type","trial_index","time_elapsed","internal_node_id","task_version","success","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","sub","block","trial","stimulus","robot","valence","action","sham"
"pit-trial","15","83592","0.0-15.0","battery-v0.2","","","-1","&#9752;","elianto","#f73b6a7A"," ","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","1","13","3","3","lose","go","1"
"pit-trial","16","88456","0.0-16.0","battery-v0.2","","","-1","&#9728;","elianto","#f73b6a7A","-1","-1","1","0","[]","0","3&age=8&participant_ID=5&order=1","1","14","0","4","lose","no-go","0"
"pit-trial","17","93319","0.0-17.0","battery-v0.2","","","-1","&#9730;","elianto","#3366ff99"," ","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","1","15","1","1","win","go","0"
"pit-trial","18","98176","0.0-18.0","battery-v0.2","","","-1","&#9733;","elianto","#3366ff99","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","1","16","2","2","win","no-go","0"
"pit-trial","19","103037","0.0-19.0","battery-v0.2","","","-1","&#9728;","elianto","#f73b6a7A","-1","-1","1","0","[]","0","3&age=8&participant_ID=5&order=1","1","17","0","4","lose","no-go","0"
"pit-trial","20","107901","0.0-20.0","battery-v0.2","","","-1","&#9733;","elianto","#3366ff99","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","1","18","2","2","win","no-go","0"
"pit-trial","21","112759","0.0-21.0","battery-v0.2","","","-1","&#9730;","elianto","#3366ff99"," ","-1","0","+10","[]","0","3&age=8&participant_ID=5&order=1","1","19","1","1","win","go","1"
"pit-trial","22","117618","0.0-22.0","battery-v0.2","","","-1","&#9752;","elianto","#f73b6a7A"," ","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","1","20","3","3","lose","go","1"
"pit-instructions","23","149959","0.0-23.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":24762.90000000596},{""page_index"":1,""viewing_time"":7575}]","32338.69999998808","","","","","","","","","","","","","","","","",""
"pit-trial","24","154825","0.0-24.0","battery-v0.2","","","-1","v","elianto","#3366ff99","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","2","21","0","2","win","no-go","0"
"pit-trial","25","159689","0.0-25.0","battery-v0.2","","","-1","j","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","3&age=8&participant_ID=5&order=1","2","22","1","3","lose","go","0"
"pit-trial","26","164548","0.0-26.0","battery-v0.2","","","-1","k","elianto","#3366ff99"," ","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","2","23","3","1","win","go","0"
"pit-trial","27","169408","0.0-27.0","battery-v0.2","","","-1","d","elianto","#f73b6a7A","-1","-1","1","0","[]","0","3&age=8&participant_ID=5&order=1","2","24","2","4","lose","no-go","0"
"pit-trial","28","174271","0.0-28.0","battery-v0.2","","","-1","j","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","3&age=8&participant_ID=5&order=1","2","25","1","3","lose","go","0"
"pit-trial","29","179132","0.0-29.0","battery-v0.2","","","-1","d","elianto","#f73b6a7A","-1","-1","1","-10","[]","0","3&age=8&participant_ID=5&order=1","2","26","2","4","lose","no-go","1"
"pit-trial","30","183995","0.0-30.0","battery-v0.2","","","-1","k","elianto","#3366ff99"," ","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","2","27","3","1","win","go","0"
"pit-trial","31","188856","0.0-31.0","battery-v0.2","","","-1","v","elianto","#3366ff99","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","2","28","0","2","win","no-go","0"
"pit-trial","32","192064","0.0-32.0","battery-v0.2","","","350.59999999403954","k","elianto","#3366ff99"," "," ","1","+10","[111.19999998807907,1200.7999999821186]","2","3&age=8&participant_ID=5&order=1","2","29","3","1","win","go","0"
