"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","age","subject","participantId"
"pavlovia","0","4","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","",""
"pit-instructions","1","3451","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1313.199999988079},{""page_index"":1,""viewing_time"":166.69999998807907},{""page_index"":2,""viewing_time"":166.5},{""page_index"":3,""viewing_time"":150.10000002384186},{""page_index"":4,""viewing_time"":149.39999997615814},{""page_index"":5,""viewing_time"":150.70000004768372},{""page_index"":6,""viewing_time"":149.89999997615814},{""page_index"":7,""viewing_time"":150},{""page_index"":8,""viewing_time"":166.60000002384186},{""page_index"":9,""viewing_time"":133.29999995231628},{""page_index"":10,""viewing_time"":266.7000000476837},{""page_index"":11,""viewing_time"":483}]","3446.399999976158","","","","","","","","","","","","","",""
"pit-trial","2","9294","0.0-1.0-1.0-0.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9989","3&age=9989&participant_ID=5&order=1","5"
