"trial_type","trial_index","time_elapsed","internal_node_id","task_version","success","view_history","rt"
"pavlovia","0","24","0.0-0.0","battery-v0.2","","",""
"fullscreen","1","2606","0.0-1.0","battery-v0.2","true","",""
"pit-instructions","2","7429","0.0-2.0-0.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":2532.5999999996275},{""page_index"":1,""viewing_time"":415.40000000037253},{""page_index"":2,""viewing_time"":193.40000000037253},{""page_index"":3,""viewing_time"":163.09999999962747},{""page_index"":4,""viewing_time"":174.30000000074506},{""page_index"":5,""viewing_time"":185.09999999962747},{""page_index"":6,""viewing_time"":190.90000000037253},{""page_index"":7,""viewing_time"":174.89999999850988},{""page_index"":8,""viewing_time"":191.60000000149012},{""page_index"":9,""viewing_time"":190.69999999925494},{""page_index"":10,""viewing_time"":210.5},{""page_index"":11,""viewing_time"":191.80000000074506}]","4816.0999999996275"
