"trial_type","trial_index","time_elapsed","internal_node_id","task_version","success","view_history","rt"
"pavlovia","0","12","0.0-0.0","battery-v0.2","","",""
"fullscreen","1","1789","0.0-1.0","battery-v0.2","true","",""
"pit-instructions","2","4660","0.0-2.0-0.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":1030.800000000745},{""page_index"":1,""viewing_time"":193.40000000037253},{""page_index"":2,""viewing_time"":159.2999999988824},{""page_index"":3,""viewing_time"":160.30000000074506},{""page_index"":4,""viewing_time"":178.40000000037253},{""page_index"":5,""viewing_time"":168.09999999962747},{""page_index"":6,""viewing_time"":160.90000000037253},{""page_index"":7,""viewing_time"":161},{""page_index"":8,""viewing_time"":145.90000000037253},{""page_index"":9,""viewing_time"":188.59999999962747},{""page_index"":10,""viewing_time"":153.7999999988824},{""page_index"":11,""viewing_time"":167.7000000011176}]","2868.800000000745"
