"trial_type","trial_index","time_elapsed","internal_node_id","task_version","success","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","subject","participantId","value"
"pavlovia","0","563","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","","",""
"fullscreen","1","52447","0.0-1.0","battery-v0.2","true","","","","","","","","","","","","","","","",""
"pit-instructions","2","136063","0.0-2.0-0.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":3445},{""page_index"":1,""viewing_time"":11927.800000190735},{""page_index"":2,""viewing_time"":2512.0999999046326},{""page_index"":3,""viewing_time"":4088.0999999046326},{""page_index"":4,""viewing_time"":3336.7000002861023},{""page_index"":5,""viewing_time"":3711.0999999046326},{""page_index"":6,""viewing_time"":2591.9000000953674},{""page_index"":7,""viewing_time"":4336},{""page_index"":8,""viewing_time"":4928.599999904633},{""page_index"":9,""viewing_time"":2031.4000000953674},{""page_index"":10,""viewing_time"":1352.2999997138977},{""page_index"":11,""viewing_time"":951.5},{""page_index"":12,""viewing_time"":2832.5},{""page_index"":13,""viewing_time"":4528},{""page_index"":14,""viewing_time"":20815.700000286102},{""page_index"":15,""viewing_time"":2616.0999999046326},{""page_index"":16,""viewing_time"":3840.300000190735},{""page_index"":17,""viewing_time"":3759.8999996185303}]","83606.5","","","","","","","","","","","","","",""
"pit-trial","3","139977","0.0-2.0-1.0-0.0","battery-v0.2","","","1037.5","&#9776;","elianto","#3366ff99","32","32","1","+10","1890.0999999046326","1","0","1","5df66d09dc8535465a0b0bae&order=3&STUDY_ID=61caf6d05e4609be7bf98488","999",""
"pit-trial","4","143666","0.0-2.0-1.0-1.0","battery-v0.2","","","806.0999999046326","&#9776;","elianto","#3366ff99","32","32","1","+10","1658.8000001907349","1","0","1","5df66d09dc8535465a0b0bae&order=3&STUDY_ID=61caf6d05e4609be7bf98488","999",""
"pit-trial","5","147211","0.0-2.0-1.0-2.0","battery-v0.2","","","663.1999998092651","&#9776;","elianto","#3366ff99","32","32","1","+10","1516.7999997138977","1","0","1","5df66d09dc8535465a0b0bae&order=3&STUDY_ID=61caf6d05e4609be7bf98488","999",""
"pit-trial","6","150728","0.0-2.0-1.0-3.0","battery-v0.2","","","626.1999998092651","&#9776;","elianto","#3366ff99","32","32","1","0","1477.4000000953674","1","0","1","5df66d09dc8535465a0b0bae&order=3&STUDY_ID=61caf6d05e4609be7bf98488","999",""
"pit-trial","7","154370","0.0-2.0-1.0-4.0","battery-v0.2","","","726.0999999046326","&#9776;","elianto","#3366ff99","32","32","1","+10","1591.3000001907349","1","0","1","5df66d09dc8535465a0b0bae&order=3&STUDY_ID=61caf6d05e4609be7bf98488","999",""
"call-function","8","154383","0.0-2.0-2.0","battery-v0.2","","","","","","","","","","","","","","","","",""
"pit-instructions","9","171022","0.0-2.0-3.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":4837.400000095367},{""page_index"":1,""viewing_time"":2720},{""page_index"":2,""viewing_time"":5167.699999809265},{""page_index"":3,""viewing_time"":3912.5}]","16638","","","","","","","","","","","","","",""
