"trial_type","trial_index","time_elapsed","internal_node_id","task_version","success","view_history","rt"
"pavlovia","0","25","0.0-0.0","battery-v0.2","","",""
"fullscreen","1","2668","0.0-1.0","battery-v0.2","true","",""
"pit-instructions","2","4215","0.0-2.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":1201.0999999996275},{""page_index"":1,""viewing_time"":178.5},{""page_index"":2,""viewing_time"":163.69999999925494}]","1544"
