"trial_type","trial_index","time_elapsed","internal_node_id","task_version","success","view_history","rt","responses","num_errors"
"pavlovia","0","14","0.0-0.0","battery-v0.2","","","","",""
"fullscreen","1","2454","0.0-1.0","battery-v0.2","true","","","",""
"pit-instructions","2","6911","0.0-2.0-0.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":4454.5}]","4454.899999976158","",""
"pit-comprehension","3","11332","0.0-2.0-1.0-0.0","battery-v0.2","","","4418.700000047684","[""shark""]","0"
"pit-instructions","4","13458","0.0-2.0-1.0-1.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":2120.2999999523163}]","2120.5","",""
"pit-comprehension","5","15743","0.0-2.0-2.0-0.0","battery-v0.2","","","2282.0999999046326","[""tiger""]","0"
"pit-instructions","6","17216","0.0-2.0-2.0-1.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":1471.5}]","1471.8999999761581","",""
