"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","responses","num_errors","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","subject","participantId","value","sub","trial","stimulus","robot","valence","action","sham"
"pit-trial","38","260827","0.0-1.0-6.9-0.9","battery-v0.2","","-1","","","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","[]","0","0","1","3&age=8&participant_ID=5&order=1","5","","","","","","","",""
"pit-trial","39","265691","0.0-1.0-6.10-0.10","battery-v0.2","","-1","","","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","[]","0","0","1","3&age=8&participant_ID=5&order=1","5","","","","","","","",""
"pit-instructions","40","417276","0.0-1.0-7.0","battery-v0.2","[{""page_index"":0,""viewing_time"":5393.200000017881},{""page_index"":1,""viewing_time"":6291.799999982119},{""page_index"":2,""viewing_time"":5037.800000011921},{""page_index"":3,""viewing_time"":5961.4000000059605},{""page_index"":4,""viewing_time"":5198.799999982119},{""page_index"":5,""viewing_time"":5202.800000011921},{""page_index"":6,""viewing_time"":4270.799999982119},{""page_index"":7,""viewing_time"":7705.9000000059605},{""page_index"":8,""viewing_time"":9963.09999999404},{""page_index"":9,""viewing_time"":15954.100000023842},{""page_index"":10,""viewing_time"":6117.299999982119},{""page_index"":11,""viewing_time"":25610.5},{""page_index"":12,""viewing_time"":7114.0999999940395},{""page_index"":13,""viewing_time"":9060.300000011921},{""page_index"":14,""viewing_time"":7841.5},{""page_index"":15,""viewing_time"":10876.40000000596},{""page_index"":16,""viewing_time"":7195},{""page_index"":17,""viewing_time"":6783.799999982119}]","151579.90000000596","","","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","41","422139","0.0-1.0-8.0-0.0","battery-v0.2","","-1","","","&#9776;","elianto","#3366ff99"," ","-1","0","0","[]","0","0","1","3&age=8&participant_ID=5&order=1","5","","","","","","","",""
"pit-trial","42","427000","0.0-1.0-8.0-1.0","battery-v0.2","","-1","","","&#9776;","elianto","#3366ff99"," ","-1","0","0","[]","0","0","1","3&age=8&participant_ID=5&order=1","5","","","","","","","",""
"pit-trial","43","431858","0.0-1.0-8.0-2.0","battery-v0.2","","-1","","","&#9776;","elianto","#3366ff99"," ","-1","0","0","[]","0","0","1","3&age=8&participant_ID=5&order=1","5","","","","","","","",""
"pit-trial","44","436716","0.0-1.0-8.0-3.0","battery-v0.2","","-1","","","&#9776;","elianto","#3366ff99"," ","-1","0","+10","[]","0","0","1","3&age=8&participant_ID=5&order=1","5","","","","","","","",""
"pit-trial","45","441576","0.0-1.0-8.0-4.0","battery-v0.2","","-1","","","&#9776;","elianto","#3366ff99"," ","-1","0","0","[]","0","0","1","3&age=8&participant_ID=5&order=1","5","","","","","","","",""
"pit-trial","46","446440","0.0-1.0-8.1-0.1","battery-v0.2","","-1","","","&#9776;","elianto","#3366ff99"," ","-1","0","0","[]","0","0","1","3&age=8&participant_ID=5&order=1","5","","","","","","","",""
"pit-trial","47","451300","0.0-1.0-8.1-1.1","battery-v0.2","","-1","","","&#9776;","elianto","#3366ff99"," ","-1","0","0","[]","0","0","1","3&age=8&participant_ID=5&order=1","5","","","","","","","",""
