"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","responses","num_errors","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","subject","participantId","value","sub","trial","stimulus","robot","valence","action","sham"
"call-function","124","1161255","0.0-1.0-18.0","battery-v0.2","","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","125","1529783","0.0-1.0-19.0","battery-v0.2","[{""page_index"":0,""viewing_time"":16916.600000023842},{""page_index"":1,""viewing_time"":8926.09999999404},{""page_index"":2,""viewing_time"":15802.699999988079},{""page_index"":3,""viewing_time"":10397.09999999404},{""page_index"":4,""viewing_time"":290240},{""page_index"":5,""viewing_time"":8200.700000017881},{""page_index"":6,""viewing_time"":8440.5},{""page_index"":7,""viewing_time"":5875.5},{""page_index"":8,""viewing_time"":3726}]","368525.90000000596","","","","","","","","","","","","","","","","","","","","","","",""
"pit-comprehension","126","1534657","0.0-1.0-20.0-0.0","battery-v0.2","","4867.100000023842","[""ENTER""]","1","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","127","1537454","0.0-1.0-20.0-1.0","battery-v0.2","[{""page_index"":0,""viewing_time"":2760.0999999940395}]","2760.7999999821186","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","128","1538386","0.0-1.0-20.0-2.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":928.3999999761581}]","929.0999999940395","","","","","","","","","","","","","","","","","","","","","","",""
"pit-comprehension","129","1543652","0.0-1.0-20.1-0.1","battery-v0.2","","5260.9000000059605","[""SPACE""]","0","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","130","1546925","0.0-1.0-20.1-1.1","battery-v0.2","[{""page_index"":0,""viewing_time"":3233.0999999940395}]","3233.699999988079","","","","","","","","","","","","","","","","","","","","","","",""
"pit-comprehension","131","1553197","0.0-1.0-21.0-0.0","battery-v0.2","","6263.5","[""5""]","1","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","132","1558275","0.0-1.0-21.0-1.0","battery-v0.2","[{""page_index"":0,""viewing_time"":5041.199999988079}]","5041.9000000059605","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","133","1558931","0.0-1.0-21.0-2.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":651.0999999940395}]","651.9000000059605","","","","","","","","","","","","","","","","","","","","","","",""
"pit-comprehension","134","1563408","0.0-1.0-21.1-0.1","battery-v0.2","","4473","[""10""]","0","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","135","1564873","0.0-1.0-21.1-1.1","battery-v0.2","[{""page_index"":0,""viewing_time"":1426.1000000238419}]","1426.7000000178814","","","","","","","","","","","","","","","","","","","","","","",""
"pit-comprehension","136","1571491","0.0-1.0-22.0-0.0","battery-v0.2","","6612","[""5""]","1","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","137","1574809","0.0-1.0-22.0-1.0","battery-v0.2","[{""page_index"":0,""viewing_time"":3281.5}]","3282.199999988079","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","138","1575730","0.0-1.0-22.0-2.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":916.9000000059605}]","917.3000000119209","","","","","","","","","","","","","","","","","","","","","","",""
"pit-comprehension","139","1582177","0.0-1.0-22.1-0.1","battery-v0.2","","6443.300000011921","[""0""]","0","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","140","1583547","0.0-1.0-22.1-1.1","battery-v0.2","[{""page_index"":0,""viewing_time"":1333.0999999940395}]","1333.5","","","","","","","","","","","","","","","","","","","","","","",""
"pit-comprehension","141","1592782","0.0-1.0-23.0-0.0","battery-v0.2","","9231.199999988079","[""False""]","1","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","142","1594509","0.0-1.0-23.0-1.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1688.4000000059605}]","1688.9000000059605","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","143","1595081","0.0-1.0-23.0-2.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":570.0999999940395}]","570.5","","","","","","","","","","","","","","","","","","","","","","",""
"pit-comprehension","144","1603577","0.0-1.0-23.1-0.1","battery-v0.2","","8492.200000017881","[""True""]","0","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","145","1605067","0.0-1.0-23.1-1.1","battery-v0.2","[{""page_index"":0,""viewing_time"":1448.800000011921}]","1449.5999999940395","","","","","","","","","","","","","","","","","","","","","","",""
"pit-comprehension","146","1612803","0.0-1.0-24.0-0.0","battery-v0.2","","7731.299999982119","[""False""]","1","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","147","1614555","0.0-1.0-24.0-1.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1714.800000011921}]","1715.800000011921","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","148","1615097","0.0-1.0-24.0-2.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":538.8999999761581}]","539.5999999940395","","","","","","","","","","","","","","","","","","","","","","",""
"pit-comprehension","149","1622541","0.0-1.0-24.1-0.1","battery-v0.2","","7439.299999982119","[""True""]","0","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","150","1624294","0.0-1.0-24.1-1.1","battery-v0.2","[{""page_index"":0,""viewing_time"":1714.7000000178814}]","1715.300000011921","","","","","","","","","","","","","","","","","","","","","","",""
"pit-comprehension","151","1632832","0.0-1.0-25.0-0.0","battery-v0.2","","8531.300000011921","[""True""]","0","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","152","1634763","0.0-1.0-25.0-1.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1892.5999999940395}]","1893.3999999761581","","","","","","","","","","","","","","","","","","","","","","",""
"pit-comprehension","153","1640230","0.0-1.0-26.0-0.0","battery-v0.2","","5461.299999982119","[""False""]","0","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","154","1641922","0.0-1.0-26.0-1.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1653.5999999940395}]","1654","","","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","155","1646785","0.0-2.0","battery-v0.2","","-1","","","n","elianto","#f73b6a7A"," ","-1","0","0","[]","0","3","","","","","3&age=8&participant_ID=5&order=1","256","10","3","lose","go","1"
"pit-trial","156","1651645","0.0-3.0","battery-v0.2","","-1","","","n","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","3","","","","","3&age=8&participant_ID=5&order=1","257","10","3","lose","go","0"
"pit-trial","157","1656504","0.0-4.0","battery-v0.2","","-1","","","q","elianto","#3366ff99"," ","-1","0","0","[]","0","3","","","","","3&age=8&participant_ID=5&order=1","258","11","1","win","go","0"
"pit-trial","158","1661363","0.0-5.0","battery-v0.2","","-1","","","f","elianto","#3366ff99"," ","-1","0","+10","[]","0","3","","","","","3&age=8&participant_ID=5&order=1","259","9","1","win","go","1"
"pit-trial","159","1666717","0.0-6.0","battery-v0.2","","-1","","","x","elianto","#f73b6a7A","-1","-1","1","0","[]","0","3","","","","","3&age=8&participant_ID=5&order=1","260","8","4","lose","no-go","0"
