"trial_type","trial_index","time_elapsed","internal_node_id","task_version","success","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","subject","participantId","value"
"pavlovia","0","15","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","","",""
"fullscreen","1","1933","0.0-1.0","battery-v0.2","true","","","","","","","","","","","","","","","",""
"pit-instructions","2","5062","0.0-2.0-0.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":1167.800000000745},{""page_index"":1,""viewing_time"":178.2999999988824},{""page_index"":2,""viewing_time"":177.90000000037253},{""page_index"":3,""viewing_time"":158.30000000074506},{""page_index"":4,""viewing_time"":164},{""page_index"":5,""viewing_time"":161.09999999962747},{""page_index"":6,""viewing_time"":181.5},{""page_index"":7,""viewing_time"":180.30000000074506},{""page_index"":8,""viewing_time"":195.7999999988824},{""page_index"":9,""viewing_time"":181.90000000037253},{""page_index"":10,""viewing_time"":203.30000000074506},{""page_index"":11,""viewing_time"":174.59999999962747}]","3125.5999999996275","","","","","","","","","","","","","",""
"pit-trial","3","8248","0.0-2.0-1.0-0.0","battery-v0.2","","","332.40000000037253","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","1183.2999999988824","1","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"pit-trial","4","13103","0.0-2.0-1.1-0.1","battery-v0.2","","","-1","&#9784;","elianto","#FFFFF080","32","-1","0","&#10060","","0","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"pit-trial","5","17052","0.0-2.0-1.2-0.2","battery-v0.2","","","1088.0999999996275","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","1938.5999999996275,3882.7999999988824","2","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"pit-trial","6","20051","0.0-2.0-1.3-0.3","battery-v0.2","","","141.2999999988824","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","992.2999999988824,1735.5999999996275","2","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"pit-trial","7","23473","0.0-2.0-1.4-0.4","battery-v0.2","","","561.7000000011176","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","1412.9000000003725","1","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"pit-instructions","8","46007","0.0-2.0-2.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":20082.599999999627},{""page_index"":1,""viewing_time"":859.4000000003725},{""page_index"":2,""viewing_time"":1070.199999999255},{""page_index"":3,""viewing_time"":514.1999999992549}]","22526.799999998882","","","","","","","","","","","","","",""
"pit-trial","9","50867","0.0-2.0-3.0-0.0","battery-v0.2","","","-1","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"pit-trial","10","55726","0.0-2.0-3.1-0.1","battery-v0.2","","","-1","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"pit-trial","11","60587","0.0-2.0-3.2-0.2","battery-v0.2","","","-1","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"pit-trial","12","65447","0.0-2.0-3.3-0.3","battery-v0.2","","","-1","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"pit-trial","13","70308","0.0-2.0-3.4-0.4","battery-v0.2","","","-1","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"pit-instructions","14","101073","0.0-2.0-4.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":19906.099999999627},{""page_index"":1,""viewing_time"":1278.699999999255},{""page_index"":2,""viewing_time"":595.5999999996275},{""page_index"":3,""viewing_time"":575.2000000011176},{""page_index"":4,""viewing_time"":596.6999999992549},{""page_index"":5,""viewing_time"":576.5999999996275},{""page_index"":6,""viewing_time"":792.2000000011176},{""page_index"":7,""viewing_time"":1270.5},{""page_index"":8,""viewing_time"":627.5},{""page_index"":9,""viewing_time"":591.5999999996275},{""page_index"":10,""viewing_time"":3946.9000000003725}]","30758.099999999627","","","","","","","","","","","","","",""
"pit-trial","15","105933","0.0-2.0-5.0-0.0","battery-v0.2","","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"pit-trial","16","110789","0.0-2.0-5.0-1.0","battery-v0.2","","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"pit-trial","17","113999","0.0-2.0-5.0-2.0","battery-v0.2","","","353.09999999962747","&#9776;","elianto","#3366ff99","32","32","1","+10","1203","1","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
