"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","age","subject","participantId","value","responses","num_errors","sub","trial","stimulus","robot","valence","action","sham"
"pit-instructions","69","3115970","0.0-1.0-16.1-1.1","battery-v0.2","[{""page_index"":0,""viewing_time"":1133.6000000014901}]","1134.5","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-comprehension","70","3240050","0.0-1.0-17.0-0.0","battery-v0.2","","124075.70000000298","","","","","","","","","","","","","","","","True","0","","","","","","",""
"pit-instructions","71","3241454","0.0-1.0-17.0-1.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1384.8999999985099}]","1386.0999999977648","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-comprehension","72","3246203","0.0-1.0-18.0-0.0","battery-v0.2","","4743.79999999702","","","","","","","","","","","","","","","","True","0","","","","","","",""
"pit-instructions","73","3247386","0.0-1.0-18.0-1.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1163.0999999977648}]","1163.699999999255","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","74","3258161","0.0-2.0","battery-v0.2","[{""page_index"":0,""viewing_time"":924.1999999992549},{""page_index"":1,""viewing_time"":2622.10000000149},{""page_index"":2,""viewing_time"":850.3999999985099},{""page_index"":1,""viewing_time"":1598.300000000745},{""page_index"":2,""viewing_time"":4777}]","10772.5","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","75","3262465","0.0-3.0","battery-v0.2","","1790.5","&#9752;","elianto","#f73b6a7A","32","32","1","0","2291.900000002235","1","1","","","","","","","","3&age=998&participant_ID=5&order=1","1","3","3","lose","go","0"
"pit-trial","76","3265915","0.0-4.0","battery-v0.2","","937.3999999985099","&#9730;","elianto","#3366ff99","32","32","1","+10","1439.5999999977648","1","1","","","","","","","","3&age=998&participant_ID=5&order=1","2","1","1","win","go","0"
"pit-trial","77","3270429","0.0-5.0","battery-v0.2","","-1","&#9728;","elianto","#f73b6a7A","-1","-1","1","0","","0","1","","","","","","","","3&age=998&participant_ID=5&order=1","3","0","4","lose","no-go","0"
"pit-trial","78","3274106","0.0-6.0","battery-v0.2","","1164.5","&#9733;","elianto","#3366ff99","-1","32","0","0","1666.300000000745","1","1","","","","","","","","3&age=998&participant_ID=5&order=1","4","2","2","win","no-go","0"
"pit-trial","79","3277831","0.0-7.0","battery-v0.2","","1218.1000000014901","&#9752;","elianto","#f73b6a7A","32","32","1","0","1718.300000000745","1","1","","","","","","","","3&age=998&participant_ID=5&order=1","5","3","3","lose","go","0"
"pit-trial","80","3282345","0.0-8.0","battery-v0.2","","-1","&#9728;","elianto","#f73b6a7A","-1","-1","1","0","","0","1","","","","","","","","3&age=998&participant_ID=5&order=1","6","0","4","lose","no-go","0"
"pit-trial","81","3286103","0.0-9.0","battery-v0.2","","1246.800000000745","&#9730;","elianto","#3366ff99","32","32","1","+10","1747.300000000745","1","1","","","","","","","","3&age=998&participant_ID=5&order=1","7","1","1","win","go","0"
"pit-trial","82","3290616","0.0-10.0","battery-v0.2","","-1","&#9733;","elianto","#3366ff99","-1","-1","1","0","","0","1","","","","","","","","3&age=998&participant_ID=5&order=1","8","2","2","win","no-go","1"
"pit-trial","83","3294235","0.0-11.0","battery-v0.2","","1107.3999999985099","&#9730;","elianto","#3366ff99","32","32","1","0","1609.199999999255","1","1","","","","","","","","3&age=998&participant_ID=5&order=1","9","1","1","win","go","1"
"pit-trial","84","3297651","0.0-12.0","battery-v0.2","","904.4000000022352","&#9733;","elianto","#3366ff99","-1","32","0","+10","1406","1","1","","","","","","","","3&age=998&participant_ID=5&order=1","10","2","2","win","no-go","1"
"pit-trial","85","3301900","0.0-13.0","battery-v0.2","","1737","&#9752;","elianto","#f73b6a7A","32","32","1","0","2239.7999999970198,2525.199999999255","2","1","","","","","","","","3&age=998&participant_ID=5&order=1","11","3","3","lose","go","0"
"pit-trial","86","3305769","0.0-14.0","battery-v0.2","","1355.8999999985099","&#9728;","elianto","#f73b6a7A","-1","32","0","-10","1858.0999999977648","1","1","","","","","","","","3&age=998&participant_ID=5&order=1","12","0","4","lose","no-go","0"
"pit-trial","87","3310280","0.0-15.0","battery-v0.2","","-1","&#9728;","elianto","#f73b6a7A","-1","-1","1","-10","","0","1","","","","","","","","3&age=998&participant_ID=5&order=1","13","0","4","lose","no-go","1"
"pit-trial","88","3313712","0.0-16.0","battery-v0.2","","920.1000000014901","&#9733;","elianto","#3366ff99","-1","32","0","0","1421.1000000014901","1","1","","","","","","","","3&age=998&participant_ID=5&order=1","14","2","2","win","no-go","0"
"pit-trial","89","3318223","0.0-17.0","battery-v0.2","","-1","&#9752;","elianto","#f73b6a7A","32","-1","0","-10","2815.599999997765","1","1","","","","","","","","3&age=998&participant_ID=5&order=1","15","3","3","lose","go","0"
"pit-trial","90","3321738","0.0-18.0","battery-v0.2","","1008.5999999977648","&#9730;","elianto","#3366ff99","32","32","1","+10","1509.5","1","1","","","","","","","","3&age=998&participant_ID=5&order=1","16","1","1","win","go","0"
"pit-trial","91","3325372","0.0-19.0","battery-v0.2","","1123.1000000014901","&#9752;","elianto","#f73b6a7A","32","32","1","-10","1624","1","1","","","","","","","","3&age=998&participant_ID=5&order=1","17","3","3","lose","go","1"
"pit-trial","92","3329080","0.0-20.0","battery-v0.2","","1197.5","&#9733;","elianto","#3366ff99","-1","32","0","0","1697.699999999255","1","1","","","","","","","","3&age=998&participant_ID=5&order=1","18","2","2","win","no-go","0"
"pit-trial","93","3332555","0.0-21.0","battery-v0.2","","964.4000000022352","&#9730;","elianto","#3366ff99","32","32","1","+10","1464.6000000014901","1","1","","","","","","","","3&age=998&participant_ID=5&order=1","19","1","1","win","go","0"
"pit-trial","94","3336972","0.0-22.0","battery-v0.2","","1905.699999999255","&#9728;","elianto","#f73b6a7A","-1","32","0","-10","2406.5","1","1","","","","","","","","3&age=998&participant_ID=5&order=1","20","0","4","lose","no-go","0"
"pit-instructions","95","3342965","0.0-23.0","battery-v0.2","[{""page_index"":0,""viewing_time"":3026.800000000745},{""page_index"":1,""viewing_time"":2962.699999999255}]","5989.900000002235","","","","","","","","","","","","","","","","","","","","","","","",""
