"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","value"
"pavlovia","0","50","0.0-0.0","battery-v0.2","","","","","","","","","","","","","",""
"pit-instructions","1","6778","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":2905.144999967888},{""page_index"":1,""viewing_time"":541.2249999353662},{""page_index"":2,""viewing_time"":314.79000009130687},{""page_index"":3,""viewing_time"":476.7299999948591},{""page_index"":4,""viewing_time"":346.614999929443},{""page_index"":5,""viewing_time"":412.1349999913946},{""page_index"":6,""viewing_time"":428.4900000784546},{""page_index"":7,""viewing_time"":451.6849999781698},{""page_index"":8,""viewing_time"":338.91499997116625},{""page_index"":9,""viewing_time"":508.7350000394508}]","6725.564999971539","","","","","","","","","","","",""
"pit-trial","2","12986","0.0-1.0-1.0-0.0","battery-v0.2","","-1","1","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","3","17157","0.0-1.0-1.1-0.1","battery-v0.2","","1465.8549999585375","1","elianto","#3366ff99","32","32","1","+10","2966.2849999731407","1","0","1",""
"pit-trial","4","23366","0.0-1.0-1.2-0.2","battery-v0.2","","-1","1","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","5","26891","0.0-1.0-1.3-0.3","battery-v0.2","","821.0049999179319","1","elianto","#3366ff99","32","32","1","+10","2321.8699999852106","1","0","1",""
"pit-trial","6","33101","0.0-1.0-1.4-0.4","battery-v0.2","","-1","1","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","7","39305","0.0-1.0-1.5-0.5","battery-v0.2","","-1","1","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","8","45517","0.0-1.0-1.6-0.6","battery-v0.2","","-1","1","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","9","51725","0.0-1.0-1.7-0.7","battery-v0.2","","-1","1","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","10","57932","0.0-1.0-1.8-0.8","battery-v0.2","","-1","1","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","11","64137","0.0-1.0-1.9-0.9","battery-v0.2","","-1","1","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","12","70344","0.0-1.0-1.10-0.10","battery-v0.2","","-1","1","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","13","76673","0.0-1.0-1.11-0.11","battery-v0.2","","-1","1","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","14","82880","0.0-1.0-1.12-0.12","battery-v0.2","","-1","1","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","15","89084","0.0-1.0-1.13-0.13","battery-v0.2","","-1","1","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","16","95294","0.0-1.0-1.14-0.14","battery-v0.2","","-1","1","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","17","101505","0.0-1.0-1.15-0.15","battery-v0.2","","-1","1","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","18","107717","0.0-1.0-1.16-0.16","battery-v0.2","","-1","1","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","19","113930","0.0-1.0-1.17-0.17","battery-v0.2","","-1","1","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","20","121351","0.0-1.0-1.18-0.18","battery-v0.2","","-1","1","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","21","129500","0.0-1.0-1.19-0.19","battery-v0.2","","-1","1","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","22","135708","0.0-1.0-1.20-0.20","battery-v0.2","","-1","1","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","23","141918","0.0-1.0-1.21-0.21","battery-v0.2","","-1","1","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","24","148125","0.0-1.0-1.22-0.22","battery-v0.2","","-1","1","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","25","151307","0.0-1.0-1.23-0.23","battery-v0.2","","474.5500000426546","1","elianto","#3366ff99","32","32","1","+10","1974.724999978207","1","0","1",""
"pit-trial","26","155148","0.0-1.0-1.24-0.24","battery-v0.2","","1133.1300000892952","1","elianto","#3366ff99","32","32","1","+10","2633.9249999728054","1","0","1",""
"pit-trial","27","161357","0.0-1.0-1.25-0.25","battery-v0.2","","-1","1","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","28","167566","0.0-1.0-1.26-0.26","battery-v0.2","","-1","1","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","29","173778","0.0-1.0-1.27-0.27","battery-v0.2","","-1","1","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","30","179989","0.0-1.0-1.28-0.28","battery-v0.2","","-1","1","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
