"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","value","responses","num_errors","sub","trial","stimulus","robot","valence","action","sham"
"pavlovia","0","20","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","1","140496","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":16193.79999999702},{""page_index"":1,""viewing_time"":2282.5},{""page_index"":2,""viewing_time"":6251.9000000059605},{""page_index"":3,""viewing_time"":5967.79999999702},{""page_index"":4,""viewing_time"":8273.10000000894},{""page_index"":5,""viewing_time"":6043},{""page_index"":6,""viewing_time"":6933.29999999702},{""page_index"":7,""viewing_time"":59751.89999999106},{""page_index"":8,""viewing_time"":4869.9000000059605},{""page_index"":9,""viewing_time"":5613.9000000059605},{""page_index"":8,""viewing_time"":1265.7999999970198},{""page_index"":7,""viewing_time"":8442.79999999702},{""page_index"":8,""viewing_time"":1446},{""page_index"":9,""viewing_time"":7163.0999999940395}]","140499.5","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","2","145740","0.0-1.0-1.0-0.0","battery-v0.2","","1742.7000000029802","&#9744;","elianto","#3366ff99","32","32","1","+10","3242.7999999970198","1","0","1","","","","","","","","","",""
"pit-trial","3","150744","0.0-1.0-1.1-0.1","battery-v0.2","","1499","&#9744;","elianto","#3366ff99","32","32","1","+10","2999.699999988079","1","0","1","","","","","","","","","",""
"pit-trial","4","155067","0.0-1.0-1.2-0.2","battery-v0.2","","813.2000000029802","&#9744;","elianto","#3366ff99","32","32","1","+10","2314.9000000059605","1","0","1","","","","","","","","","",""
"pit-trial","5","159250","0.0-1.0-1.3-0.3","battery-v0.2","","676.0999999940395","&#9744;","elianto","#3366ff99","32","32","1","+10","2176.5","1","0","1","","","","","","","","","",""
"call-function","6","159252","0.0-1.0-2.0","battery-v0.2","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","7","176381","0.0-1.0-3.0","battery-v0.2","[{""page_index"":0,""viewing_time"":12854.20000000298},{""page_index"":1,""viewing_time"":4275.29999999702}]","17129.80000001192","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","8","181889","0.0-1.0-4.0-0.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","","","","","","","","","",""
"pit-trial","9","187399","0.0-1.0-4.1-0.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","","","","","","","","","",""
