"trial_type","trial_index","time_elapsed","internal_node_id","task_version","success","view_history","rt","responses","num_errors","age","subject","participantId","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","value"
"pavlovia","0","21","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","15530","0.0-1.0","battery-v0.2","true","","","","","","","","","","","","","","","","","","",""
"pit-instructions","2","26863","0.0-2.0-0.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":11326.5}]","11327.900000000373","","","","","","","","","","","","","","","","",""
"pit-comprehension","3","36746","0.0-2.0-1.0-0.0","battery-v0.2","","","9874.699999999255","[""shark""]","0","12","998","1184","","","","","","","","","","","",""
"pit-instructions","4","45921","0.0-2.0-1.0-1.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":9156.5}]","9157.099999999627","","","","","","","","","","","","","","","","",""
"pit-comprehension","5","49127","0.0-2.0-2.0-0.0","battery-v0.2","","","3196","[""tiger""]","0","12","998","1184","","","","","","","","","","","",""
"pit-instructions","6","53258","0.0-2.0-2.0-1.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":4125.10000000149}]","4125.60000000149","","","","","","","","","","","","","","","","",""
"pit-instructions","7","178470","0.0-2.0-3.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":12507.099999999627},{""page_index"":1,""viewing_time"":9133.200000001118},{""page_index"":2,""viewing_time"":6509.699999999255},{""page_index"":3,""viewing_time"":8240.400000000373},{""page_index"":4,""viewing_time"":6920.699999999255},{""page_index"":5,""viewing_time"":6920.5},{""page_index"":6,""viewing_time"":9026.5},{""page_index"":7,""viewing_time"":8832.700000001118},{""page_index"":8,""viewing_time"":8365.699999999255},{""page_index"":9,""viewing_time"":19854.700000001118},{""page_index"":10,""viewing_time"":7524.0999999996275},{""page_index"":11,""viewing_time"":8815.400000000373},{""page_index"":12,""viewing_time"":6608.199999999255},{""page_index"":13,""viewing_time"":5945.5999999996275}]","125205.80000000075","","","","","","","","","","","","","","","","",""
"pit-trial","8","182793","0.0-2.0-4.0-0.0","battery-v0.2","","","1466.2999999988824","","","12","998","1184","&#9784;","elianto","#FFFFF080"," "," ","1","&#10004","[2316.5]","1","0","0",""
"pit-trial","9","186354","0.0-2.0-4.1-0.1","battery-v0.2","","","705.3000000007451","","","12","998","1184","&#9784;","elianto","#FFFFF080"," "," ","1","&#10004","[1555.5]","1","0","0",""
"pit-trial","10","189893","0.0-2.0-4.2-0.2","battery-v0.2","","","683.5","","","12","998","1184","&#9784;","elianto","#FFFFF080"," "," ","1","&#10004","[1533.5999999996275]","1","0","0",""
"pit-trial","11","193220","0.0-2.0-4.3-0.3","battery-v0.2","","","471.7999999988824","","","12","998","1184","&#9784;","elianto","#FFFFF080"," "," ","1","&#10004","[1322]","1","0","0",""
"pit-trial","12","196697","0.0-2.0-4.4-0.4","battery-v0.2","","","621.9000000003725","","","12","998","1184","&#9784;","elianto","#FFFFF080"," "," ","1","&#10004","[1472]","1","0","0",""
"pit-instructions","13","226641","0.0-2.0-5.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":6763.5999999996275},{""page_index"":1,""viewing_time"":7081.10000000149},{""page_index"":2,""viewing_time"":10429.299999998882},{""page_index"":3,""viewing_time"":5664}]","29938.900000000373","","","","","","","","","","","","","","","","",""
"pit-trial","14","231497","0.0-2.0-6.0-0.0","battery-v0.2","","","-1","","","12","998","1184","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","[]","0","0","1",""
"pit-trial","15","236358","0.0-2.0-6.1-0.1","battery-v0.2","","","-1","","","12","998","1184","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","[]","0","0","1",""
"pit-trial","16","241214","0.0-2.0-6.2-0.2","battery-v0.2","","","-1","","","12","998","1184","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","[]","0","0","1",""
"pit-trial","17","246069","0.0-2.0-6.3-0.3","battery-v0.2","","","-1","","","12","998","1184","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","[]","0","0","1",""
"pit-trial","18","250925","0.0-2.0-6.4-0.4","battery-v0.2","","","-1","","","12","998","1184","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","[]","0","0","1",""
"pit-instructions","19","407851","0.0-2.0-7.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":6805.5},{""page_index"":1,""viewing_time"":8448.599999999627},{""page_index"":2,""viewing_time"":7782.4000000003725},{""page_index"":3,""viewing_time"":10714.89999999851},{""page_index"":4,""viewing_time"":6911.10000000149},{""page_index"":5,""viewing_time"":7870.89999999851},{""page_index"":6,""viewing_time"":8981.700000001118},{""page_index"":7,""viewing_time"":8424.400000000373},{""page_index"":8,""viewing_time"":6439.39999999851},{""page_index"":9,""viewing_time"":8784.400000000373},{""page_index"":10,""viewing_time"":12900.400000000373},{""page_index"":11,""viewing_time"":5808.199999999255},{""page_index"":12,""viewing_time"":8437.800000000745},{""page_index"":13,""viewing_time"":8020.300000000745},{""page_index"":14,""viewing_time"":13963.099999999627},{""page_index"":15,""viewing_time"":9381.599999999627},{""page_index"":16,""viewing_time"":8551.099999999627},{""page_index"":17,""viewing_time"":8692.099999999627}]","156918.79999999888","","","","","","","","","","","","","","","","",""
"pit-trial","20","412706","0.0-2.0-8.0-0.0","battery-v0.2","","","-1","","","12","998","1184","&#9776;","elianto","#3366ff99"," ","-1","0","0","[]","0","0","1",""
"pit-trial","21","417561","0.0-2.0-8.0-1.0","battery-v0.2","","","-1","","","12","998","1184","&#9776;","elianto","#3366ff99"," ","-1","0","0","[]","0","0","1",""
"pit-trial","22","420891","0.0-2.0-8.0-2.0","battery-v0.2","","","475.80000000074506","","","12","998","1184","&#9776;","elianto","#3366ff99"," "," ","1","+10","[1326.2999999988824]","1","0","1",""
"pit-trial","23","424063","0.0-2.0-8.0-3.0","battery-v0.2","","","317.09999999962747","","","12","998","1184","&#9776;","elianto","#3366ff99"," "," ","1","0","[1167.5]","1","0","1",""
"pit-trial","24","426993","0.0-2.0-8.0-4.0","battery-v0.2","","","74.30000000074506","","","12","998","1184","&#9776;","elianto","#3366ff99"," "," ","1","+10","[926.5999999996275]","1","0","1",""
"pit-trial","25","431848","0.0-2.0-8.1-0.1","battery-v0.2","","","-1","","","12","998","1184","&#9776;","elianto","#3366ff99"," ","-1","0","0","[]","0","0","1",""
"pit-trial","26","434815","0.0-2.0-8.1-1.1","battery-v0.2","","","110.19999999925494","","","12","998","1184","&#9776;","elianto","#3366ff99"," "," ","1","+10","[962.8999999985099]","1","0","1",""
"pit-trial","27","439669","0.0-2.0-8.1-2.1","battery-v0.2","","","-1","","","12","998","1184","&#9776;","elianto","#3366ff99"," ","-1","0","0","[]","0","0","1",""
"pit-trial","28","443113","0.0-2.0-8.1-3.1","battery-v0.2","","","590.1000000014901","","","12","998","1184","&#9776;","elianto","#3366ff99"," "," ","1","0","[1440.0999999996275]","1","0","1",""
"pit-trial","29","446249","0.0-2.0-8.1-4.1","battery-v0.2","","","280.09999999962747","","","12","998","1184","&#9776;","elianto","#3366ff99"," "," ","1","+10","[1132]","1","0","1",""
"pit-trial","30","449625","0.0-2.0-8.2-0.2","battery-v0.2","","","521.2000000011176","","","12","998","1184","&#9776;","elianto","#3366ff99"," "," ","1","+10","[1371.300000000745]","1","0","1",""
"pit-trial","31","453442","0.0-2.0-8.2-1.2","battery-v0.2","","","963.0999999996275","","","12","998","1184","&#9776;","elianto","#3366ff99"," "," ","1","+10","[1813.5999999996275]","1","0","1",""
"pit-trial","32","458296","0.0-2.0-8.2-2.2","battery-v0.2","","","-1","","","12","998","1184","&#9776;","elianto","#3366ff99"," ","-1","0","0","[]","0","0","1",""
"pit-trial","33","463151","0.0-2.0-8.2-3.2","battery-v0.2","","","-1","","","12","998","1184","&#9776;","elianto","#3366ff99"," ","-1","0","+10","[]","0","0","1",""
"pit-trial","34","466807","0.0-2.0-8.2-4.2","battery-v0.2","","","802.6000000014901","","","12","998","1184","&#9776;","elianto","#3366ff99"," "," ","1","+10","[1652.800000000745]","1","0","1",""
"pit-trial","35","470281","0.0-2.0-8.3-0.3","battery-v0.2","","","619.3000000007451","","","12","998","1184","&#9776;","elianto","#3366ff99"," "," ","1","+10","[1469.6000000014901]","1","0","1",""
"pit-trial","36","473485","0.0-2.0-8.3-1.3","battery-v0.2","","","348.19999999925494","","","12","998","1184","&#9776;","elianto","#3366ff99"," "," ","1","+10","[1199.0999999996275]","1","0","1",""
"pit-trial","37","478339","0.0-2.0-8.3-2.3","battery-v0.2","","","-1","","","12","998","1184","&#9776;","elianto","#3366ff99"," ","-1","0","0","[]","0","0","1",""
"pit-trial","38","483194","0.0-2.0-8.3-3.3","battery-v0.2","","","-1","","","12","998","1184","&#9776;","elianto","#3366ff99"," ","-1","0","+10","[]","0","0","1",""
"pit-trial","39","487040","0.0-2.0-8.3-4.3","battery-v0.2","","","991.3000000007451","","","12","998","1184","&#9776;","elianto","#3366ff99"," "," ","1","+10","[1841.5]","1","0","1",""
"pit-trial","40","491895","0.0-2.0-8.4-0.4","battery-v0.2","","","-1","","","12","998","1184","&#9776;","elianto","#3366ff99"," ","-1","0","0","[]","0","0","1",""
"pit-trial","41","495335","0.0-2.0-8.4-1.4","battery-v0.2","","","585","","","12","998","1184","&#9776;","elianto","#3366ff99"," "," ","1","+10","[1435.2999999988824]","1","0","1",""
"pit-trial","42","500190","0.0-2.0-8.4-2.4","battery-v0.2","","","-1","","","12","998","1184","&#9776;","elianto","#3366ff99"," ","-1","0","0","[]","0","0","1",""
"pit-trial","43","503384","0.0-2.0-8.4-3.4","battery-v0.2","","","338.80000000074506","","","12","998","1184","&#9776;","elianto","#3366ff99"," "," ","1","0","[1189.4000000003725]","1","0","1",""
"pit-trial","44","508239","0.0-2.0-8.4-4.4","battery-v0.2","","","-1","","","12","998","1184","&#9776;","elianto","#3366ff99"," ","-1","0","0","[]","0","0","1",""
"pit-instructions","45","565831","0.0-2.0-8.4-5.4-0.4","battery-v0.2","","[{""page_index"":0,""viewing_time"":7161.0999999996275},{""page_index"":1,""viewing_time"":16274.099999999627},{""page_index"":0,""viewing_time"":906.1000000014901},{""page_index"":1,""viewing_time"":7311.5},{""page_index"":2,""viewing_time"":25936.099999999627}]","57589.699999999255","","","","","","","","","","","","","","","","",""
"pit-trial","46","570687","0.0-2.0-8.5-0.5","battery-v0.2","","","-1","","","12","998","1184","&#9776;","elianto","#3366ff99"," ","-1","0","0","[]","0","0","1",""
"pit-trial","47","575542","0.0-2.0-8.5-1.5","battery-v0.2","","","-1","","","12","998","1184","&#9776;","elianto","#3366ff99"," ","-1","0","0","[]","0","0","1",""
"pit-trial","48","580397","0.0-2.0-8.5-2.5","battery-v0.2","","","-1","","","12","998","1184","&#9776;","elianto","#3366ff99"," ","-1","0","0","[3560.2000000011176]","1","0","1",""
"pit-trial","49","583892","0.0-2.0-8.5-3.5","battery-v0.2","","","640.3999999985099","","","12","998","1184","&#9776;","elianto","#3366ff99"," "," ","1","0","[1490.4000000003725]","1","0","1",""
"pit-trial","50","587543","0.0-2.0-8.5-4.5","battery-v0.2","","","796.6000000014901","","","12","998","1184","&#9776;","elianto","#3366ff99"," "," ","1","+10","[1646.800000000745]","1","0","1",""
"pit-trial","51","592399","0.0-2.0-8.6-0.6","battery-v0.2","","","-1","","","12","998","1184","&#9776;","elianto","#3366ff99"," ","-1","0","0","[3027.5]","1","0","1",""
"pit-trial","52","596353","0.0-2.0-8.6-1.6","battery-v0.2","","","1097.8999999985099","","","12","998","1184","&#9776;","elianto","#3366ff99"," "," ","1","+10","[1948]","1","0","1",""
"pit-trial","53","599915","0.0-2.0-8.6-2.6","battery-v0.2","","","706.3000000007451","","","12","998","1184","&#9776;","elianto","#3366ff99"," "," ","1","+10","[1558.199999999255]","1","0","1",""
"pit-trial","54","603498","0.0-2.0-8.6-3.6","battery-v0.2","","","727.1000000014901","","","12","998","1184","&#9776;","elianto","#3366ff99"," "," ","1","0","[1577.300000000745]","1","0","1",""
"pit-trial","55","607437","0.0-2.0-8.6-4.6","battery-v0.2","","","1084.8999999985099","","","12","998","1184","&#9776;","elianto","#3366ff99"," "," ","1","+10","[1934.9000000003725]","1","0","1",""
"call-function","56","607440","0.0-2.0-9.0","battery-v0.2","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","57","667858","0.0-2.0-10.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":10229.299999998882},{""page_index"":1,""viewing_time"":11513.700000001118},{""page_index"":2,""viewing_time"":14291.799999998882},{""page_index"":3,""viewing_time"":14848.5},{""page_index"":4,""viewing_time"":9531.5}]","60415.90000000037","","","","","","","","","","","","","","","","",""
"pit-trial","58","671139","0.0-2.0-11.0-0.0","battery-v0.2","","","421.40000000037253","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","0","[1271.699999999255]","1","0","2",""
"pit-trial","59","674433","0.0-2.0-11.0-1.0","battery-v0.2","","","439.80000000074506","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","0","[1290.2000000011176]","1","0","2",""
"pit-trial","60","677550","0.0-2.0-11.0-2.0","battery-v0.2","","","263.19999999925494","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","0","[1113.4000000003725]","1","0","2",""
"pit-trial","61","680802","0.0-2.0-11.0-3.0","battery-v0.2","","","397.1000000014901","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","+10","[1247.699999999255]","1","0","2",""
"pit-trial","62","684649","0.0-2.0-11.0-4.0","battery-v0.2","","","991.5","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","0","[1841.5]","1","0","2",""
"pit-trial","63","689504","0.0-2.0-11.1-0.1","battery-v0.2","","","-1","","","12","998","1184","&#9761;","elianto","#3366ff99","-1","-1","1","+10","[]","0","0","2",""
"pit-trial","64","692861","0.0-2.0-11.1-1.1","battery-v0.2","","","502.40000000037253","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","0","[1352.5]","1","0","2",""
"pit-trial","65","696092","0.0-2.0-11.1-2.1","battery-v0.2","","","376.2000000011176","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","0","[1226.7999999988824]","1","0","2",""
"pit-trial","66","699501","0.0-2.0-11.1-3.1","battery-v0.2","","","555.1999999992549","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","+10","[1405.4000000003725]","1","0","2",""
"pit-trial","67","704355","0.0-2.0-11.1-4.1","battery-v0.2","","","-1","","","12","998","1184","&#9761;","elianto","#3366ff99","-1","-1","1","+10","[]","0","0","2",""
"pit-trial","68","709211","0.0-2.0-11.2-0.2","battery-v0.2","","","-1","","","12","998","1184","&#9761;","elianto","#3366ff99","-1","-1","1","+10","[]","0","0","2",""
"pit-trial","69","713671","0.0-2.0-11.2-1.2","battery-v0.2","","","1605.4000000003725","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","0","[2455.5999999996275]","1","0","2",""
"pit-trial","70","718526","0.0-2.0-11.2-2.2","battery-v0.2","","","-1","","","12","998","1184","&#9761;","elianto","#3366ff99","-1","-1","1","+10","[]","0","0","2",""
"pit-trial","71","721662","0.0-2.0-11.2-3.2","battery-v0.2","","","281.6000000014901","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","+10","[1131.9000000003725]","1","0","2",""
"pit-trial","72","725025","0.0-2.0-11.2-4.2","battery-v0.2","","","509.5","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","0","[676.7000000011176,1359.5]","2","0","2",""
"pit-trial","73","729881","0.0-2.0-11.3-0.3","battery-v0.2","","","-1","","","12","998","1184","&#9761;","elianto","#3366ff99","-1","-1","1","+10","[3335.0999999996275]","1","0","2",""
"pit-trial","74","734735","0.0-2.0-11.3-1.3","battery-v0.2","","","-1","","","12","998","1184","&#9761;","elianto","#3366ff99","-1","-1","1","+10","[373.7999999988824,3128.0999999996275]","2","0","2",""
"pit-trial","75","738457","0.0-2.0-11.3-2.3","battery-v0.2","","","867.5999999996275","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","0","[1717.7000000011176]","1","0","2",""
"pit-trial","76","742766","0.0-2.0-11.3-3.3","battery-v0.2","","","1454","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","+10","[2304.199999999255]","1","0","2",""
"pit-trial","77","746575","0.0-2.0-11.3-4.3","battery-v0.2","","","955.5","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","0","[1805.6000000014901]","1","0","2",""
"pit-trial","78","750115","0.0-2.0-11.4-0.4","battery-v0.2","","","684.9000000003725","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","0","[623.1000000014901,1535.1000000014901]","2","0","2",""
"pit-trial","79","753478","0.0-2.0-11.4-1.4","battery-v0.2","","","508.09999999962747","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","0","[1358.4000000003725]","1","0","2",""
"pit-trial","80","758247","0.0-2.0-11.4-2.4","battery-v0.2","","","1913.9000000003725","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","0","[2763.9000000003725]","1","0","2",""
"pit-trial","81","763011","0.0-2.0-11.4-3.4","battery-v0.2","","","1909.3999999985099","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","+10","[2759.5]","1","0","2",""
"pit-trial","82","766700","0.0-2.0-11.4-4.4","battery-v0.2","","","834","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","0","[1684.2999999988824]","1","0","2",""
"pit-instructions","83","812692","0.0-2.0-11.4-5.4-0.4","battery-v0.2","","[{""page_index"":0,""viewing_time"":24876.60000000149},{""page_index"":1,""viewing_time"":10984.599999999627},{""page_index"":2,""viewing_time"":10126.599999999627}]","45989.10000000149","","","","","","","","","","","","","","","","",""
"pit-trial","84","816168","0.0-2.0-11.5-0.5","battery-v0.2","","","618.9000000003725","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","0","[1470.0999999996275]","1","0","2",""
"pit-trial","85","819552","0.0-2.0-11.5-1.5","battery-v0.2","","","529.6000000014901","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","0","[1379.7000000011176]","1","0","2",""
"pit-trial","86","823532","0.0-2.0-11.5-2.5","battery-v0.2","","","1125.300000000745","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","0","[1975.2999999988824]","1","0","2",""
"pit-trial","87","827342","0.0-2.0-11.5-3.5","battery-v0.2","","","955.1000000014901","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","+10","[1805.300000000745]","1","0","2",""
"pit-trial","88","831656","0.0-2.0-11.5-4.5","battery-v0.2","","","1458.4000000003725","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","0","[2308.5999999996275]","1","0","2",""
"pit-trial","89","835214","0.0-2.0-11.6-0.6","battery-v0.2","","","701.9000000003725","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","0","[1552.0999999996275]","1","0","2",""
"pit-trial","90","838815","0.0-2.0-11.6-1.6","battery-v0.2","","","745.5","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","0","[1595.7000000011176]","1","0","2",""
