"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","age","subject","participantId","value"
"pavlovia","0","15","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","","",""
"pit-instructions","1","3558","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1774.3999999761581},{""page_index"":1,""viewing_time"":183.10000002384186},{""page_index"":2,""viewing_time"":169},{""page_index"":3,""viewing_time"":164.30000001192093},{""page_index"":4,""viewing_time"":166.69999998807907},{""page_index"":5,""viewing_time"":150},{""page_index"":6,""viewing_time"":133.30000001192093},{""page_index"":7,""viewing_time"":166.89999997615814},{""page_index"":8,""viewing_time"":149.89999997615814},{""page_index"":9,""viewing_time"":166.5},{""page_index"":10,""viewing_time"":166.9000000357628},{""page_index"":11,""viewing_time"":149.80000001192093}]","3541.300000011921","","","","","","","","","","","","","","",""
"pit-trial","2","9068","0.0-1.0-1.0-0.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5",""
"pit-trial","3","12625","0.0-1.0-1.0-1.0","battery-v0.2","","54.60000002384186","&#9776;","elianto","#3366ff99","32","32","1","+10","1173.3999999761581,1555.3999999761581","2","0","1","998","3&age=998&participant_ID=5&order=1","5",""
"pit-trial","4","17643","0.0-1.0-1.0-2.0","battery-v0.2","","1514.0999999642372","&#9776;","elianto","#3366ff99","32","32","1","+10","3014.5","1","0","1","998","3&age=998&participant_ID=5&order=1","5",""
"pit-trial","5","21660","0.0-1.0-1.0-3.0","battery-v0.2","","511.80000001192093","&#9776;","elianto","#3366ff99","32","32","1","0","2012.4000000357628","1","0","1","998","3&age=998&participant_ID=5&order=1","5",""
"pit-trial","6","26003","0.0-1.0-1.0-4.0","battery-v0.2","","837.5","&#9776;","elianto","#3366ff99","32","32","1","+10","2338.699999988079","1","0","1","998","3&age=998&participant_ID=5&order=1","5",""
"call-function","7","26005","0.0-1.0-2.0","battery-v0.2","","","","","","","","","","","","","","","","",""
