"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","value","responses","num_errors","sub","trial","stimulus","robot","valence","action","sham"
"pavlovia","0","80","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","1","11844","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":8375.155000001541},{""page_index"":1,""viewing_time"":516.3599999941653},{""page_index"":2,""viewing_time"":370.9400000079768},{""page_index"":3,""viewing_time"":477.9899999994086},{""page_index"":4,""viewing_time"":410.8449999912409},{""page_index"":5,""viewing_time"":353.7099999957718},{""page_index"":6,""viewing_time"":298.25500000151806},{""page_index"":7,""viewing_time"":338.53500000259373},{""page_index"":8,""viewing_time"":299.1000000038184},{""page_index"":9,""viewing_time"":315.30499999644235}]","11757.66499999736","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","2","14918","0.0-1.0-1.0-0.0","battery-v0.2","","359.60999999952037","1","elianto","#3366ff99","32","32","1","+10","1860.43499999505","1","0","1","","","","","","","","","",""
"pit-trial","3","18144","0.0-1.0-1.1-0.1","battery-v0.2","","514.1049999947427","1","elianto","#3366ff99","32","32","1","+10","2014.324999996461","1","0","1","","","","","","","","","",""
"pit-trial","4","21200","0.0-1.0-1.2-0.2","battery-v0.2","","343.6349999974482","1","elianto","#3366ff99","32","32","1","+10","1844.519999998738","1","0","1","","","","","","","","","",""
"pit-trial","5","24170","0.0-1.0-1.3-0.3","battery-v0.2","","258.5350000008475","1","elianto","#3366ff99","32","32","1","+10","1758.799999995972","1","0","1","","","","","","","","","",""
"call-function","6","24176","0.0-1.0-2.0","battery-v0.2","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","7","26006","0.0-1.0-3.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1514.5449999981793},{""page_index"":1,""viewing_time"":314.17500000679865}]","1829.2749999964144","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","8","30020","0.0-1.0-4.0-0.0","battery-v0.2","","-1","2","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","","","","","","","","","",""
"pit-trial","9","34039","0.0-1.0-4.1-0.1","battery-v0.2","","-1","2","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","","","","","","","","","",""
"pit-trial","10","38051","0.0-1.0-4.2-0.2","battery-v0.2","","-1","2","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","","","","","","","","","",""
"pit-trial","11","42062","0.0-1.0-4.3-0.3","battery-v0.2","","-1","2","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","","","","","","","","","",""
"call-function","12","42067","0.0-1.0-5.0","battery-v0.2","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","13","44032","0.0-1.0-6.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1728.7199999991572},{""page_index"":1,""viewing_time"":234.3550000077812}]","1963.6300000129268","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","14","48049","0.0-1.0-7.0-0.0","battery-v0.2","","-1","3","elianto","#f73b6a7A","-1","-1","1","-1","","0","0","3","","","","","","","","","",""
