"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","subject","participantId"
"pavlovia","0","17","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","",""
"pit-instructions","1","6822","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1785.3999998569489},{""page_index"":1,""viewing_time"":182.80000019073486},{""page_index"":2,""viewing_time"":151.69999980926514},{""page_index"":3,""viewing_time"":182.5},{""page_index"":4,""viewing_time"":166.60000014305115},{""page_index"":5,""viewing_time"":183.39999985694885},{""page_index"":6,""viewing_time"":166.70000004768372},{""page_index"":7,""viewing_time"":201.40000009536743},{""page_index"":8,""viewing_time"":535},{""page_index"":9,""viewing_time"":480.2999999523163},{""page_index"":10,""viewing_time"":183},{""page_index"":11,""viewing_time"":183.5},{""page_index"":12,""viewing_time"":183.70000004768372},{""page_index"":13,""viewing_time"":533.3999998569489},{""page_index"":14,""viewing_time"":183.40000009536743},{""page_index"":15,""viewing_time"":383.2999999523163},{""page_index"":16,""viewing_time"":183.5},{""page_index"":17,""viewing_time"":933.4000000953674}]","6803.799999952316","","","","","","","","","","","","",""
"pit-trial","2","9876","0.0-1.0-1.0-0.0","battery-v0.2","","198.10000014305115","&#9776;","elianto","#3366ff99","32","32","1","+10","574.8000001907349,1048.5","2","0","1","12ee95e0e8737a0304baac70a&order=3&STUDY_ID=61caf6d05e4609be7bf98488","999"
"pit-trial","3","14736","0.0-1.0-1.0-1.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","12ee95e0e8737a0304baac70a&order=3&STUDY_ID=61caf6d05e4609be7bf98488","999"
"pit-trial","4","17715","0.0-1.0-1.0-2.0","battery-v0.2","","123","&#9776;","elianto","#3366ff99","32","32","1","+10","974.7999999523163","1","0","1","12ee95e0e8737a0304baac70a&order=3&STUDY_ID=61caf6d05e4609be7bf98488","999"
"pit-trial","5","20741","0.0-1.0-1.0-3.0","battery-v0.2","","170.29999995231628","&#9776;","elianto","#3366ff99","32","32","1","0","1021.9000000953674","1","0","1","12ee95e0e8737a0304baac70a&order=3&STUDY_ID=61caf6d05e4609be7bf98488","999"
"pit-trial","6","25596","0.0-1.0-1.0-4.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","12ee95e0e8737a0304baac70a&order=3&STUDY_ID=61caf6d05e4609be7bf98488","999"
"pit-trial","7","30458","0.0-1.0-1.1-0.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","12ee95e0e8737a0304baac70a&order=3&STUDY_ID=61caf6d05e4609be7bf98488","999"
"pit-trial","8","35318","0.0-1.0-1.1-1.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","12ee95e0e8737a0304baac70a&order=3&STUDY_ID=61caf6d05e4609be7bf98488","999"
"pit-trial","9","40176","0.0-1.0-1.1-2.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","12ee95e0e8737a0304baac70a&order=3&STUDY_ID=61caf6d05e4609be7bf98488","999"
