"trial_type","trial_index","time_elapsed","internal_node_id","task_version","success","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","subject","participantId","value","responses","num_errors"
"pavlovia","0","21","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","2041","0.0-1.0","battery-v0.2","true","","","","","","","","","","","","","","","","","",""
"pit-instructions","2","4663","0.0-2.0-0.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":915.1999999992549},{""page_index"":1,""viewing_time"":162.09999999776483},{""page_index"":2,""viewing_time"":161.40000000223517},{""page_index"":3,""viewing_time"":156.69999999925494},{""page_index"":4,""viewing_time"":141.80000000074506},{""page_index"":5,""viewing_time"":152},{""page_index"":6,""viewing_time"":144.19999999925494},{""page_index"":7,""viewing_time"":146.19999999925494},{""page_index"":8,""viewing_time"":131.80000000074506},{""page_index"":9,""viewing_time"":160.89999999850988},{""page_index"":10,""viewing_time"":161.80000000074506},{""page_index"":11,""viewing_time"":181.5}]","2616.39999999851","","","","","","","","","","","","","","","",""
"pit-trial","3","7636","0.0-2.0-1.0-0.0","battery-v0.2","","","112.10000000149012","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","964.6000000014901","1","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","4","11219","0.0-2.0-1.1-0.1","battery-v0.2","","","722.5","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","1573.300000000745,2140.699999999255","2","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","5","14369","0.0-2.0-1.2-0.2","battery-v0.2","","","290.8999999985099","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","1141.4000000022352","1","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","6","18186","0.0-2.0-1.3-0.3","battery-v0.2","","","957.1999999992549","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","1807.699999999255","1","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","7","21279","0.0-2.0-1.4-0.4","battery-v0.2","","","237.89999999850988","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","1088","1","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-instructions","8","23040","0.0-2.0-2.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":1228},{""page_index"":1,""viewing_time"":187.89999999850988},{""page_index"":2,""viewing_time"":171.60000000149012},{""page_index"":3,""viewing_time"":167.80000000074506}]","1755.8999999985099","","","","","","","","","","","","","","","",""
"pit-trial","9","27901","0.0-2.0-3.0-0.0","battery-v0.2","","","-1","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","10","32759","0.0-2.0-3.1-0.1","battery-v0.2","","","-1","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","11","37621","0.0-2.0-3.2-0.2","battery-v0.2","","","-1","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","12","42478","0.0-2.0-3.3-0.3","battery-v0.2","","","-1","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","13","47337","0.0-2.0-3.4-0.4","battery-v0.2","","","-1","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-instructions","14","50963","0.0-2.0-4.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":1649.9000000022352},{""page_index"":1,""viewing_time"":162.5},{""page_index"":2,""viewing_time"":273.3999999985099},{""page_index"":3,""viewing_time"":171.80000000074506},{""page_index"":4,""viewing_time"":472},{""page_index"":5,""viewing_time"":139.89999999850988},{""page_index"":6,""viewing_time"":172.70000000298023},{""page_index"":7,""viewing_time"":154.89999999850988},{""page_index"":8,""viewing_time"":139.69999999925494},{""page_index"":9,""viewing_time"":140.5},{""page_index"":10,""viewing_time"":143.40000000223517}]","3621.300000000745","","","","","","","","","","","","","","","",""
"pit-trial","15","53819","0.0-2.0-5.0-0.0","battery-v0.2","","","2.099999997764826","&#9776;","elianto","#3366ff99","32","32","1","+10","852.1999999992549","1","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","16","56835","0.0-2.0-5.0-1.0","battery-v0.2","","","156.40000000223517","&#9776;","elianto","#3366ff99","32","32","1","+10","1008.1999999992549","1","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","17","59913","0.0-2.0-5.0-2.0","battery-v0.2","","","220.10000000149012","&#9776;","elianto","#3366ff99","32","32","1","+10","1071.3999999985099","1","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","18","64077","0.0-2.0-5.0-3.0","battery-v0.2","","","1306.3999999985099","&#9776;","elianto","#3366ff99","32","32","1","0","837.8000000007451,2158","2","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","19","67139","0.0-2.0-5.0-4.0","battery-v0.2","","","208.5","&#9776;","elianto","#3366ff99","32","32","1","+10","1059.699999999255","1","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"call-function","20","67142","0.0-2.0-6.0","battery-v0.2","","","","","","","","","","","","","","","","","","",""
"pit-instructions","21","92732","0.0-2.0-7.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":24178.5},{""page_index"":1,""viewing_time"":572.1999999992549},{""page_index"":2,""viewing_time"":428.69999999925494},{""page_index"":3,""viewing_time"":410}]","25590","","","","","","","","","","","","","","","",""
"pit-trial","22","97595","0.0-2.0-8.0-0.0","battery-v0.2","","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","23","102455","0.0-2.0-8.0-1.0","battery-v0.2","","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","24","107315","0.0-2.0-8.0-2.0","battery-v0.2","","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","25","112176","0.0-2.0-8.0-3.0","battery-v0.2","","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","0","","0","0","2","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","26","117038","0.0-2.0-8.0-4.0","battery-v0.2","","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"call-function","27","117041","0.0-2.0-9.0","battery-v0.2","","","","","","","","","","","","","","","","","","",""
