"trial_type","trial_index","time_elapsed","internal_node_id","task_version","success","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","subject","participantId","value","responses","num_errors"
"pavlovia","0","61","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","10664","0.0-1.0","battery-v0.2","true","","","","","","","","","","","","","","","","","",""
"pit-instructions","2","55733","0.0-2.0-0.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":1693.2999999523163},{""page_index"":1,""viewing_time"":3994.2000000476837},{""page_index"":2,""viewing_time"":2096.399999976158},{""page_index"":3,""viewing_time"":3152.5},{""page_index"":4,""viewing_time"":7733.699999988079},{""page_index"":5,""viewing_time"":3005.900000035763},{""page_index"":6,""viewing_time"":4089.399999976158},{""page_index"":7,""viewing_time"":8638},{""page_index"":8,""viewing_time"":2061.399999976158},{""page_index"":9,""viewing_time"":3608.400000035763},{""page_index"":10,""viewing_time"":2828.300000011921},{""page_index"":11,""viewing_time"":2159.699999988079}]","45062.299999952316","","","","","","","","","","","","","","","",""
"pit-trial","3","59038","0.0-2.0-1.0-0.0","battery-v0.2","","","448.10000002384186","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","1299.7000000476837","1","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","4","62485","0.0-2.0-1.1-0.1","battery-v0.2","","","590.8000000119209","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","1441.5","1","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","5","65971","0.0-2.0-1.2-0.2","battery-v0.2","","","632.1000000238419","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","1482.5","1","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","6","69911","0.0-2.0-1.3-0.3","battery-v0.2","","","1083.199999988079","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","1933.6000000238419","1","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","7","74766","0.0-2.0-1.4-0.4","battery-v0.2","","","-1","&#9784;","elianto","#FFFFF080","32","-1","0","&#10060","","0","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","8","79626","0.0-2.0-1.5-0.5","battery-v0.2","","","-1","&#9784;","elianto","#FFFFF080","32","-1","0","&#10060","3031.100000023842","1","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","9","83511","0.0-2.0-1.6-0.6","battery-v0.2","","","1029.6000000238419","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","1879.8999999761581","1","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
