"trial_type","trial_index","time_elapsed","internal_node_id","task_version","responses","num_errors","rt"
"pavlovia","0","12","0.0-0.0","battery-v0.2","","",""
"pit-comprehension","1","7091","0.0-1.0-0.0-0.0","battery-v0.2","[""ENTER""]","1","7076.599999904633"
