"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","subject","participantId"
"pavlovia","0","15","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","",""
"pit-instructions","1","10153","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":3367.2999999523163},{""page_index"":1,""viewing_time"":183.10000014305115},{""page_index"":2,""viewing_time"":166.79999995231628},{""page_index"":3,""viewing_time"":166.5},{""page_index"":4,""viewing_time"":166.79999995231628},{""page_index"":5,""viewing_time"":583.4000000953674},{""page_index"":6,""viewing_time"":483.2999999523163},{""page_index"":7,""viewing_time"":449.90000009536743},{""page_index"":8,""viewing_time"":449.59999990463257},{""page_index"":9,""viewing_time"":433.59999990463257},{""page_index"":10,""viewing_time"":433.80000019073486},{""page_index"":11,""viewing_time"":599.5},{""page_index"":12,""viewing_time"":467.89999985694885},{""page_index"":13,""viewing_time"":416.90000009536743},{""page_index"":14,""viewing_time"":432.7999999523163},{""page_index"":15,""viewing_time"":500.59999990463257},{""page_index"":16,""viewing_time"":400.10000014305115},{""page_index"":17,""viewing_time"":433.2000000476837}]","10136","","","","","","","","","","","","",""
"pit-trial","2","15011","0.0-1.0-1.0-0.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","12ee95e0e8737a0304baac70a&order=3&STUDY_ID=61caf6d05e4609be7bf98488","999"
"pit-trial","3","19863","0.0-1.0-1.0-1.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","12ee95e0e8737a0304baac70a&order=3&STUDY_ID=61caf6d05e4609be7bf98488","999"
"pit-trial","4","24722","0.0-1.0-1.0-2.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","12ee95e0e8737a0304baac70a&order=3&STUDY_ID=61caf6d05e4609be7bf98488","999"
"pit-trial","5","29578","0.0-1.0-1.0-3.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","12ee95e0e8737a0304baac70a&order=3&STUDY_ID=61caf6d05e4609be7bf98488","999"
"pit-trial","6","34432","0.0-1.0-1.0-4.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","12ee95e0e8737a0304baac70a&order=3&STUDY_ID=61caf6d05e4609be7bf98488","999"
"pit-trial","7","39291","0.0-1.0-1.1-0.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","12ee95e0e8737a0304baac70a&order=3&STUDY_ID=61caf6d05e4609be7bf98488","999"
"pit-trial","8","44147","0.0-1.0-1.1-1.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","12ee95e0e8737a0304baac70a&order=3&STUDY_ID=61caf6d05e4609be7bf98488","999"
"pit-trial","9","49008","0.0-1.0-1.1-2.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","12ee95e0e8737a0304baac70a&order=3&STUDY_ID=61caf6d05e4609be7bf98488","999"
"pit-trial","10","53988","0.0-1.0-1.1-3.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","12ee95e0e8737a0304baac70a&order=3&STUDY_ID=61caf6d05e4609be7bf98488","999"
"pit-trial","11","58843","0.0-1.0-1.1-4.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","12ee95e0e8737a0304baac70a&order=3&STUDY_ID=61caf6d05e4609be7bf98488","999"
"pit-trial","12","63695","0.0-1.0-1.2-0.2","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","12ee95e0e8737a0304baac70a&order=3&STUDY_ID=61caf6d05e4609be7bf98488","999"
"pit-trial","13","68551","0.0-1.0-1.2-1.2","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","12ee95e0e8737a0304baac70a&order=3&STUDY_ID=61caf6d05e4609be7bf98488","999"
"pit-trial","14","73409","0.0-1.0-1.2-2.2","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","12ee95e0e8737a0304baac70a&order=3&STUDY_ID=61caf6d05e4609be7bf98488","999"
